branch,seed,pair,time,source_x,neighbour_x,mirror_x,split
c2,0,0-2,0,0.0,0.0,0.0,exposed
c2,0,0-2,1,0.0,0.0,0.0,exposed
c2,0,0-2,2,0.0,1.2772962481857908,0.0,exposed
c2,0,0-2,3,0.29037719772461357,1.223593895574143,0.29037719772461357,exposed
c2,0,0-2,4,0.28886583655073017,0.06379249617128702,0.28886583655073017,exposed
c2,0,0-2,5,0.21646953835859115,0.13569514921848544,0.21646953835859115,exposed
c2,0,0-2,6,0.2076134120343928,0.030064773382678524,0.2076134120343928,exposed
c2,0,0-2,7,0.08723404688147239,0.23133537428267903,0.08723404688147239,exposed
c2,0,0-2,8,0.07348084802891242,0.011715245655525576,0.07348084802891242,exposed
c2,0,0-2,9,0.05386684672474976,0.01171197123903666,0.05386684672474976,exposed
c2,0,0-2,10,0.030389909136739567,0.021808424085279887,0.030389909136739567,exposed
c2,0,0-2,11,0.04165883034461774,0.0764691252210921,0.04165883034461774,exposed
c2,0,0-2,12,0.042240330647138294,0.07334698692198612,0.042240330647138294,exposed
c2,0,0-2,13,0.1683454000913732,0.7831994280840855,0.1683454000913732,exposed
c2,0,0-2,14,0.37434882440015554,1.0791164657776458,0.37434882440015554,exposed
c2,0,0-2,15,0.6252657870961046,1.139019243175098,0.6252657870961046,exposed
c2,0,0-2,16,0.44898706201740735,0.40404261504611605,0.44898706201740735,exposed
c2,0,0-2,17,0.2641345919940531,0.53600902039234,0.2641345919940531,exposed
c2,0,0-2,18,0.6313159434538899,1.439089912314052,0.6313159434538899,exposed
c2,0,0-2,19,1.0984807576159343,1.2539757006871988,1.0984807576159343,exposed
c2,0,0-2,20,0.621561783855194,1.0474643502590337,0.621561783855194,exposed
c2,0,0-2,21,0.2373854984892183,1.1118701877272754,0.2373854984892183,exposed
c2,0,0-2,22,0.021158451558808255,0.9440087418055255,0.021158451558808255,exposed
c2,0,0-2,23,0.31882977998230944,0.511200333262784,0.31882977998230944,exposed
c2,0,0-2,24,0.05865724626466741,0.8561863871671263,0.05865724626466741,exposed
c2,0,0-2,25,0.013462237790742832,0.4366349873639284,0.013462237790742832,exposed
c2,0,0-2,26,0.006968609156715734,0.15744238446054434,0.006968609156715734,exposed
c2,0,0-2,27,0.0008915735169049796,0.04600403997487271,0.0008915735169049796,exposed
c2,0,0-2,28,0.001812639194202481,0.4361003905772645,0.001812639194202481,exposed
c2,0,0-2,29,0.0030396126023861728,0.8460498500014046,0.0030396126023861728,exposed
c2,0,0-2,30,0.020465984447261346,1.1020496648024958,0.020465984447261346,exposed
c2,0,0-2,31,0.24836064715776177,0.7120896916723863,0.24836064715776177,exposed
c2,0,0-2,32,0.44342255706265515,0.9605002294124337,0.44342255706265515,exposed
c2,0,0-2,33,0.6454318288753815,0.8146084797495742,0.6454318288753815,exposed
c2,0,0-2,34,0.8394020498201237,0.9249641709900607,0.8394020498201237,exposed
c2,0,0-2,35,0.8616791073014736,0.9771048321696691,0.8616791073014736,exposed
c2,0,0-2,36,0.7048723133799405,0.8086649859293857,0.7048723133799405,exposed
c2,0,0-2,37,0.4217572834562372,0.4790512751974758,0.4217572834562372,exposed
c2,0,0-2,38,0.5447933973668609,0.24936412781815276,0.5447933973668609,exposed
c2,0,0-2,39,0.16698173997841223,0.1735950688239191,0.16698173997841223,exposed
c2,0,0-2,40,0.059183595446287963,0.18896498567035816,0.059183595446287963,exposed
c2,0,0-2,41,0.120171518768289,0.08703508198467548,0.120171518768289,exposed
c2,0,0-2,42,0.4623497500253062,0.6819565567118584,0.4623497500253062,exposed
c2,0,0-2,43,0.578685147996304,0.12412768505526178,0.578685147996304,exposed
c2,0,0-2,44,0.89018319948838,1.1542640440828096,0.89018319948838,exposed
c2,0,0-2,45,1.0100897190905695,1.314782134834378,1.0100897190905695,exposed
c2,0,0-2,46,0.8961449166722796,1.176694115287631,0.8961449166722796,exposed
c2,0,0-2,47,0.5884773192485705,0.7880740321450616,0.5884773192485705,exposed
c2,0,0-2,48,0.3575216957083978,0.7877400951610374,0.3575216957083978,exposed
c2,0,0-2,49,0.11752820461511396,0.5548853655900302,0.11752820461511396,exposed
c2,0,0-2,50,0.08639125625509778,0.28330810397635237,0.08639125625509778,exposed
c2,0,0-2,51,0.19766107610112604,0.2980180177599657,0.19766107610112604,exposed
c2,0,0-2,52,0.6083286983947712,0.2705839501297092,0.6083286983947712,exposed
c2,0,0-2,53,1.0096130771498149,0.9765126160285366,1.0096130771498149,exposed
c2,0,0-2,54,0.6459524675541887,0.3485749522177825,0.6459524675541887,exposed
c2,0,0-2,55,0.25050844884450885,0.22202083021564342,0.25050844884450885,exposed
c2,0,0-2,56,0.4562050102313747,1.8833303891211601,0.4562050102313747,exposed
c2,0,0-2,57,0.002242223457961767,0.4705923575115195,0.002242223457961767,exposed
c2,0,0-2,58,0.07135989167455523,2.0870023666212876,0.07135989167455523,exposed
c2,0,0-2,59,0.31547147904133577,0.7333328854277638,0.31547147904133577,exposed
c2,0,0-2,60,0.17723705489579342,1.6364515863750153,0.17723705489579342,exposed
c2,0,0-2,61,0.07098945314779727,1.0408004171334841,0.07098945314779727,exposed
c2,0,0-2,62,0.012655066176951777,0.3309707125719292,0.012655066176951777,exposed
c2,0,0-2,63,0.002542133046813969,0.14992572597310885,0.002542133046813969,exposed
c2,0,0-2,64,0.04555495320561699,0.6542979904690689,0.04555495320561699,exposed
c2,0,0-2,65,0.10911243565699912,1.3387951203002892,0.10911243565699912,exposed
c2,0,0-2,66,0.5235381657185594,0.685383560307519,0.5235381657185594,exposed
c2,0,0-2,67,0.9797012166874498,1.2413068373459974,0.9797012166874498,exposed
c2,0,0-2,68,1.3232210619350682,1.5743388917937047,1.3232210619350682,exposed
c2,0,0-2,69,1.4471573898557586,1.5595988211226763,1.4471573898557586,exposed
c2,0,0-2,70,1.3135717049859157,1.201504020813846,1.3135717049859157,exposed
c2,0,0-2,71,1.7031789292324762,0.6642540990129755,1.7031789292324762,exposed
c2,0,0-2,72,1.8683477775706774,1.0227561033956583,1.8683477775706774,exposed
c2,0,0-2,73,1.603007971024653,0.3629819191038766,1.603007971024653,exposed
c2,0,0-2,74,1.4036100425082352,1.0937333848343713,1.4036100425082352,exposed
c2,0,0-2,75,1.0311251262263872,0.4526974643182883,1.0311251262263872,exposed
c2,0,0-2,76,0.6864642946605319,1.1183957695046836,0.6864642946605319,exposed
c2,0,0-2,77,0.38082812404950983,0.5538285990869237,0.38082812404950983,exposed
c2,0,0-2,78,0.13868924281282727,0.5509696627279919,0.13868924281282727,exposed
c2,0,0-2,79,0.007979959102198618,0.4429589098399768,0.007979959102198618,exposed
c2,0,0-2,80,0.06281207679006015,0.27186073771613095,0.06281207679006015,exposed
c2,0,0-2,81,0.10936889493526745,0.3354677591643618,0.10936889493526745,exposed
c2,0,0-2,82,0.06919913291661611,0.33513040145844547,0.06919913291661611,exposed
c2,0,0-2,83,0.020712144923243143,0.41648555425592654,0.020712144923243143,exposed
c2,0,0-2,84,0.0752853430412932,0.4145649984281437,0.0752853430412932,exposed
c2,0,0-2,85,0.2864230943576967,0.3806651336720177,0.2864230943576967,exposed
c2,0,0-2,86,0.5590818315005415,0.2895138315091292,0.5590818315005415,exposed
c2,0,0-2,87,0.6730012291453394,0.36210349593513275,0.6730012291453394,exposed
c2,0,0-2,88,0.8968673291034579,0.1508691847271035,0.8968673291034579,exposed
c2,0,0-2,89,0.8538577479637376,0.09239097261396949,0.8538577479637376,exposed
c2,0,0-2,90,0.7125951098370609,0.17703392640374357,0.7125951098370609,exposed
c2,0,0-2,91,0.65594698559883,0.16158850874026756,0.65594698559883,exposed
c2,0,0-2,92,0.5212008310506286,0.10308157428664423,0.5212008310506286,exposed
c2,0,0-2,93,0.34400393670841933,0.3567167350702079,0.34400393670841933,exposed
c2,0,0-2,94,0.16986085213417101,0.5933035643379521,0.16986085213417101,exposed
c2,0,0-2,95,0.03503976862605727,0.5442190554390659,0.03503976862605727,exposed
c2,0,0-2,96,0.02777324333345317,0.6184191314624904,0.02777324333345317,exposed
c2,0,0-2,97,0.19077112961809603,0.20151547193682845,0.19077112961809603,exposed
c2,0,0-2,98,0.223361060701631,0.573391602914558,0.223361060701631,exposed
c2,0,0-2,99,0.17752628091982198,0.4139617539131264,0.17752628091982198,exposed
c2,0,0-2,100,0.07503487680639562,0.19149777273525276,0.07503487680639562,exposed
c2,0,0-2,101,0.24858348013026454,0.7167574571994685,0.24858348013026454,exposed
c2,0,0-2,102,0.05927241266739822,0.140819949568011,0.05927241266739822,exposed
c2,0,0-2,103,0.0832472643165736,0.07977567057607869,0.0832472643165736,exposed
c2,0,0-2,104,0.31938642467467476,0.2650606817359858,0.31938642467467476,exposed
c2,0,0-2,105,0.5553575808461712,0.49069778232060146,0.5553575808461712,exposed
c2,0,0-2,106,0.27437725227802195,0.8223410404278386,0.27437725227802195,exposed
c2,0,0-2,107,0.4688636867593213,0.3324269593095853,0.4688636867593213,exposed
c2,0,0-2,108,0.5956890913647216,0.4648855843453521,0.5956890913647216,exposed
c2,0,0-2,109,0.6146274267718866,0.49811371478387706,0.6146274267718866,exposed
c2,0,0-2,110,0.5197573432816136,0.420412439884897,0.5197573432816136,exposed
c2,0,0-2,111,0.3289087895919229,0.5232651775068994,0.3289087895919229,exposed
c2,0,0-2,112,0.24224228312177276,0.23702940348035306,0.24224228312177276,exposed
c2,0,0-2,113,0.1083811649824321,0.1938630272501458,0.1083811649824321,exposed
c2,0,0-2,114,0.005357444012972914,0.02615439367889671,0.005357444012972914,exposed
c2,0,0-2,115,0.0007180477267413921,0.10566774781780716,0.0007180477267413921,exposed
c2,0,0-2,116,0.0018255593311755326,0.060209709794481675,0.0018255593311755326,exposed
c2,0,0-2,117,0.012404917302750625,0.03948145237585277,0.012404917302750625,exposed
c2,0,0-2,118,0.0025028076791378134,0.011028470707429537,0.0025028076791378134,exposed
c2,0,0-2,119,0.009651638165694367,0.028222071688332233,0.009651638165694367,exposed
c2,0,0-2,120,0.030377286338882956,0.06986874419912208,0.030377286338882956,exposed
c2,0,0-2,121,0.014764909932628455,0.017922824661876995,0.014764909932628455,exposed
c2,0,0-2,122,0.0022972362931664514,0.005655283608207299,0.0022972362931664514,exposed
c2,0,0-2,123,0.007038074836802348,0.015461640447516588,0.007038074836802348,exposed
c2,0,0-2,124,0.022675769961062194,0.26014712391661204,0.022675769961062194,exposed
c2,0,0-2,125,0.06514866730187516,0.08504280561437015,0.06514866730187516,exposed
c2,0,0-2,126,0.09801148083100329,0.1270683419158949,0.09801148083100329,exposed
c2,0,0-2,127,0.10838771514802856,0.14215576449498935,0.10838771514802856,exposed
c2,0,0-2,128,0.09252081048893444,0.12504016785364055,0.09252081048893444,exposed
c2,0,0-2,129,0.2797770719028567,0.3747535484461251,0.2797770719028567,exposed
c2,0,0-2,130,0.5080431958573437,0.4623450765813522,0.5080431958573437,exposed
c2,0,0-2,131,0.4787305442253875,0.07363495612380337,0.4787305442253875,exposed
c2,0,0-2,132,0.3966140390547648,0.13918916122852354,0.3966140390547648,exposed
c2,0,0-2,133,0.282609194778322,0.18866036557089755,0.282609194778322,exposed
c2,0,0-2,134,0.46987061355227655,0.30695629759649257,0.46987061355227655,exposed
c2,0,0-2,135,0.28917683809489475,0.3471431393574603,0.28917683809489475,exposed
c2,0,0-2,136,0.1371549600388007,0.29030984228597273,0.1371549600388007,exposed
c2,0,0-2,137,0.20417477406847293,0.13348902015963535,0.20417477406847293,exposed
