time,detuning_vt,coupling_g,instantaneous_gap,probability_A_lower_eigenstate,probability_B_lower_eigenstate,ara_structural_path,ara_dx_dt
-8.0,-8.0,0.5,8.06225774829855,0.9961389383568339,0.0038610616431661304,0.007722123286332261,0.001908226685987823
-4.0,-4.0,0.5,4.123105625617661,0.9850712500726659,0.014928749927334062,0.029857499854668124,0.01426680147272547
-2.0,-2.0,0.5,2.23606797749979,0.9472135954999579,0.05278640450004207,0.10557280900008414,0.08944271909999157
-1.0,-1.0,0.5,1.4142135623730951,0.8535533905932737,0.14644660940672627,0.29289321881345254,0.3535533905932737
-0.5,-0.5,0.5,1.118033988749895,0.7236067977499789,0.27639320225002106,0.5527864045000421,0.7155417527999326
0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0
0.5,0.5,0.5,1.118033988749895,0.27639320225002106,0.7236067977499789,1.4472135954999579,0.7155417527999326
1.0,1.0,0.5,1.4142135623730951,0.14644660940672627,0.8535533905932737,1.7071067811865475,0.3535533905932737
2.0,2.0,0.5,2.23606797749979,0.05278640450004213,0.9472135954999579,1.8944271909999157,0.08944271909999157
4.0,4.0,0.5,4.123105625617661,0.014928749927334062,0.9850712500726659,1.9701425001453319,0.01426680147272547
8.0,8.0,0.5,8.06225774829855,0.0038610616431661304,0.9961389383568339,1.9922778767136677,0.001908226685987823
