seed,source_pair,counterpart_pair,lag,development_opposition,pair_control
0,1,30,2,0.6514508735594564,43
0,10,1,7,0.5953760832730646,12
0,12,15,6,0.6394250575454111,21
0,15,1,1,0.6468901284815182,10
0,21,65,5,0.5686234098775568,1
0,30,15,4,0.6045272741211729,21
0,43,15,4,0.32921338178208814,21
0,51,65,1,0.5211633723866163,1
0,53,1,1,0.4313717708436298,10
0,65,21,2,0.6231722731286158,30
1,1,21,4,0.48275147918712674,39
1,2,8,7,0.46502842747690154,18
1,8,2,7,0.4752253967169547,18
1,18,1,4,0.48642861891067873,2
1,21,1,4,0.5745567616784398,2
1,39,43,7,0.31738123390720635,50
1,43,21,4,0.3921033022050945,39
1,50,2,4,0.5033621788085174,8
2,0,65,5,0.8812678182538477,2
2,2,8,7,0.8844502714810133,10
2,5,64,7,0.8767861503415005,65
2,7,0,3,0.8088897471022152,2
2,8,25,2,0.8925554775910768,26
2,10,25,2,0.9010048666348108,26
2,11,64,0,0.8833230031078085,65
2,14,64,2,0.8545111271110322,65
2,17,32,2,0.8709281415470851,33
2,18,51,6,0.8320823075710223,53
2,19,32,2,0.8837330115923193,33
2,20,51,6,0.7806183229208372,53
2,21,33,4,0.859174262396848,34
2,24,51,4,0.8782961869725946,53
2,25,19,6,0.8874005337928106,20
2,26,64,0,0.8812475402134238,65
2,27,51,5,0.8604543323694571,53
2,28,64,0,0.8830953236983412,65
2,29,21,4,0.8561554900771965,24
2,32,64,6,0.907232598201413,65
2,33,29,3,0.8636254998434126,32
2,34,51,5,0.8609403198926708,53
2,35,64,7,0.9200431970438445,65
2,36,21,4,0.8607798513816087,24
2,37,64,7,0.9120290557380581,65
2,38,24,1,0.8688020790085272,25
2,40,28,5,0.8970369833082289,29
2,45,64,5,0.8765266432295652,65
2,51,21,3,0.8550348552206972,24
2,53,64,7,0.9085452067885315,65
2,55,64,7,0.900960138551727,65
2,56,19,6,0.8597872906312973,20
2,58,19,6,0.8938518700007577,20
2,60,33,5,0.8828197905535684,34
2,61,64,0,0.8741930492487651,65
2,62,24,5,0.8837750828227539,25
2,63,33,5,0.8839834655094834,34
2,64,10,7,0.9062607901776464,11
2,65,36,4,0.8796599995057943,37
4,0,51,5,0.8488546965219336,52
4,1,43,1,0.8030608737560845,44
4,4,61,0,0.8811571883031318,62
4,6,52,0,0.8257601461975742,54
4,7,0,4,0.8274529497038328,1
4,8,61,0,0.8410332663423344,62
4,9,18,4,0.8987555482259553,19
4,10,17,0,0.8613139521141208,18
4,13,50,0,0.844024933557503,51
4,14,20,4,0.8872369856462213,21
4,15,17,7,0.8877974021430092,18
4,17,43,7,0.8837076600256869,44
4,18,20,4,0.8746879064486931,21
4,19,43,7,0.8993935806339506,44
4,20,18,4,0.8878968562263279,19
4,21,18,7,0.8975383483023877,19
4,23,13,2,0.8326026662331115,14
4,24,43,4,0.8542568583106098,44
4,27,17,2,0.8142815525172107,18
4,29,13,2,0.8143107560491699,14
4,30,10,2,0.8328454117001823,13
4,39,19,7,0.8462798524970713,20
4,43,50,0,0.8614226416349199,51
4,44,20,4,0.8754287577740885,21
4,46,4,7,0.8299239232932921,6
4,47,0,4,0.876156981756609,1
4,48,4,7,0.8908768180621036,6
4,49,18,4,0.9001397758129166,19
4,50,43,0,0.8614226416349199,44
4,51,18,2,0.8814343592498719,19
4,52,17,7,0.864672704817141,18
4,54,17,7,0.8832838541203674,18
4,57,4,6,0.8538306366849516,6
4,59,39,0,0.8359244489607495,43
4,61,4,0,0.8811571883031318,6
4,62,18,4,0.8894118196775668,19
4,63,18,4,0.8970762621997187,19
4,64,48,7,0.8894541574813779,49
4,65,18,4,0.9200541998512871,19
5,0,13,4,0.8032046863608681,14
5,1,13,4,0.7827815599353145,14
5,2,42,7,0.7972001458626944,43
5,3,14,0,0.8849671554560876,17
5,4,13,4,0.7798807194419823,14
5,8,14,1,0.8443555027976662,17
5,9,42,7,0.8193422904799662,43
5,10,13,4,0.7718388166071417,14
5,11,3,0,0.8161921963036619,4
5,12,13,4,0.8025592299001296,14
5,13,31,4,0.8192644701115831,35
5,14,3,0,0.8849671554560873,4
5,17,3,1,0.8788797211103049,4
5,19,13,4,0.838030062244451,14
5,20,3,0,0.8161889680548443,4
5,21,38,4,0.7629343048542194,39
5,22,38,4,0.8082746425428373,39
5,23,3,0,0.8444572680607738,4
5,26,3,1,0.8444680318707762,4
5,28,13,4,0.7811908675090756,14
5,29,3,0,0.8084650258140216,4
5,30,3,7,0.8316296934498499,4
5,31,38,4,0.8121073919802416,39
5,35,8,7,0.7885006940401036,9
5,36,42,7,0.7916858200159848,43
5,37,60,2,0.7847666695076205,62
5,38,19,3,0.8055690562446692,20
5,39,43,6,0.8094749738662999,44
5,42,8,7,0.852125540380611,9
5,43,42,7,0.8386778579607752,44
5,44,38,4,0.7769432149754553,39
5,46,14,6,0.819943683029438,17
