branch,seed,source_pair,endpoint,time,lag,source_closure,release,target_accumulation,angle_deg,rotation_error
c2,78,"(4, 7)",4,0,2,0.0,0.0,0.2841162383556366,,
c2,78,"(4, 7)",4,1,2,0.0,0.0,0.26785993576049805,,
c2,78,"(4, 7)",4,2,2,0.036040738224983215,0.0020622089505195618,0.2344013899564743,180.0,0.174527954501709
c2,78,"(4, 7)",4,3,2,0.033978529274463654,0.003859281539916992,0.28509843349456787,180.0,0.361424426319491
c2,78,"(4, 7)",4,4,2,0.03011924773454666,0.0037783998996019363,0.1649690568447113,180.0,0.15297964608343353
c2,78,"(4, 7)",4,7,2,0.3836449086666107,0.04392796754837036,0.1253555417060852,180.0,0.180249852738208
c2,78,"(4, 7)",4,10,2,0.5989311337471008,0.0,0.0,,
c2,78,"(4, 7)",4,11,2,0.6498388648033142,0.03409773111343384,0.0,,
c2,78,"(4, 7)",4,12,2,0.6157411336898804,0.0,0.0,,
c2,78,"(4, 7)",4,13,2,0.6219598650932312,0.11785304546356201,0.05225779861211777,180.0,0.27361810995336644
c2,78,"(4, 7)",4,14,2,0.5041068196296692,0.16327425837516785,0.32545799016952515,180.0,0.0969711829084078
c2,78,"(4, 7)",4,15,2,0.34083256125450134,0.16623181104660034,0.28010129928588867,180.0,0.06334148151888021
c2,78,"(4, 7)",4,16,2,0.174600750207901,0.12769567966461182,0.08869078755378723,180.0,0.16716841719604836
c2,78,"(4, 7)",4,17,2,0.04690507426857948,0.028143083676695824,0.17742909491062164,0.0,0.13476593300188458
c2,78,"(4, 7)",4,18,2,0.01876199059188366,0.018504248932003975,0.13659456372261047,0.0,0.20523144011014222
c2,78,"(4, 7)",4,19,2,0.00025774186360649765,0.0,0.00513865053653717,0.0,0.20714892617704203
c2,78,"(4, 7)",4,20,2,0.012303442694246769,0.0,0.0,,
c2,78,"(4, 7)",4,21,2,0.03661489114165306,0.0,0.0,,
c2,78,"(4, 7)",4,22,2,0.042535290122032166,0.019832484424114227,0.0,,
c2,78,"(4, 7)",4,23,2,0.022702805697917938,0.017514867708086967,0.0,,
c2,78,"(4, 7)",4,24,2,0.005187938455492258,0.0019630067981779575,0.028332622721791267,180.0,0.05409652267530022
c2,78,"(4, 7)",4,25,2,0.0032249316573143005,0.0,0.0561048723757267,0.0,0.08081663020516101
c2,78,"(4, 7)",4,26,2,0.018316851928830147,0.0,0.06714732944965363,180.0,0.10433055472919994
c2,78,"(4, 7)",4,27,2,0.024920865893363953,0.006316648796200752,0.02398017793893814,180.0,0.09434168651888497
c2,78,"(4, 7)",4,28,2,0.0186042170971632,0.0149408970028162,0.0,,
c2,78,"(4, 7)",4,29,2,0.003663320094347,0.0,0.007130034267902374,180.0,0.043745370845768655
c2,78,"(4, 7)",4,30,2,0.0072953104972839355,0.0,0.0,,
c2,78,"(4, 7)",4,31,2,0.039705246686935425,0.0,0.055955782532691956,0.0,0.05154564687857743
c2,78,"(4, 7)",4,32,2,0.06708867102861404,0.0,0.05762452632188797,0.0,0.05386851785699898
