gate_id,description,passed,value
P1,all 88 physical reconstructions pass,True,true
P2,all Ramsey states begin with three strong axes,True,"[3, 3, 3, 3]"
P3,all Ramsey states cross CHSH within sampled interval,True,"{""Phi-minus"": {""found"": true, ""wait_index"": 6, ""wait_us"": 24.02}, ""Phi-plus"": {""found"": true, ""wait_index"": 5, ""wait_us"": 20.02}, ""Psi-minus"": {""found"": true, ""wait_index"": 5, ""wait_us"": 20.02}, ""Psi-plus"": {""found"": true, ""wait_index"": 6, ""wait_us"": 24.02}}"
P4,all Ramsey states exhibit one axis after their last three-axis observation,True,"{""Phi-minus"": 16.02, ""Phi-plus"": 16.02, ""Psi-minus"": 20.02, ""Psi-plus"": 20.02}"
P5,median final Ramsey s1 retention >= 0.50,True,0.9335758166374205
P6,median final Ramsey s2 retention <= 0.50,True,0.09008180359410028
P7,preferential retention gap >= 0.20,True,0.8434940130433202
P8,CHSH failure is not earlier than last three-axis observation,True,"{""Phi-minus"": {""chsh_failure_index"": 6, ""last_three_axis_index"": 3}, ""Phi-plus"": {""chsh_failure_index"": 5, ""last_three_axis_index"": 3}, ""Psi-minus"": {""chsh_failure_index"": 5, ""last_three_axis_index"": 4}, ""Psi-plus"": {""chsh_failure_index"": 6, ""last_three_axis_index"": 4}}"
E1,all Hahn states begin with three strong axes,True,"[3, 3, 3, 3]"
E2,all Hahn states cross CHSH within sampled interval,True,"{""Phi-minus"": {""found"": true, ""wait_index"": 8, ""wait_us"": 251.19}, ""Phi-plus"": {""found"": true, ""wait_index"": 8, ""wait_us"": 251.19}, ""Psi-minus"": {""found"": true, ""wait_index"": 8, ""wait_us"": 251.19}, ""Psi-plus"": {""found"": true, ""wait_index"": 8, ""wait_us"": 251.19}}"
E3,Hahn/Ramsey crossing-time geometric-mean ratio >= 4,True,11.454702330910406
E4,each Hahn state retains three axes beyond its Ramsey crossing time,True,"{""Phi-minus"": {""latest_hahn_three_axis_us"": 125.89, ""ramsey_cross_us"": 24.02}, ""Phi-plus"": {""latest_hahn_three_axis_us"": 125.89, ""ramsey_cross_us"": 20.02}, ""Psi-minus"": {""latest_hahn_three_axis_us"": 125.89, ""ramsey_cross_us"": 20.02}, ""Psi-plus"": {""latest_hahn_three_axis_us"": 125.89, ""ramsey_cross_us"": 24.02}}"
