split,base_id,family,omega,t1,tphi,rotation_slope,rotation_score,relaxation_score,ridge_coherence,rotating_label,relaxing_label,ridge_u_label,rotation_threshold,relaxation_threshold,ridge_threshold,predicted_family
development,D0000,U,1.4656079578270746,2.2765654310404813,2.0780161533609647,1.4675047024614127,1.4675047024614127,0.028701180700730793,0.9845345788708816,1,0,1,0.6814251366291233,0.3549819438467047,0.6324520036139974,U
development,D0000,T2,1.4656079578270746,2.2765654310404813,2.0780161533609647,-0.02139454876612237,0.02139454876612237,-0.1032698237608209,0.19663887523745638,0,0,0,0.6814251366291233,0.3549819438467047,0.6324520036139974,T2
development,D0000,T1,1.4656079578270746,2.2765654310404813,2.0780161533609647,-0.0007003239381416983,0.0007003239381416983,0.7059995628818599,0.9150244616927151,0,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,T1
development,D0000,C,1.4656079578270746,2.2765654310404813,2.0780161533609647,1.4088632454063914,1.4088632454063914,0.6425805070052217,0.8045362718148833,1,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,C
development,D0001,U,1.424817128631044,1.978222225559793,1.5445373318180557,1.409019333452044,1.409019333452044,0.021962849558373517,0.9783136237703534,1,0,1,0.6814251366291233,0.3549819438467047,0.6324520036139974,U
development,D0001,T2,1.424817128631044,1.978222225559793,1.5445373318180557,-0.016529353721201196,0.016529353721201196,0.005856992994778192,0.17549749688570854,0,0,0,0.6814251366291233,0.3549819438467047,0.6324520036139974,T2
development,D0001,T1,1.424817128631044,1.978222225559793,1.5445373318180557,-0.01857557039184488,0.01857557039184488,0.745518526749493,0.9344217816538005,0,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,T1
development,D0001,C,1.424817128631044,1.978222225559793,1.5445373318180557,1.4599120006501052,1.4599120006501052,0.7441467945270167,0.8566674227412379,1,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,C
development,D0002,U,0.9882999866540114,1.73926029943821,1.606558151859331,0.9940418334753013,0.9940418334753013,0.02421798141547776,0.9777948754316609,1,0,1,0.6814251366291233,0.3549819438467047,0.6324520036139974,U
development,D0002,T2,0.9882999866540114,1.73926029943821,1.606558151859331,-0.048701482145933055,0.048701482145933055,-0.02165141180799439,0.15341323371701127,0,0,0,0.6814251366291233,0.3549819438467047,0.6324520036139974,T2
development,D0002,T1,0.9882999866540114,1.73926029943821,1.606558151859331,0.011529471597554516,0.011529471597554516,0.7382754060510477,0.9460269876444514,0,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,T1
development,D0002,C,0.9882999866540114,1.73926029943821,1.606558151859331,0.866368582489556,0.866368582489556,0.726742099713831,0.9053064351938668,1,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,C
development,D0003,U,0.8195683216346351,2.6851055262580594,1.5286273642108539,0.8356933199009559,0.8356933199009559,0.002244185111217791,0.9976120790290586,1,0,1,0.6814251366291233,0.3549819438467047,0.6324520036139974,U
development,D0003,T2,0.8195683216346351,2.6851055262580594,1.5286273642108539,0.07187113813561767,0.07187113813561767,-0.038872506280052115,0.14419240632302915,0,0,0,0.6814251366291233,0.3549819438467047,0.6324520036139974,T2
development,D0003,T1,0.8195683216346351,2.6851055262580594,1.5286273642108539,0.002784403419451055,0.002784403419451055,0.6564513061454984,0.9055583871057367,0,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,T1
development,D0003,C,0.8195683216346351,2.6851055262580594,1.5286273642108539,0.9458660852438396,0.9458660852438396,0.6777647149204413,0.7676437702535914,1,1,,0.6814251366291233,0.3549819438467047,0.6324520036139974,C
development,D0004,U,1.4109311638724857,2.262966392409232,2.402129668523923,1.3896725889436428,1.3896725889436428,0.0023604628325698193,0.9756892113681808,1,0,1,0.6814251366291233,0.3549819438467047,0.6324520036139974,U
development,D0004,T2,1.4109311638724857,2.262966392409232,2.402129668523923,-0.0030888645036532677,0.0030888645036532677,0.025384455472983326,0.25910697355021184,0,0,0,0.6814251366291233,0.3549819438467047,0.6324520036139974,T2
