stratum,eligible_sources,trial_strata,local_reconstruction_fraction,timing_hit_fraction,timing_eligible,direct_neighbour_transfer_fraction,transfer_eligible_nonreturning,mirror_mae,persistence_mae,no_return_mae,exact_transfer_overlap,orientation_reliable_reconstructions,stable_orientation_flip_fraction,final_source_x_quantiles,final_neighbour_x_quantiles
c2,5311,100,0.8879683675390698,0.32782018659881257,4716,0.02857142857142857,595,1.3682191752495336,0.6987246628850642,0.5111557778112243,0.26533827853504577,4716,0.0,"{'q05': 0.005047204037369455, 'q25': 0.05707150206894575, 'median': 0.24366328350344502, 'q75': 0.7722911666486982, 'q95': 2.2393012576683198}","{'q05': 0.0, 'q25': 0.15417710471637397, 'median': 0.46803138653056764, 'q75': 1.0018645476529344, 'q95': 2.183442249579328}"
c4,5208,100,0.8759600614439325,0.30819815870232353,4562,0.02321981424148607,646,1.3885841167523092,0.7165008562977206,0.5276581716475529,0.28841870556166205,4562,0.0,"{'q05': 0.006924831753805218, 'q25': 0.06798865013372059, 'median': 0.2596533384768418, 'q75': 0.7597153244549277, 'q95': 2.3399838080853184}","{'q05': 0.0, 'q25': 0.16410686345976389, 'median': 0.4832296819551297, 'q75': 0.9671050840530931, 'q95': 2.1318194111176587}"
pooled,10519,200,0.8820230059891625,0.31817201983186033,9278,0.0257856567284448,1241,1.3783019412298032,0.7075257290789149,0.5193261806156353,0.2767654925244571,9278,0.0,"{'q05': 0.005804893212335538, 'q25': 0.0621854326950797, 'median': 0.2518167117534796, 'q75': 0.7673845950365079, 'q95': 2.280596762502991}","{'q05': 0.0, 'q25': 0.16018835652069452, 'median': 0.4737598906049938, 'q75': 0.984429835333318, 'q95': 2.1612935323801916}"
