gate_id,description,passed,value
R1,88 unique rows form eight valid trajectories,True,true
R2,all visible and target coordinates lie inside 0-2,True,true
R3,amplitude correlation >= 0.95 in both conditions,True,"{""Hahn"": 0.9892314030093007, ""Ramsey"": 0.974313832842743}"
R4,direction correlation >= 0.40 in both conditions,True,"{""Hahn"": 0.9866157054678024, ""Ramsey"": 0.7657621206124074}"
R5,overall median two-axis error <= 0.25,True,0.17107010843569354
R6,mean error improvement over ridge-only >= 25% in both conditions,True,"{""Hahn"": 85.43427853803757, ""Ramsey"": 65.877741692801}"
R7,mean error improvement over same-phase >= 50% in both conditions,True,"{""Hahn"": 92.62257791764024, ""Ramsey"": 82.69311889267821}"
R8,opening/closing branch accuracy >= 75% in both conditions,True,"{""Hahn"": 0.9545454545454546, ""Ramsey"": 0.8409090909090909}"
R9,median angular opposition score >= 0.75 in both conditions,True,"{""Hahn"": 0.9993898671428179, ""Ramsey"": 0.9384389608475865}"
R10,target relation reconstructed from visible anti-phase plus residual <= 1e-12,True,0.0
