basis,split,model,prevalence,accuracy,balanced_accuracy,auroc,average_precision,error_rate,true_positive_rate,true_negative_rate
X,development,ARA_relation,0.41848,0.52932,0.5289147244070405,0.5408620881264399,0.4433003934680109,0.47068,0.5264289810743644,0.5314004677397166
X,holdout,ARA_relation,0.49168,0.5064,0.5052825890939812,0.5116316958956239,0.5020934472055367,0.49360000000000004,0.43813049137650506,0.5724346868114574
X,development,count_only,0.41848,0.53298,0.5302661323902693,0.5434205812983695,0.4515805601134746,0.46702,0.5136207226151788,0.5469115421653598
X,holdout,count_only,0.49168,0.5012,0.5027489467547673,0.5051117858003256,0.4949411738575691,0.4988,0.5958346892287667,0.409663204280768
X,development,ARA_plus_count,0.41848,0.53628,0.5391734445321694,0.5569799169219848,0.457553570283,0.46372,0.5569202829286943,0.5214266061356445
X,holdout,ARA_plus_count,0.49168,0.5051,0.5058793815396028,0.5108144055964399,0.49915622353833394,0.4949,0.5527172144484217,0.4590415486307838
Z,development,ARA_relation,0.35712,0.54228,0.5412599646795513,0.5615992690082688,0.3959322998514626,0.45772,0.5376904121863799,0.5448295171727228
Z,holdout,ARA_relation,0.47988,0.51438,0.5087323719596617,0.5166768729532738,0.4885292879008569,0.48562000000000005,0.3683837626073185,0.6490809813120049
Z,development,count_only,0.35712,0.54798,0.5364202821175676,0.5539235225340136,0.3938414730934871,0.45202,0.4959677419354839,0.5768728222996515
Z,holdout,count_only,0.47988,0.50702,0.5086008726283702,0.5127757937010464,0.4891173096115935,0.49298,0.5478869717429358,0.4693147735138045
Z,development,ARA_plus_count,0.35712,0.54912,0.5544336997846608,0.5789255015805332,0.4124969416303338,0.45087999999999995,0.5730286738351255,0.5358387257341961
Z,holdout,ARA_plus_count,0.47988,0.51332,0.5107282101357968,0.5191711213840016,0.4916615732841411,0.48668,0.44631991331166126,0.5751365069599323
