shots,n_trials,ara_accuracy,bloch_accuracy,z_accuracy,native_accuracy,time_shuffle_accuracy,axis_shuffle_accuracy,rotation_direction_accuracy,ridge_u_vs_t2_accuracy,heldout_mae,heldout_raw_mae,heldout_z_mae,antipodal_obs_mae,reconstruction_rmse,raw_reconstruction_rmse,radius_mae,raw_radius_mae,raw_unphysical_fraction,ara_bloch_max_state_diff,ara_bloch_max_score_diff,ara_bloch_disagreements
32,512,0.912109375,0.912109375,0.5,1.0,0.39453125,0.4921875,0.8984375,1.0,0.11997263296943869,0.12400192819202868,0.30739108472361776,0.17310826228215143,0.1515403005881828,0.1564292915423881,0.08596673750139888,0.10358241058220378,0.2813701923076923,0.0,0.0,0
64,512,0.958984375,0.958984375,0.5,1.0,0.419921875,0.5390625,0.96875,1.0,0.08612753917730905,0.08803376669161908,0.3005306414125133,0.12249609140249398,0.108718164763543,0.11094428030126859,0.06195533539707883,0.07135137808551421,0.22725360576923076,0.0,0.0,0
128,512,0.998046875,0.998046875,0.5,1.0,0.455078125,0.5234375,1.0,1.0,0.06112286561479594,0.06203433628932395,0.29749031288093847,0.08674527681790865,0.07734136517667929,0.07836787573123488,0.04385489339070872,0.04904691021997072,0.18428485576923076,0.0,0.0,0
256,512,1.0,1.0,0.5,1.0,0.44921875,0.62109375,1.0,1.0,0.04338711841342366,0.04395085684856205,0.2970069227877975,0.06152566763070913,0.05491577039072632,0.055507034314708284,0.031191017034448147,0.03459342963093405,0.16622596153846153,0.0,0.0,0
512,512,1.0,1.0,0.5,1.0,0.439453125,0.591796875,1.0,1.0,0.0307623453036494,0.031099240532163112,0.291494160872336,0.04361141644991361,0.03880541760934646,0.03915995905257588,0.021674531214484337,0.023876389589150893,0.15549879807692304,0.0,0.0,0
1024,512,1.0,1.0,0.5,1.0,0.443359375,0.607421875,1.0,1.0,0.021684998753543162,0.02192484544229968,0.29434338966915646,0.030717879075270432,0.027465452132005443,0.027700412337014133,0.015429022213979196,0.016947737594794253,0.15147235576923077,0.0,0.0,0
