branch_label,seed,time,source_pair_name,endpoint,source_start_x,one_step_release,exact_child_name,exact_start_x,exact_gain,exact_accumulation,exact_overlap,exact_flow_x,topology_start_x,topology_gain,seed_start_x,seed_gain,time_start_x,time_gain
c2,0,254,8-11,8,1.5139117788655958,0.5117778953527861,8-9,0.9067549008961162,0.24976717355681322,0.24976717355681322,0.1278253184111199,0.6559485019433888,0.006738075907389466,0.00177054319438917,0.0023099686106396004,0.0001547418022994373,0.2358500435066872,-0.21099141696618368
c2,0,397,3-10,3,1.8542059385499725,0.23866817375386584,2-3,0.1254832560549641,0.23753292820510427,0.23753292820510427,0.05669155018112037,0.9976160375436103,0.0009592446754482521,0.03390222949221516,0.379819837830954,0.15741875386077148,0.8981527768787148,-0.5595441655277369
c2,1,275,3-9,3,2.0125642013039116,0.4715987371960151,3-4,0.32529925964158074,0.08190768807183169,0.08190768807183169,0.03862756226132093,0.2959593035697673,0.004749757858590259,0.09983549210970484,2.8076535036844796,-0.4698871524779178,0.028225932021118755,-0.008803614409624592
c2,1,385,4-9,4,2.865664662520907,0.651548572104717,4-5,0.3378599231431923,0.0814336602573768,0.0814336602573768,0.05305798506195449,0.22219818342649406,0.0036994729935292394,-0.0002055946117329329,0.020011224412689668,0.08094439520104776,0.03220497555171185,0.1485942254725396
c2,1,467,1-8,1,3.5206572949800825,0.26626441489908714,0-1,0.0426524181899163,0.2775532954328108,0.2775532954328108,0.07390256581173085,1.0207585746459673,0.0024872592405495095,0.00010044000448800007,1.3927311741468709,-0.17637468868016115,0.052109590115216244,-0.04965776666685674
c2,2,314,4-7,4,2.224017365523738,0.07548013608425519,4-5,3.103355242293521,-0.7005010892105017,0.0,0.0,0.0,0.059582782362113486,0.06586704988597705,0.38292844729824416,0.345523082619561,0.04276185627509732,-0.015798197424033697
c2,2,443,2-9,2,4.960377413512888,0.5642851257475296,1-2,1.3163863926712154,0.8671370258483357,0.8671370258483357,0.489312525671167,1.21157413259475,0.011679046276996967,0.011515365916200398,1.6198158168546806,-0.32005910766669476,0.15828784924901612,-0.08010668357274983
c2,3,281,7-10,10,1.9221988898182196,0.2413361356390622,10-11,0.07742205607555924,0.3376308448754801,0.3376308448754801,0.08148252337480004,1.1663215908286142,0.042479495547931595,0.018194969928820852,0.020835758470055057,0.0006779887217738222,0.7014277586504074,-0.16534188022126983
c2,3,398,1-8,8,2.500232371330892,0.8924050969416035,7-8,2.4063243849165272,-0.23768762447451497,0.0,0.0,0.0,0.03816161338513975,0.03328024694164336,0.2987312738258251,-0.14586231357101528,0.9169002141563308,-0.847393146089692
c2,4,261,3-6,3,3.3914902437355563,0.8986447439398577,2-3,0.1904239982992594,0.7320081930469929,0.7320081930469929,0.657815315202593,0.8978099219563062,0.025759581684827743,0.054226172744879605,0.015761118577618326,-0.013766900683894993,1.8200801795370776,1.0022038877150052
c2,4,362,0-7,0,3.46966881597806,0.3587953822667522,0-11,0.19897523456252636,0.3758946918150344,0.3758946918150344,0.13486927964181827,1.0232741807076309,0.2308476641479984,0.0353569381581994,0.037343201164919675,0.0027330141667663496,0.8948847528717572,-0.6795630117926881
c2,4,436,2-8,2,1.5076068983017117,0.09812231085122325,2-3,0.07463822159194186,0.03894004793471162,0.03894004793471162,0.0038208874880113074,0.5682092192142777,0.185414941931259,0.2859506825474478,0.10937712491426395,-0.04555520996399859,0.029468483749527954,0.05292585773566498
c2,5,301,10-11,11,1.984629953418811,0.19961551568431912,0-11,0.009810262870263289,0.9453963694709022,0.9453963694709022,0.18871578381801724,1.6513302293674295,0.0038018552730270097,0.10959878178731002,0.7829903549494152,0.6387092611238444,0.34306801780745194,0.06896879013973084
c2,5,411,3-5,3,1.9172196932036187,0.24399615535764285,3-4,0.020538499609647605,0.15214632043193563,0.15214632043193563,0.037123117237204274,0.7681393929226218,0.01605515941941349,0.22922845421514856,0.0094784316532301,0.013424545253269022,0.003360663635070628,0.04180183204366734
c2,6,263,1-9,9,3.4887449599557745,0.8544051547458693,9-10,1.7081915409770876,-0.303677963664738,0.0,0.0,0.0,0.0005093601876676137,0.00022234072132327424,0.21865810565724644,-0.1742828320922023,0.05309467699067328,0.23209062218835474
c2,6,376,3-7,3,1.711193936855363,0.030974007354861,2-3,2.5416656549697767,-0.25645178521590717,0.0,0.0,0.0,0.015588307818277533,0.07339652686965877,0.010295782817786323,-0.0021419343229289473,0.011914395766166538,0.011166613652871814
