branch,seed,events,exact_start_x_mean,exact_gain_mean,exact_overlap_mean,exact_flow_x_mean,topology_start_x_mean,topology_gain_mean,topology_overlap_mean,topology_flow_x_mean,seed_start_x_mean,seed_gain_mean,seed_overlap_mean,seed_flow_x_mean,time_start_x_mean,time_gain_mean,time_overlap_mean,time_flow_x_mean
c2,0,84,0.9093251833488443,0.13638864185136446,0.18041305828516077,0.5276589460994874,0.028847798556096586,0.030987268858669002,0.01607989473955939,0.15827261139285054,0.5100068691567189,-0.034047867058843974,0.06559632472284262,0.309190717812466,0.6648531829179338,-0.07418815017203961,0.04648185002568641,0.2510823084057041
c2,1,124,0.9726259070125564,-0.009678581186814729,0.11986550323693737,0.41188991464751423,0.03168236919512407,0.02399718665570241,0.018261522536263352,0.15374286395059752,0.49288300010596975,0.026851286563767483,0.0618253343437489,0.288774381371051,0.6723670672952234,-0.04507123087097205,0.07814132837756095,0.30678553782740337
c2,2,105,1.0744916063097527,0.031947043947927876,0.1261295808900374,0.38083030758227837,0.03862106736465552,0.03896197385014531,0.02812834668101197,0.1732505547244867,0.4233384980166901,-0.03967152755168635,0.04232089150023876,0.19851989567548167,0.6103778628670258,0.0247742844608666,0.08417316847549815,0.2522854876019541
c2,3,110,0.740128748129076,0.08179210177788919,0.08826809941521675,0.5429898568839394,0.04190102721809955,0.042661766320178804,0.0244753723413401,0.22379709794118083,0.6566670127851955,-0.007523839409846078,0.0640916228354993,0.37163404267827416,0.4660574752449828,-0.021860079898135872,0.028466613518156082,0.3270590202251363
c2,4,121,0.9041638382355235,0.09812193403726231,0.11617214209026284,0.5584121403073911,0.0389231962477658,0.03587679800829129,0.016337391475425095,0.2279548333784959,0.6488968934929955,0.04239669955697746,0.0653407275477573,0.4052432423179738,0.42097758834573173,0.007791190823282912,0.039222612855054836,0.2923524763751326
c2,5,113,0.7814751116621589,0.040887212448025845,0.0955883615726637,0.5385873025570586,0.044722434602041186,0.03271436907475869,0.019224777720775143,0.22112430976900577,0.7659923584816181,0.026730431600152732,0.060158395214711745,0.3956543203134482,0.4652794829501112,0.016873662424476684,0.04355516585371567,0.3214992980553554
c2,6,119,0.8557596899626819,0.033758727685472285,0.08225956795159636,0.5638257603419407,0.03150574296658619,0.032377316258228164,0.015897952234419564,0.1879235487969418,0.5669240928101603,-0.0277888033398333,0.031664129755585795,0.3243263849811633,0.49816320669110437,0.0020087131345599726,0.044754212213548396,0.2945357467343906
c2,7,112,0.9835151843629897,0.04513982719233952,0.1169407022403429,0.5020352365168458,0.029271186783991827,0.026136728825763695,0.013131094086127424,0.16012719103841108,0.5169908648623858,-0.0005087846121060101,0.06360812762597079,0.31270457967021287,0.4705342257488101,0.04362181886229933,0.0508593479370151,0.3033367578096148
c2,8,135,0.9005446390527813,0.02803653826362027,0.10236179743027687,0.49662260671647496,0.04157011614943511,0.035470861296495515,0.01901285377614757,0.2222357584882851,0.6489165643153847,0.06022164598667086,0.07990741121287791,0.3934502431605445,0.6764531685304849,0.01682480045561075,0.0974501331186481,0.38752307539604675
c2,9,108,1.0496999278784787,0.14384736908934867,0.1913997232597734,0.6313527254102179,0.04127123644035172,0.05446645079644849,0.02101416968523944,0.22741534719198195,0.5584856208611174,0.06395608483877017,0.058441858216375445,0.3503392659734066,0.6812450187054294,0.07740348068893832,0.09041235310787202,0.4086911205056872
