definition,condition,eta_change,eta_rate,eta_self_conservative,te_ara_self,te_ara_other,loso_r2_change_pooled,loso_r2_rate_pooled,permutation_p_self,cross_definition_correlation
purity_defined_primary,Ramsey,0.9974389035520888,0.915259494322937,0.915259494322937,1.830518988645874,0.16948101135412608,0.9789163575271591,0.6771419992609607,0.0001,0.974867177004091
purity_defined_primary,Hahn,0.9860475714125961,0.6764136759937616,0.6764136759937616,1.3528273519875231,0.6471726480124769,0.9559621383793436,0.3675208956604701,0.0073,0.9880507501346095
q8_algebraic_robustness,Ramsey,0.9961970545460733,0.8662305521871837,0.8662305521871837,1.7324611043743674,0.2675388956256326,0.9751797518855633,0.33312603144624997,,0.974867177004091
q8_algebraic_robustness,Hahn,0.9892662064732335,0.8174483269411312,0.8174483269411312,1.6348966538822625,0.36510334611773754,0.9661186815278779,0.6231353715131145,,0.9880507501346095
