split,child,cut,setting,segment,ridge_current,ara_mean,ara_std,ara_q05,ara_median,ara_q95,n_records
development,C00,K0G0,K0,G0,-0.00274671,1.023344839661077,0.02339307641760492,0.9818828448104366,1.0241366743442375,1.0624135607460687,40
development,C00,K0G1,K0,G1,-0.004699925999999999,1.0218266311618733,0.04964175136806974,0.9824117199770427,1.0113038857540282,1.0568996060516547,40
development,C00,K0G2,K0,G2,-0.004699925999999999,1.0941564109375146,0.09595083957204383,0.9947113310435315,1.030961599723978,1.2267720223293357,40
development,C00,K0G3,K0,G3,-0.004944077999999999,1.1106726646235703,0.10475992065750245,1.0022062807578465,1.040787876495257,1.2378008140629788,40
development,C00,K0G4,K0,G4,-0.004822002,1.0291037541130763,0.06112381033808084,0.982349944623838,1.0111864367312329,1.2083164882241995,40
development,C00,K1G0,K1,G0,-0.00274671,1.0253262519229545,0.03539016088365752,0.9581748842842273,1.0319656458725406,1.074252212015247,40
development,C00,K1G1,K1,G1,-0.004699925999999999,1.0482349472817203,0.07569820338071663,0.9854298322154122,1.0207981094645513,1.210277732906607,40
development,C00,K1G2,K1,G2,-0.004699925999999999,1.0909078992056247,0.09554062186208102,0.9970890299222213,1.033541589050071,1.230103563681126,40
development,C00,K1G3,K1,G3,-0.004822002,1.0794676635545106,0.1044256428569163,0.9824402383305005,1.0234727465860103,1.241506259239368,40
development,C00,K1G4,K1,G4,-0.004822002,1.0364920443785581,0.07564760197269496,0.9892254802071387,1.0085253228854487,1.222242435809021,40
development,C00,K2G0,K2,G0,-0.002624634,1.0160167953347914,0.024540733774916917,0.9825179722515438,1.014067456708704,1.0507661639179522,40
development,C00,K2G1,K2,G1,-0.004699925999999999,1.0765087118574912,0.09462284810553853,0.9920494307219332,1.02709896593925,1.2361746914209337,40
development,C00,K2G2,K2,G2,-0.00457785,1.0383728135180843,0.06370701418390727,0.9874899662384505,1.019027717415624,1.186091744249778,40
development,C00,K2G3,K2,G3,-0.004822002,1.078015609643535,0.09760456118771876,0.9942456340458228,1.0241808761107678,1.2513528409376857,40
development,C00,K2G4,K2,G4,-0.004822002,1.0699385404071617,0.08313340149150271,0.9974486708267163,1.0291168297692401,1.2151501612107845,40
development,C00,K3G0,K3,G0,-0.002624634,1.010979526893768,0.02270292018536454,0.9827470370114828,1.012254801420284,1.0492314861651577,40
development,C00,K3G1,K3,G1,-0.00457785,1.0737433270084542,0.09412884658340817,0.9867292867223041,1.0203565374704202,1.2198850770388765,40
development,C00,K3G2,K3,G2,-0.004699925999999999,1.071965509503889,0.0841037093491249,0.9954219895758009,1.0310353353629114,1.2140012183462323,40
development,C00,K3G3,K3,G3,-0.004822002,1.0376063220439282,0.06970098446979288,0.9793793219142759,1.0174870175589628,1.2064811007701557,40
development,C00,K3G4,K3,G4,-0.004699925999999999,1.055882527966796,0.0864747449258929,0.9858183103073459,1.0136708103489838,1.2178451759425633,40
development,C00,K4G0,K4,G0,-0.00274671,1.023705565413823,0.03140871096980896,0.9797801730508111,1.022310871161051,1.0716283485752616,40
development,C00,K4G1,K4,G1,-0.004699925999999999,1.0256820631378054,0.0638707001576544,0.9722221774753095,1.008954516225839,1.1998261114751338,40
development,C00,K4G2,K4,G2,-0.004699925999999999,1.1350650146806345,0.0985238001766557,0.987145877922764,1.1964657101967417,1.2247405812871586,40
development,C00,K4G3,K4,G3,-0.004944077999999999,1.0659922123718482,0.09792416375386112,0.9897880111073454,1.0182729148505385,1.249999888984667,40
development,C00,K4G4,K4,G4,-0.004822002,1.0187376327461293,0.028978554405892122,0.9890522353647996,1.0156711903060085,1.047386772693706,40
development,C00,K5G0,K5,G0,-0.002624634,1.0284520687926446,0.029295563157130892,0.9765271879654288,1.0312104390269103,1.0739208453132023,40
development,C00,K5G1,K5,G1,-0.00457785,1.1070694481778913,0.09534820678443856,0.9995834754984584,1.0580848461304244,1.2165445383792661,40
development,C00,K5G2,K5,G2,-0.004699925999999999,1.0655266527653064,0.08754670358159133,0.9974676463772905,1.0289793421650018,1.2448977500359308,40
development,C00,K5G3,K5,G3,-0.004822002,1.0539246447481403,0.08448404850166841,0.993525218317223,1.0171801172462116,1.2309854058617777,40
development,C00,K5G4,K5,G4,-0.004699925999999999,1.0366476416905588,0.07566018074808743,0.9809881071487759,1.013261574021645,1.1989578702768677,40
development,C00,K6G0,K6,G0,-0.00274671,1.0240409186124757,0.029111611388528462,0.9789465481470706,1.0205516091987283,1.0709605119975918,40
development,C00,K6G1,K6,G1,-0.004699925999999999,1.068871509464729,0.09177272353871886,0.9932943012262577,1.0274583962418546,1.24435821466392,40
development,C00,K6G2,K6,G2,-0.00457785,1.0682159219844372,0.08480346545504514,0.9939374442495853,1.02446378271086,1.2117206171411712,40
development,C00,K6G3,K6,G3,-0.004791482999999999,1.0476442307692309,0.08241359675015725,0.9809254807692308,1.0135817307692307,1.2265024038461538,40
development,C00,K6G4,K6,G4,-0.004822002,1.0743427314019176,0.09158164452777731,0.9951127606831031,1.0274310849412052,1.2342666651875354,40
development,C00,K7G0,K7,G0,-0.002624634,1.016736533622972,0.027369821060885712,0.9831002959870881,1.012312994506129,1.0702418309500685,40
development,C00,K7G1,K7,G1,-0.00457785,1.0777463965050604,0.09373306365302847,0.9904418349784527,1.0282574864061167,1.2499939380384764,40
development,C00,K7G2,K7,G2,-0.004516811999999999,1.0345432692307692,0.06414116502962751,0.9910456730769232,1.0170673076923078,1.2137620192307692,40
development,C00,K7G3,K7,G3,-0.004822002,1.0611067694555114,0.08494691067823157,0.9898077620602104,1.0195106458536922,1.212408744817091,40
development,C00,K7G4,K7,G4,-0.004699925999999999,1.0632088932051074,0.0910421904586585,0.9740157179664477,1.0158442186744074,1.2162402432043256,40
development,C00,K8G0,K8,G0,-0.0025025579999999998,1.0111029346176994,0.02413972619205035,0.9722917421710014,1.0076127531771077,1.0516221642472385,40
development,C00,K8G1,K8,G1,-0.00457785,1.012837130830857,0.03839821263490809,0.9738348376622238,1.0053784658117202,1.0483549251656796,40
development,C00,K8G2,K8,G2,-0.00457785,1.0942762786364295,0.0988212585318161,0.991195375606037,1.0267921071452992,1.2231400966183574,40
development,C00,K8G3,K8,G3,-0.004822002,1.1194601943832982,0.09968105216846995,0.9974552713009233,1.1255239578155682,1.242750653420483,40
development,C00,K8G4,K8,G4,-0.004699925999999999,1.0224941275086175,0.03593703262759801,0.9800462179018359,1.0138478646308746,1.060177072173894,40
development,C01,K0G0,K0,G0,-0.00274671,1.0013439444533803,0.021861939131432997,0.9630531799078109,1.002418292020808,1.0330519824420055,40
development,C01,K0G1,K0,G1,-0.004699925999999999,0.9842319468323864,0.033888156912463274,0.9564601782224694,0.9804046164624329,1.005720099430965,40
development,C01,K0G2,K0,G2,-0.004699925999999999,1.108690743527346,0.09349701331399547,0.9789847942969739,1.1594102763443699,1.205781009211091,40
development,C01,K0G3,K0,G3,-0.004944077999999999,1.052163809906378,0.09619926161851736,0.9678756652483582,0.9954649450445295,1.1971259509721048,40
development,C01,K0G4,K0,G4,-0.004822002,0.9802358417751279,0.016564705028778555,0.960410164148221,0.977987299203649,1.0088693665273307,40
development,C01,K1G0,K1,G0,-0.00274671,0.9997406604114054,0.023395617678231066,0.9666510334824127,0.9999386988416364,1.046712901756769,40
development,C01,K1G1,K1,G1,-0.004699925999999999,1.0700530886386634,0.09390523452430019,0.9742840009746745,1.0036240656341047,1.202877523878612,40
