repetition,source_child,start,reverse,passed_all,u_cosine,v_cosine,u_sign_retention,v_sign_retention,bit_u_balanced_accuracy,bit_v_balanced_accuracy,four_child_balanced_accuracy
0,C01,56,1,0,0.3862493142664357,0.1367261370345607,0.7111111111111111,0.5111111111111111,0.55,0.4,0.175
1,C01,12,0,0,0.006089112619757896,0.17911910694727853,0.4222222222222222,0.4888888888888889,0.6,0.6,0.4
2,C10,34,0,0,0.05391543471333358,0.1891239649955985,0.5555555555555556,0.4666666666666667,0.5,0.6,0.325
3,C00,44,1,0,0.04755127224265625,0.3206086389939536,0.5111111111111111,0.5333333333333333,0.525,0.425,0.125
4,C00,18,1,0,0.010080192098571444,0.46152523201829015,0.4666666666666667,0.5777777777777777,0.525,0.6,0.425
5,C00,44,1,0,0.04755127224265625,0.3206086389939536,0.5111111111111111,0.5333333333333333,0.525,0.425,0.125
6,C01,27,1,0,0.01625668144882859,0.3331329180585932,0.28888888888888886,0.4666666666666667,0.5,0.575,0.375
7,C11,54,0,0,0.2824362449080205,0.3507006469560149,0.5111111111111111,0.37777777777777777,0.4,0.45,0.2
8,C10,25,0,0,0.2783654315986869,0.07663862966662835,0.5777777777777777,0.6,0.6,0.425,0.225
9,C01,67,0,0,0.38654432586029014,0.12990894548943258,0.6666666666666666,0.4666666666666667,0.6,0.625,0.375
10,C11,60,1,0,0.019304978993133867,0.27477320490368135,0.4444444444444444,0.5111111111111111,0.55,0.575,0.325
11,C11,58,0,0,0.038895578649222703,0.08460680723082109,0.5777777777777777,0.6444444444444445,0.525,0.475,0.275
12,C10,1,1,0,0.22333521369343862,0.2321456274065018,0.5333333333333333,0.5111111111111111,0.55,0.5,0.25
13,C01,26,1,0,0.17985514901596408,0.1367261370345606,0.5111111111111111,0.4888888888888889,0.6,0.475,0.3
14,C10,62,0,0,0.22770815047625664,0.11601539191278987,0.5333333333333333,0.4888888888888889,0.65,0.475,0.275
15,C00,61,0,0,0.12775402433847846,0.20150402156944114,0.4666666666666667,0.4444444444444444,0.5,0.525,0.275
16,C00,2,1,0,0.039418261425331204,0.14069296308295673,0.4888888888888889,0.5111111111111111,0.5,0.525,0.2
17,C10,52,1,0,0.496657228124942,0.0025363597010660023,0.5777777777777777,0.4888888888888889,0.675,0.525,0.375
18,C11,26,1,0,0.2824362449080198,0.3507006469560114,0.5111111111111111,0.37777777777777777,0.425,0.4,0.075
19,C11,63,1,0,0.11515011370873406,0.23646917654709562,0.5333333333333333,0.6,0.475,0.625,0.275
20,C11,77,0,0,0.17078352389353724,0.23646917654709773,0.5555555555555556,0.6,0.525,0.5,0.275
21,C01,50,0,0,0.11403423838702953,0.30715955814067475,0.4888888888888889,0.4666666666666667,0.475,0.575,0.325
22,C00,34,1,0,0.017310938529610565,0.32060863899395375,0.4666666666666667,0.4666666666666667,0.475,0.5,0.225
23,C01,55,0,0,0.01799781889406628,0.057750631855371465,0.4444444444444444,0.5111111111111111,0.575,0.475,0.35
24,C11,64,0,0,0.14067264807717997,0.3507006469560147,0.4666666666666667,0.6222222222222222,0.475,0.6,0.25
25,C10,12,0,0,0.09002559099212121,0.11601539191279008,0.5777777777777777,0.5111111111111111,0.475,0.5,0.2
26,C00,74,1,0,0.017310938529610236,0.32060863899395375,0.4666666666666667,0.4666666666666667,0.475,0.5,0.225
27,C00,31,1,0,0.19866172375219374,0.21007915430855528,0.4222222222222222,0.5111111111111111,0.625,0.475,0.325
28,C00,53,1,0,0.0015384643089581202,0.062092882714539874,0.5777777777777777,0.5555555555555556,0.55,0.475,0.3
29,C11,42,0,0,0.1456390223856,0.4395731037364624,0.5333333333333333,0.5333333333333333,0.475,0.575,0.225
30,C01,25,0,0,0.3303754597346554,0.05775063185537123,0.6222222222222222,0.4888888888888889,0.575,0.55,0.325
31,C00,54,1,0,0.14551956421207562,0.3206086389939536,0.5111111111111111,0.4666666666666667,0.55,0.5,0.25
32,C01,11,1,0,0.324294026749924,0.17995279904097805,0.5111111111111111,0.4444444444444444,0.6,0.575,0.4
33,C11,30,0,0,0.07088296649860146,0.27477320490368295,0.4888888888888889,0.4888888888888889,0.5,0.425,0.25
