removed_axis,split,child,record_index,coordinate_U,coordinate_V,coordinate_J
J,development,C00,0,0.15056267619636868,0.21135629884872353,
J,development,C00,1,0.17340315144146262,0.15942307661302796,
J,development,C00,2,0.12652409225689887,0.25799170466892674,
J,development,C00,3,0.17836049888015282,0.20229356606766352,
J,development,C00,4,0.13391936392373618,0.22604438668699672,
J,development,C00,5,0.17529608569336047,0.249000582655727,
J,development,C00,6,0.2367535546766514,0.18501851791006269,
J,development,C00,7,0.18396527684824066,0.16097763314540509,
J,development,C00,8,0.1854139071546379,0.14954249097232858,
J,development,C00,9,0.17177296235822348,0.20060976387735224,
J,development,C00,10,0.1261973572600553,0.13474557588156272,
J,development,C00,11,0.19153089791231967,0.213473836438765,
J,development,C00,12,0.09781818816640339,-0.05544641991401904,
J,development,C00,13,0.17713776413046645,0.13890510467001968,
J,development,C00,14,0.15885676412002528,0.1501202218174508,
J,development,C00,15,0.2004709240414324,0.021843224151561584,
J,development,C00,16,0.17564296948570568,0.12898374962984557,
J,development,C00,17,0.26463618566909625,0.1301705030924846,
J,development,C00,18,0.13461815388523307,0.2873538008987251,
J,development,C00,19,0.19075589932630654,0.07142039444321822,
J,development,C00,20,0.1998892898185401,0.1798189640575479,
J,development,C00,21,0.2203320047892221,0.11703226646826531,
J,development,C00,22,0.1330463407804712,0.21061064432644583,
J,development,C00,23,0.1717792257233891,0.23528692028053733,
J,development,C00,24,0.17849527143273006,0.07935160455405763,
J,development,C00,25,0.22561613897692562,0.16917559535326865,
J,development,C00,26,0.20837160810156108,-0.015076140780368674,
J,development,C00,27,0.13907905850056224,0.23195688399645875,
J,development,C00,28,0.1660004439313171,0.18264999367505108,
J,development,C00,29,0.14882036443161129,0.12502322659601384,
J,development,C00,30,0.034693532059428156,0.24677833596798013,
J,development,C00,31,0.1902142758760934,0.22944762623293552,
J,development,C00,32,0.214401273528107,0.1412791162289852,
J,development,C00,33,0.19251430886850757,0.08535838539864171,
J,development,C00,34,0.20814023214515612,0.16167891088535913,
J,development,C00,35,0.15363501837180343,0.20967350280380156,
J,development,C00,36,0.16678393939327527,0.158356254766532,
J,development,C00,37,0.05559785233686497,0.19106183528643636,
J,development,C00,38,0.08395911246872761,-0.046084320592829235,
J,development,C00,39,0.20665892516009926,0.07200787039954104,
J,development,C01,0,0.11370891152393534,-0.0847393341813192,
J,development,C01,1,0.11311498139523243,-0.08833554469616706,
J,development,C01,2,0.11297109705171401,0.05151340365438472,
J,development,C01,3,0.07096785868461628,-0.03684191496453471,
J,development,C01,4,0.1405088666738532,-0.1365224216097592,
J,development,C01,5,0.15131583529757217,-0.10896821318112931,
J,development,C01,6,0.1814795226194029,-0.03396162712351192,
J,development,C01,7,0.08371793542715043,-0.14405250297827446,
J,development,C01,8,0.1457031254834285,-0.09326267420175995,
J,development,C01,9,0.09218409768094035,-0.14466108206139394,
J,development,C01,10,0.11756319080250827,-0.17766523731485423,
J,development,C01,11,0.10549126728273253,-0.005730092351941246,
J,development,C01,12,0.09693412145832701,-0.09590173499034338,
J,development,C01,13,0.12859683448058742,-0.060936672770484396,
J,development,C01,14,0.14818365680258544,-0.14851343214671103,
J,development,C01,15,0.07077167248905415,-0.1375302192887167,
J,development,C01,16,0.0710125713916664,-0.04266491625703372,
J,development,C01,17,0.06495283146082009,-0.10250915374239236,
J,development,C01,18,0.07791183600694136,-0.08402884163518955,
J,development,C01,19,0.07898543241512594,-0.15611447258699349,
J,development,C01,20,-0.031457129740657314,-0.09321334399354583,
J,development,C01,21,0.17301967930815698,-0.07110861068977993,
J,development,C01,22,0.15786780286088115,-0.09927520456294997,
J,development,C01,23,0.08905468165017442,-0.07922705863679455,
J,development,C01,24,0.13404730130879142,-0.1305170208727111,
