gate_id,description,passed,value
U1,88 unique rows form eight valid eleven-point nonzero-range trajectories,True,true
U2,all amplitude and rate coordinates are finite and inside 0-2,True,true
U3,inverse amplitude reconstruction maximum error <= 1e-12,True,2.220446049250313e-16
U4,relation radius/angle and centred axes reconstruct within 1e-12,True,2.220446049250313e-16
U5,every quadrant TE composition sums to 2 within 1e-12,True,"{""Hahn/Phi-minus"": 2.0, ""Hahn/Phi-plus"": 1.9999999999999998, ""Hahn/Psi-minus"": 1.9999999999999998, ""Hahn/Psi-plus"": 1.9999999999999998, ""Ramsey/Phi-minus"": 2.0, ""Ramsey/Phi-plus"": 2.0, ""Ramsey/Psi-minus"": 2.0000000000000004, ""Ramsey/Psi-plus"": 2.0000000000000004}"
U6,both axes have nonzero variance in every trajectory,True,true
U7,median cross-state amplitude-axis correlation >= 0.80 in both conditions,True,"{""Hahn"": 0.9830256124705491, ""Ramsey"": 0.9879450332684678}"
U8,median cross-state rate-axis correlation >= 0.40 in both conditions,True,"{""Hahn"": 0.9299154949147885, ""Ramsey"": 0.459002543455191}"
U9,median two-axis distance using purity-defined H <= 0.25,True,0.1710701084356946
