path_id,group,step_index,source_time_start,source_time_end,heading_start_turns,heading_end_turns,ara_x_start,ara_x_end,absolute_circular_step_turns,step_mean_relative_movement,path_normalized_movement,quadrant_start,quadrant_end,quadrant_transition,large_step_ge_0_125_turn,q52_period
q51_greedy,Q51 cross-archive,10,262.5,287.5,0.001410217,0.002397252,1.929599583,1.917079912,0.0009870349999999695,0.0007312011985,0.0032115239629303834,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,11,287.5,312.5,0.002397252,0.001647737,1.917079912,1.931483291,0.0007495149999999784,0.000707174501,0.0031059958060706554,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,12,312.5,337.5,0.001647737,0.005209304,1.931483291,1.951466628,0.0035615669999999877,0.0006788077735,0.002981405713353286,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,13,337.5,362.5,0.005209304,0.004896245,1.951466628,1.954447492,0.0003130590000000044,0.0006437564955000001,0.002827456267620349,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,14,362.5,387.5,0.004896245,0.997058652,1.954447492,1.877567014,0.007837593000000087,0.000625561719,0.0027475426120495113,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,15,387.5,412.5,0.997058652,0.002716929,1.877567014,1.94838934,0.005658276999999989,0.0006096709725,0.0026777485344710097,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,16,412.5,437.5,0.002716929,0.00682641,1.94838934,1.964470741,0.00410948099999997,0.0005773855454999999,0.002535947040331446,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,17,437.5,462.5,0.00682641,0.970587737,1.964470741,1.28164199,0.036238672999999944,0.001012804001,0.004448357477580459,2,2,0,0,not_applicable
q51_greedy,Q51 cross-archive,18,462.5,487.5,0.970587737,0.315244695,1.28164199,0.721700983,0.34465695800000007,0.008997799132999999,0.039519420357273564,2,3,1,1,not_applicable
q51_landmax,Q51 cross-archive,0,12.5,37.5,0.524519481,0.489092273,0.605371195,0.377289202,0.03542720799999999,0.22450450529600002,1.0,0,0,0,0,not_applicable
q51_landmax,Q51 cross-archive,1,37.5,62.5,0.489092273,0.481932598,0.377289202,0.357124176,0.007159675000000032,0.1154329232805,0.5141675136020385,0,0,0,0,not_applicable
q51_landmax,Q51 cross-archive,2,62.5,87.5,0.481932598,0.489823969,0.357124176,0.427757037,0.007891371000000036,0.038956984993500005,0.1735242904909049,0,0,0,0,not_applicable
q51_landmax,Q51 cross-archive,3,87.5,112.5,0.489823969,0.473617461,0.427757037,0.720150892,0.01620650800000001,0.0071962109265,0.03205374839588225,0,0,0,0,not_applicable
q51_landmax,Q51 cross-archive,4,112.5,137.5,0.473617461,0.996567919,0.720150892,1.996215944,0.47704954200000005,0.0007590707905,0.003381093798091919,0,2,1,1,not_applicable
q51_landmax,Q51 cross-archive,5,137.5,162.5,0.996567919,0.996600168,1.996215944,1.996144631,3.224899999998421e-05,0.000250053891,0.0011138034431438877,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,6,162.5,187.5,0.996600168,0.000349676,1.996144631,1.975311125,0.003749508000000068,0.000240366168,0.001070651868135506,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,7,187.5,212.5,0.000349676,0.997126169,1.975311125,1.996369047,0.003223506999999959,0.0002294544085,0.0010220481241455432,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,8,212.5,237.5,0.997126169,0.992847072,1.996369047,1.972816337,0.004279096999999954,0.00022702158649999998,0.001011211718003972,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,9,237.5,262.5,0.992847072,0.253996095,1.972816337,0.979542096,0.261149023,0.00035998475199999996,0.0016034633760483995,2,3,1,1,not_applicable
q51_landmax,Q51 cross-archive,10,262.5,287.5,0.253996095,0.979476132,0.979542096,1.820146256,0.2745199629999999,0.0003656022405,0.0016284850943991897,3,2,1,1,not_applicable
q51_landmax,Q51 cross-archive,11,287.5,312.5,0.979476132,0.99387162,1.820146256,1.962665557,0.0143954879999999,0.000226116421,0.0010071798813207544,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,12,312.5,337.5,0.99387162,0.992519739,1.962665557,1.926019821,0.0013518809999999437,0.0002097481595,0.0009342714936765106,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,13,337.5,362.5,0.992519739,0.996614487,1.926019821,1.961366285,0.004094747999999981,0.00020515460000000002,0.000913810614755869,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,14,362.5,387.5,0.996614487,0.980455475,1.961366285,1.902304878,0.016159012000000028,0.0002096701985,0.0009339242356119242,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,15,387.5,412.5,0.980455475,0.979187094,1.902304878,1.897387175,0.0012683809999999296,0.00021078474000000002,0.0009388886860960271,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,16,412.5,437.5,0.979187094,0.968833342,1.897387175,1.752755172,0.010353751999999994,0.000213311303,0.0009501426384239272,2,2,0,0,not_applicable
q51_landmax,Q51 cross-archive,17,437.5,462.5,0.968833342,0.797174225,1.752755172,1.025496718,0.17165911700000003,0.000802267089,0.0035735010660131014,2,1,1,1,not_applicable
q51_landmax,Q51 cross-archive,18,462.5,487.5,0.797174225,0.219591556,1.025496718,1.13698003,0.422417331,0.002424305745,0.01079847258211434,1,3,1,1,not_applicable
q51_mimic,Q51 cross-archive,0,12.5,37.5,0.551485979,0.485461737,0.640628761,0.245561632,0.06602424199999996,0.20603738240250002,1.0,0,0,0,0,not_applicable
q51_mimic,Q51 cross-archive,1,37.5,62.5,0.485461737,0.50474176,0.245561632,0.425086461,0.01928002300000009,0.13535585916100001,0.6569480624471262,0,0,0,0,not_applicable
q51_mimic,Q51 cross-archive,2,62.5,87.5,0.50474176,0.479359611,0.425086461,0.432737521,0.02538214900000002,0.0635387935225,0.30838478329323327,0,0,0,0,not_applicable
q51_mimic,Q51 cross-archive,3,87.5,112.5,0.479359611,0.793810049,0.432737521,1.087877844,0.31445043799999994,0.017609650942,0.08546823268992533,0,1,1,1,not_applicable
q51_mimic,Q51 cross-archive,4,112.5,137.5,0.793810049,0.869326731,1.087877844,1.210140058,0.07551668200000006,0.0041333762235,0.020061292641668924,1,2,1,0,not_applicable
q51_mimic,Q51 cross-archive,5,137.5,162.5,0.869326731,0.111695131,1.210140058,1.316973357,0.24236839999999993,0.00268779341,0.013045173544038322,2,2,0,1,not_applicable
q51_mimic,Q51 cross-archive,6,162.5,187.5,0.111695131,0.512950177,1.316973357,0.610648582,0.40125504599999995,0.00403106912,0.019564746324165532,2,0,1,1,not_applicable
q51_mimic,Q51 cross-archive,7,187.5,212.5,0.512950177,0.13342263,0.610648582,1.28047381,0.379527547,0.003934981414,0.019098385778911223,0,3,1,1,not_applicable
q51_mimic,Q51 cross-archive,8,212.5,237.5,0.13342263,0.836943291,1.28047381,1.091658587,0.296479339,0.0024944343775000002,0.012106707765424092,3,1,1,1,not_applicable
q51_mimic,Q51 cross-archive,9,237.5,262.5,0.836943291,0.163733971,1.091658587,1.191801234,0.32679068,0.0025308773929999997,0.012283583510374138,1,3,1,1,not_applicable
q51_mimic,Q51 cross-archive,10,262.5,287.5,0.163733971,0.927306296,1.191801234,1.291390254,0.23642767499999984,0.002573317073,0.012489563995590617,3,2,1,1,not_applicable
q51_mimic,Q51 cross-archive,11,287.5,312.5,0.927306296,0.041207262,1.291390254,1.23298721,0.11390096599999999,0.0024678076290000003,0.011977475156324139,2,2,0,0,not_applicable
