condition,state,wait_index,wait_us,visible_u,parent_transverse_radius,previous_v,following_v,actual_hidden_v,inferred_magnitude,temporal_direction_lock,ara_information3_fill,zero_fill,time_only_fill,positive_branch_only_fill,ara_abs_error,zero_abs_error,time_only_abs_error,positive_branch_abs_error,ara_sign_correct,magnitude_within_parent
Ramsey,Phi-plus,1,4.02,-0.4358581993131524,0.9004397939011237,-0.05246987488884214,-0.5668125410435039,0.7845746361282939,0.7879209684557166,-0.309641207966173,-0.7879209684557166,0.0,-0.309641207966173,0.7879209684557166,1.5724956045840104,0.7845746361282939,1.094215844094467,0.003346332327422652,False,True
Ramsey,Phi-plus,2,8.02,-0.5347476200364489,0.7807722931102005,0.7845746361282939,-0.3397888698447487,-0.5668125410435039,0.5689027654651667,0.2223928831417726,0.5689027654651667,0.0,0.2223928831417726,0.5689027654651667,1.1357153065086707,0.5668125410435039,0.7892054241852765,1.1357153065086707,False,True
Ramsey,Phi-plus,3,12.02,0.550496132200123,0.6460533004001584,-0.5668125410435039,0.38380054670884767,-0.3397888698447487,0.33814031908461034,-0.0915059971673281,-0.33814031908461034,0.0,-0.0915059971673281,0.33814031908461034,0.0016485507601383675,0.3397888698447487,0.2482828726774206,0.677929188929359,True,True
Ramsey,Phi-plus,4,16.02,0.11554030952724605,0.38893675864536964,-0.3397888698447487,0.07760960406264789,0.38380054670884767,0.37137883501879143,-0.1310896328910504,-0.37137883501879143,0.0,-0.1310896328910504,0.37137883501879143,0.7551793817276391,0.38380054670884767,0.5148901795998981,0.012421711690056236,False,True
Ramsey,Phi-plus,5,20.02,-0.27991168750990786,0.2877787777954932,0.38380054670884767,-0.25067530644205693,0.07760960406264789,0.06682867756303086,0.06656262013339537,0.06682867756303086,0.0,0.06656262013339537,0.06682867756303086,0.010780926499617025,0.07760960406264789,0.011046983929252518,0.010780926499617025,True,True
Ramsey,Phi-plus,6,24.02,0.004357099759189636,0.25080331857447113,0.07760960406264789,-0.006432687534517426,-0.25067530644205693,0.2507654686946672,0.03558845826406523,0.2507654686946672,0.0,0.03558845826406523,0.2507654686946672,0.5014407751367241,0.25067530644205693,0.28626376470612214,0.5014407751367241,False,True
Ramsey,Phi-plus,7,28.02,0.08228313636513762,0.08205069986857927,-0.25067530644205693,-0.015653962024217073,-0.006432687534517426,0.0,-0.133164634233137,-0.0,0.0,-0.133164634233137,0.0,0.006432687534517426,0.006432687534517426,0.1267319466986196,0.006432687534517426,False,True
Ramsey,Phi-plus,8,32.02,0.02649807750524169,0.030192258164330747,-0.006432687534517426,0.09204911331844953,-0.015653962024217073,0.014471501013640602,0.042808212891966055,0.014471501013640602,0.0,0.042808212891966055,0.014471501013640602,0.030125463037857673,0.015653962024217073,0.05846217491618313,0.030125463037857673,False,True
Ramsey,Phi-plus,9,36.02,-0.00497351926183434,0.09220965122789218,-0.015653962024217073,-0.03038871500740164,0.09204911331844953,0.09207542498257437,-0.023021338515809356,-0.09207542498257437,0.0,-0.023021338515809356,0.09207542498257437,0.1841245383010239,0.09204911331844953,0.11507045183425889,2.631166412483954e-05,False,True
Ramsey,Phi-minus,1,4.02,0.44320101470550943,0.8855440785963106,-0.013335699108073595,0.5916201993772001,-0.7756958347673368,0.7666558391488292,0.28914225013456324,0.7666558391488292,0.0,0.28914225013456324,0.7666558391488292,1.542351673916166,0.7756958347673368,1.0648380849019001,1.542351673916166,False,True
