orientation,timestamp,record_index,readout,measurement,outcome,segment_tunnelling_fraction,classified_present
II,115025,18,1,19,DOWNDOWN,0.15,0
II,115025,18,1,19,DOWNUP,0.2,0
II,115025,18,1,19,UPDOWN,0.325,0
II,115025,18,1,19,UPUP,0.925,1
II,115025,19,1,20,DOWNDOWN,0.75,1
II,115025,19,1,20,DOWNUP,0.25,0
II,115025,19,1,20,UPDOWN,0.2,0
II,115025,19,1,20,UPUP,0.275,0
II,115025,20,1,21,DOWNDOWN,0.8,1
II,115025,20,1,21,DOWNUP,0.2,0
II,115025,20,1,21,UPDOWN,0.125,0
II,115025,20,1,21,UPUP,0.275,0
II,115025,21,1,22,DOWNDOWN,0.1,0
II,115025,21,1,22,DOWNUP,0.125,0
II,115025,21,1,22,UPDOWN,0.2,0
II,115025,21,1,22,UPUP,0.85,1
II,115025,22,1,23,DOWNDOWN,0.875,1
II,115025,22,1,23,DOWNUP,0.225,0
II,115025,22,1,23,UPDOWN,0.2,0
II,115025,22,1,23,UPUP,0.125,0
II,115025,23,1,24,DOWNDOWN,0.9,1
II,115025,23,1,24,DOWNUP,0.2,0
II,115025,23,1,24,UPDOWN,0.175,0
II,115025,23,1,24,UPUP,0.2,0
II,115025,24,1,25,DOWNDOWN,0.275,0
II,115025,24,1,25,DOWNUP,0.2,0
II,115025,24,1,25,UPDOWN,0.175,0
II,115025,24,1,25,UPUP,0.8,1
II,115025,25,1,26,DOWNDOWN,0.05,0
II,115025,25,1,26,DOWNUP,0.2,0
II,115025,25,1,26,UPDOWN,0.125,0
II,115025,25,1,26,UPUP,0.85,1
II,115025,26,1,27,DOWNDOWN,0.8,1
II,115025,26,1,27,DOWNUP,0.15,0
II,115025,26,1,27,UPDOWN,0.3,0
II,115025,26,1,27,UPUP,0.175,0
II,115025,27,1,28,DOWNDOWN,0.15,0
II,115025,27,1,28,DOWNUP,0.1,0
II,115025,27,1,28,UPDOWN,0.325,0
II,115025,27,1,28,UPUP,0.85,1
II,115025,28,1,29,DOWNDOWN,0.225,0
II,115025,28,1,29,DOWNUP,0.225,0
II,115025,28,1,29,UPDOWN,0.2,0
II,115025,28,1,29,UPUP,0.725,1
II,115025,29,1,30,DOWNDOWN,0.8,1
II,115025,29,1,30,DOWNUP,0.15,0
II,115025,29,1,30,UPDOWN,0.15,0
II,115025,29,1,30,UPUP,0.125,0
II,115025,30,1,31,DOWNDOWN,0.95,1
II,115025,30,1,31,DOWNUP,0.15,0
II,115025,30,1,31,UPDOWN,0.275,0
II,115025,30,1,31,UPUP,0.2,0
II,115025,31,1,32,DOWNDOWN,0.1,0
II,115025,31,1,32,DOWNUP,0.2,0
II,115025,31,1,32,UPDOWN,0.2,0
II,115025,31,1,32,UPUP,0.925,1
II,115025,32,1,33,DOWNDOWN,0.775,1
II,115025,32,1,33,DOWNUP,0.25,0
II,115025,32,1,33,UPDOWN,0.1,0
II,115025,32,1,33,UPUP,0.2,0
II,115025,33,1,34,DOWNDOWN,0.95,1
II,115025,33,1,34,DOWNUP,0.225,0
II,115025,33,1,34,UPDOWN,0.225,0
II,115025,33,1,34,UPUP,0.275,0
II,115025,34,1,35,DOWNDOWN,0.9,1
II,115025,34,1,35,DOWNUP,0.15,0
II,115025,34,1,35,UPDOWN,0.125,0
II,115025,34,1,35,UPUP,0.125,0
II,115025,35,1,36,DOWNDOWN,0.825,1
II,115025,35,1,36,DOWNUP,0.15,0
II,115025,35,1,36,UPDOWN,0.125,0
II,115025,35,1,36,UPUP,0.225,0
II,115025,36,1,37,DOWNDOWN,0.25,0
II,115025,36,1,37,DOWNUP,0.1,0
II,115025,36,1,37,UPDOWN,0.175,0
II,115025,36,1,37,UPUP,0.875,1
II,115025,37,1,38,DOWNDOWN,0.3,0
II,115025,37,1,38,DOWNUP,0.175,0
II,115025,37,1,38,UPDOWN,0.175,0
II,115025,37,1,38,UPUP,0.825,1
II,115025,38,1,39,DOWNDOWN,0.275,0
II,115025,38,1,39,DOWNUP,0.175,0
II,115025,38,1,39,UPDOWN,0.15,0
II,115025,38,1,39,UPUP,0.775,1
II,115025,39,1,40,DOWNDOWN,0.775,1
II,115025,39,1,40,DOWNUP,0.225,0
II,115025,39,1,40,UPDOWN,0.125,0
II,115025,39,1,40,UPUP,0.225,0
II,115025,40,2,1,DOWNDOWN,0.325,0
II,115025,40,2,1,DOWNUP,0.15,0
II,115025,40,2,1,UPDOWN,0.2,0
II,115025,40,2,1,UPUP,0.775,1
II,115025,41,2,2,DOWNDOWN,0.875,1
II,115025,41,2,2,DOWNUP,0.175,0
II,115025,41,2,2,UPDOWN,0.2,0
II,115025,41,2,2,UPUP,0.025,0
II,115025,42,2,3,DOWNDOWN,0.85,1
II,115025,42,2,3,DOWNUP,0.175,0
II,115025,42,2,3,UPDOWN,0.2,0
II,115025,42,2,3,UPUP,0.2,0
II,115025,43,2,4,DOWNDOWN,0.05,0
II,115025,43,2,4,DOWNUP,0.25,0
II,115025,43,2,4,UPDOWN,0.9,1
II,115025,43,2,4,UPUP,0.15,0
II,115025,44,2,5,DOWNDOWN,0.125,0
II,115025,44,2,5,DOWNUP,0.125,0
II,115025,44,2,5,UPDOWN,0.275,0
II,115025,44,2,5,UPUP,0.85,1
II,115025,45,2,6,DOWNDOWN,0.175,0
II,115025,45,2,6,DOWNUP,0.8,1
II,115025,45,2,6,UPDOWN,0.2,0
II,115025,45,2,6,UPUP,0.075,0
II,115025,46,2,7,DOWNDOWN,0.85,1
II,115025,46,2,7,DOWNUP,0.225,0
II,115025,46,2,7,UPDOWN,0.275,0
II,115025,46,2,7,UPUP,0.2,0
II,115025,47,2,8,DOWNDOWN,0.125,0
II,115025,47,2,8,DOWNUP,0.125,0
II,115025,47,2,8,UPDOWN,0.225,0
II,115025,47,2,8,UPUP,0.7,1
II,115025,48,2,9,DOWNDOWN,0.3,0
II,115025,48,2,9,DOWNUP,0.2,0
II,115025,48,2,9,UPDOWN,0.1,0
II,115025,48,2,9,UPUP,0.75,1
II,115025,49,2,10,DOWNDOWN,0.225,0
II,115025,49,2,10,DOWNUP,0.175,0
