condition,state,wait_index,wait_us,split,source_aggregate_norm,source_reported_bell_signal,linear_minimum_eigenvalue,s1,s2,s3,chsh_smax,strong_axes,trace,trace_error,minimum_eigenvalue,hermiticity_residual,purity
Ramsey,Phi-plus,0,0.02,development,0.34585274783137876,2.7488991064062174,8.99764500312139e-16,0.9994247255164251,0.9717020034133654,0.9713028552363525,2.787869843024333,3,0.9999999999999998,2.220446049250313e-16,6.7602145536152e-16,0.0,0.9724041269686148
Ramsey,Phi-plus,1,4.02,development,0.3173349730522978,0.7568598016057807,7.488271000229378e-10,0.9897875644686983,0.9049612980567326,0.8959182897455148,2.6822635021618617,3,0.9999999999999999,1.1102230246251565e-16,7.488271606730214e-10,0.0,0.9072169454739428
Ramsey,Phi-plus,2,8.02,development,0.2755167184982861,0.6225861535260184,8.220986777970329e-10,0.9835290868297063,0.7888247388077123,0.7727198474126886,2.5215661269894403,3,1.0,0.0,8.220987601404438e-10,0.0,0.8004543851158996
Ramsey,Phi-plus,3,12.02,development,0.22877653755031988,2.123178229812047,3.127812676818887e-08,0.9605570885052929,0.6592272302737294,0.6328793705265874,2.3300218551868888,3,0.9999999999999998,2.220446049250313e-16,3.12781268525398e-08,0.0,0.6962104465810466
Ramsey,Phi-plus,4,16.02,development,0.1418274392510416,1.4683311268403918,3.959947948121131e-12,0.9824509866425356,0.3961420839715916,0.38173143331914766,2.1186207700749535,1,0.9999999999999996,4.440892098500626e-16,3.9599008526392775e-12,0.0,0.5782410593664782
Ramsey,Phi-plus,5,20.02,target,0.1029073307487583,0.9552083335076531,1.1475327511025417e-05,0.9441275747140351,0.3061845387084804,0.26937301688250603,1.9850701237785338,1,1.0,0.0,1.147532751107052e-05,0.0,0.531615042874275
Ramsey,Phi-plus,6,24.02,target,0.08872770753330854,1.3283591151181913,1.9540788563282602e-07,0.931968605108836,0.26166483721704,0.23994179993190234,1.9360102974357645,1,0.9999999999999996,4.440892098500626e-16,1.954078856675205e-07,0.0,0.5100945298677357
Ramsey,Phi-plus,7,28.02,target,0.02921838206309354,1.5131319280095468,2.64450589936179e-09,0.9873549395076588,0.08607200021710988,0.07802939952004867,1.9821989464143572,1,0.9999999999999998,2.220446049250313e-16,2.644505900955795e-09,0.0,0.5053992869821495
Ramsey,Phi-plus,8,32.02,target,0.012183110528103891,1.350655786263844,3.148453450505923e-09,0.9540706419886172,0.04570890424886278,0.014675612079798716,1.9103299126927828,1,1.0000000000000004,4.440892098500626e-16,3.148453479383182e-09,0.0,0.48761448867510404
Ramsey,Phi-plus,9,36.02,target,0.03287472278514553,1.3674712929962134,1.7844701261670271e-09,0.9766118723433362,0.10285291003328487,0.0815663924224995,1.9640259370021282,1,1.0000000000000002,2.220446049250313e-16,1.7844701354572845e-09,0.0,0.501569548023814
Ramsey,Phi-plus,10,40.02,target,0.02555428728051783,1.4327032074344055,-1.3477352981999986e-16,0.9654553378090343,0.08673913173722365,0.05316162646403754,1.9386878926516087,1,0.9999999999999996,4.440892098500626e-16,-9.166590555186046e-18,0.0,0.5046566971945793
Ramsey,Phi-minus,0,0.02,development,0.34605865458532187,2.785085093906049,6.703204507452107e-14,0.9966103467770683,0.9801257470992095,0.9768411541562579,2.795624197512886,3,1.0,0.0,6.70893762240079e-14,0.0,0.9828111960728845
Ramsey,Phi-minus,1,4.02,development,0.31605852814227176,0.6451438933584748,-2.4633702190276575e-16,0.9577030564114528,0.906498328416728,0.8645898287758932,2.637373211119094,3,1.0,0.0,7.079565810366299e-18,0.0,0.8755069261514434
Ramsey,Phi-minus,2,8.02,development,0.2822692947319695,0.6298830906323966,1.73282439914583e-10,0.9885613519524896,0.8015013421434223,0.795859186199038,2.5453156566774515,3,0.9999999999999998,2.220446049250313e-16,1.7328244173152162e-10,0.0,0.8175504712457509
Ramsey,Phi-minus,3,12.02,development,0.227045173980222,2.028556468507144,8.572859249364964e-09,0.9637725466362271,0.6573442848904435,0.6239888224550069,2.333202974906219,3,1.0000000000000004,4.440892098500626e-16,8.572859263242712e-09,0.0,0.6927458279170583
Ramsey,Phi-minus,4,16.02,development,0.1517803686339031,1.6254296756014037,8.205132657653072e-14,0.9711946391660453,0.44158288052095024,0.4143000190249798,2.1337426906860584,1,0.9999999999999998,2.220446049250313e-16,8.205193421679125e-14,0.0,0.5971988386954645
Ramsey,Phi-minus,5,20.02,target,0.10637703153330624,0.9934878842854531,1.5387896369172797e-08,0.9883819383386665,0.303793599253,0.2950008797315981,2.0680323082400736,1,0.9999999999999997,3.3306690738754696e-16,1.5387896335906763e-08,0.0,0.5443893780048934
Ramsey,Phi-minus,6,24.02,target,0.05630191359285661,1.2468071720573803,2.6338896623588176e-09,0.9834575292603498,0.1675015269089922,0.16107681011615144,1.995239808519984,1,0.9999999999999998,2.220446049250313e-16,2.633889777717929e-09,0.0,0.5106529017868261
Ramsey,Phi-minus,7,28.02,target,0.03469954998252225,1.5112207714104384,-5.3808317750445305e-18,0.9735517056734669,0.1105074440259168,0.08712095641721698,1.959606918547552,1,1.0000000000000004,4.440892098500626e-16,8.121642862050947e-17,0.0,0.5025993690120198
Ramsey,Phi-minus,8,32.02,target,0.03247256086750316,1.3228955953937653,1.655496491459685e-07,0.9751615791633713,0.10414883233807065,0.07932643586580436,1.9614148819194612,1,0.9999999999999998,2.220446049250313e-16,1.6554964919393237e-07,0.0,0.5110358211903134
Ramsey,Phi-minus,9,36.02,target,0.03483317118224295,1.269788638475217,4.345209201699264e-07,0.9360454182326766,0.11954099436853621,0.07885767237807023,1.8872954981443737,1,1.0000000000000004,4.440892098500626e-16,4.345209201271411e-07,0.0,0.4875542895807275
Ramsey,Phi-minus,10,40.02,target,0.009531050144628277,1.3341573677654388,9.54160433083917e-10,0.9687309013233972,0.027141647986791376,0.02013370642887212,1.938222101034121,1,0.9999999999999996,4.440892098500626e-16,9.541605141908224e-10,0.0,0.4970135898892386
Ramsey,Psi-plus,0,0.02,development,0.3384848481325313,2.696276710994189,-3.66797029897473e-17,0.9712164728822157,0.9694545169903508,0.9464933469845304,2.744524365139261,3,1.0000000000000007,6.661338147750939e-16,3.494010907423989e-21,0.0,0.9570719684357687
Ramsey,Psi-plus,1,4.02,development,0.3305898042692195,2.3092076970455535,-6.461846989910238e-17,0.9664997288309508,0.9415046780921948,0.9080305297196233,2.698557232818892,3,0.9999999999999998,2.220446049250313e-16,1.6263012168318873e-17,0.0,0.9137473462317779
Ramsey,Psi-plus,2,8.02,development,0.29822484069750127,1.5320812033381865,2.2441290904555433e-17,0.9892365741003712,0.8269523924927277,0.8167883628673724,2.5787122825063564,3,1.0000000000000004,4.440892098500626e-16,-8.821848145653538e-19,0.0,0.8409666515731906
