split,branch,branch_index,seed,events,weight,rotation_error,no_rotation_error,rotation_gain,wrong_endpoint_error,seed_error,time_error,lag_zero_error,angle_q25_rad,angle_median_rad,angle_q75_rad,spectrum_similarity,seed_spectrum_similarity,time_spectrum_similarity,sum_rotation,sum_no_rotation,sum_wrong,sum_seed,sum_time,sum_lag_zero
development,c2,0,0,378,0.38239441439857236,0.11420026980394626,0.6262145823753514,0.8176339660268485,0.11420026980394626,0.13174120142042617,0.14586479125085447,0.13589529982422238,0.0,3.141592653589793,3.141592653589793,0.9898032497445074,0.9876905990649004,0.9817835254315089,0.043669545295838996,0.23946095851526905,0.043669545295838996,0.05037709956932823,0.05577788143174049,0.051965603595801935
development,c2,0,1,348,0.6397470486934426,0.13663611100499432,0.5033191728554337,0.7285298904275206,0.13663611100499432,0.1382965823421602,0.15454629947931328,0.15524779498308117,0.0,0.0,3.141592653589793,0.9865956479977657,0.9841738066659232,0.9815038732668915,0.08741254876039473,0.3219969553850884,0.08741254876039473,0.08847483039778664,0.09803126209184529,0.09931931865659081
development,c2,0,2,369,0.28829520800181674,0.1188889740058377,0.5960731594822128,0.8005463387931907,0.1188889740058377,0.1355646160018766,0.18988818200480298,0.10725838612219735,0.0,3.141592653589793,3.141592653589793,0.9884808804681852,0.9855859345596265,0.9719401402611599,0.03427512149013556,0.17184503549722463,0.03427512149013556,0.039082629167947434,0.05469098644256202,0.030922078737038058
development,c2,0,3,324,0.3966260027558033,0.08861056809030457,0.6189009936282875,0.8568259398472963,0.08861056809030457,0.16559750011349805,0.165685746739582,0.1310750420052359,0.0,3.141592653589793,3.141592653589793,0.9936169548344495,0.9788846147301774,0.9799797843029967,0.035145255423578436,0.24547222720438258,0.035145255423578436,0.06568027453637042,0.06571527544293078,0.051987769971585725
development,c2,0,4,407,0.40170905215902963,0.11561871149225596,0.566748297256693,0.7959963672552691,0.11561871149225596,0.1341507737695049,0.15149747951319603,0.13350436759396697,0.0,0.0,3.141592653589793,0.9897190080881969,0.9843510037132801,0.9823783577729167,0.04644508300540245,0.2276679213037301,0.04644508300540245,0.053889580177348226,0.06084893662825443,0.05362991296526315
development,c2,0,5,405,0.4136666282465996,0.10216807871299248,0.57308513373377,0.821722685341101,0.10216807871299248,0.15974285441270453,0.156764661994582,0.14049638117304983,0.0,3.141592653589793,3.141592653589793,0.9924681144475971,0.981045689016101,0.9794156930979627,0.04226352463563679,0.23706619496990025,0.04226352463563679,0.06608028797139093,0.06470790603767239,0.05811866428070456
development,c2,0,6,376,0.4766777459864575,0.0820417216947838,0.5920480282056735,0.8614272528811074,0.0820417216947838,0.15697250832644805,0.17532863467283,0.14883077390647123,0.0,3.141592653589793,3.141592653589793,0.9945276906103625,0.9821341644366713,0.9745445195164122,0.03910746297431779,0.28221611960080706,0.03910746297431779,0.07482530145089168,0.08357525838272767,0.07094431783915678
development,c2,0,7,356,0.40457223789471874,0.10932486878946163,0.4063314871511088,0.7309465984141039,0.10932486878946163,0.16136851462637908,0.15195986375554144,0.12418799001539876,0.0,0.0,3.141592653589793,0.9898877151522338,0.9816156943676319,0.9827403774998165,0.04422980682369898,0.16439043908381323,0.04422980682369898,0.06528522108814083,0.059368060086263795,0.050243013040176865
development,c2,0,8,362,0.3879596333733036,0.11362592585645458,0.5177341146813224,0.7805322797274156,0.11362592585645458,0.1292028873582636,0.1569698412652304,0.1422960326387018,0.0,0.0,3.141592653589793,0.9903792882333323,0.9881634750078685,0.9803103106087241,0.04408227253697229,0.20085993731661775,0.04408227253697229,0.05012550481028419,0.06073171050812359,0.05520511665298639
development,c2,0,9,371,0.33974346274072725,0.10554068705877342,0.5597703823207217,0.8114571788860676,0.10554068705877342,0.16248576564267322,0.16584275134185592,0.14032153067942288,0.0,3.141592653589793,3.141592653589793,0.9914019372599873,0.9813227884823542,0.9794734777833002,0.035856758481383144,0.19017832802934279,0.035856758481383144,0.05520347666552009,0.0563399153360559,0.04767332273010633
development,c2,0,10,318,0.37802988000359106,0.08933755456392498,0.581394373713803,0.846339148428185,0.08933755456392498,0.1259522218609546,0.15533038947181604,0.16400582190765195,0.0,3.141592653589793,3.141592653589793,0.9937788901503654,0.9879035068738337,0.9810110485350445,0.033772265031614825,0.2197844453297919,0.033772265031614825,0.04761370331628234,0.058691875839633326,0.06199910117563999
development,c2,0,11,404,0.3911051113217666,0.08764720792836403,0.5247050020641988,0.8329590768459262,0.08764720792836403,0.1180046925489554,0.14685537528590242,0.14748435814080796,0.0,0.0,3.141592653589793,0.9944384472288188,0.9896392427766657,0.9822310682828529,0.03427927101386484,0.20521480824340627,0.03427927101386484,0.04615223841585005,0.05737676268482016,0.05768188630887999
development,c2,0,12,363,0.3897702923806897,0.09624467458427144,0.5832217481363832,0.8349775623220327,0.09624467458427144,0.15627561635351053,0.17864966184246794,0.14631155291782846,0.0,3.141592653589793,3.141592653589793,0.9924520376129811,0.9810702509163233,0.9755014509039458,0.03751331495279581,0.22732251129389505,0.03751331495279581,0.060911592678080294,0.06865418171616106,0.05702789675945476
development,c2,0,13,401,0.42278145569166875,0.11450380041056826,0.48840930030207746,0.7655576985537571,0.11450380041056826,0.13387846429868017,0.16703999880505568,0.16604478177795912,0.0,0.0,3.141592653589793,0.9882077971413172,0.98518013246128,0.9753576462310961,0.04841008341980835,0.2064903949550617,0.04841008341980835,0.05660133202196111,0.0705751661851817,0.07020065455009103
development,c2,0,14,396,0.3945646415134432,0.12640578118675821,0.5342656132845989,0.7634027381817985,0.12640578118675821,0.150832429140356,0.1344597968372458,0.15319112815895852,0.0,0.0,3.141592653589793,0.9881692492975386,0.9806237589783615,0.9848567231594147,0.049875251739180004,0.21080232017859762,0.049875251739180004,0.05951314333236639,0.05224468294347754,0.060443802565079405
development,c2,0,15,396,0.5010422969642222,0.11239961918382647,0.48900310943009495,0.7701453896380704,0.11239961918382647,0.16024245076709762,0.2095002758245084,0.155109032110217,0.0,0.0,3.141592653589793,0.9890008774220334,0.9817462886914153,0.9653224009290886,0.05631696337376827,0.2450112411715017,0.05631696337376827,0.08028824560352288,0.10494141741698751,0.07771618572840043
development,c2,0,16,376,0.3898756489982683,0.11503160567063188,0.6051463129107405,0.8099110856061695,0.11503160567063188,0.14777958212824996,0.15073087039342375,0.13063296938951624,0.0,3.141592653589793,3.141592653589793,0.9905901293150543,0.9835547458612356,0.9816466152353156,0.044848021916150484,0.2359318114849841,0.044848021916150484,0.05761566049094435,0.058694372848851796,0.05093061372130856
development,c2,0,17,389,0.5007709806063798,0.10462260639025137,0.4664575880102755,0.7757082121087788,0.10462260639025137,0.15201705289482126,0.15743065725637734,0.14298495973248995,0.0,0.0,3.141592653589793,0.9913716292632376,0.9823900266815924,0.9813976830855228,0.052391965195641474,0.23358842375919237,0.052391965195641474,0.07612572864703156,0.07800026386349836,0.07160271849720272
