split,branch,branch_index,seed,events,weight,trials,mean_available_lags,exact_error,exact_sign_flip_share,exact_same_source_pair_share,exact_shares_source_endpoint,exact_strongest_child_share,exact_partner_persistence,exact_adjacency_share,exact_self_return,exact_mean_absolute_time_jitter,seed_error,seed_sign_flip_share,seed_same_source_pair_share,seed_shares_source_endpoint,seed_strongest_child_share,seed_partner_persistence,seed_adjacency_share,seed_self_return,seed_mean_absolute_time_jitter,time_error,time_sign_flip_share,time_same_source_pair_share,time_shares_source_endpoint,time_strongest_child_share,time_partner_persistence,time_adjacency_share,time_self_return,time_mean_absolute_time_jitter
development,c2,0,0,168,0.1763216234348697,1,5.724805427906346,0.42408525232533295,0.506372505270615,0.15126978141297556,0.40189159618584436,0.008849779240862148,0.45907066039857264,0.6600362833155997,0.5761474304402947,0.7678655238444264,0.39933635694900343,0.6183391757610688,0.020667623325874056,0.23637141622359167,0.010658011502758535,0.5035603256449618,0.6936423350164184,0.053330380075116174,0.8190021639694074,0.5289229918603517,0.4802827789793733,0.024619585993429914,0.14148440344709481,0.0010016367027283095,0.4289962712455867,0.6160613823679993,0.07526367337928522,0.9739491301418344
development,c2,0,1,180,0.27805411013384335,1,5.614989146493887,0.3721077145918042,0.44610405491731486,0.19936510453020473,0.2675312789153976,0.010202824014219215,0.48267889109314105,0.6107262530331579,0.7214923676146238,0.8446165015232748,0.4848372739541416,0.4864357153639401,0.007105943159046852,0.2067181875631071,1.1630088602748148e-07,0.5691115591662868,0.7176933349654654,0.04011967545555363,0.9701241312656107,0.5022552529944444,0.5175107424822665,0.0016953768054627188,0.174557647807864,0.036108138644658005,0.43035381695913116,0.5607829232656559,0.0034855362636355097,1.094155888154308
development,c2,0,2,160,0.1716031149785846,1,5.467636758964468,0.37632516378585773,0.3884202680184621,0.2569737200750731,0.4822770777443526,0.11317211405499103,0.5346440937043704,0.6707762189904792,0.813609957018371,1.1263615487108531,0.5349725716919963,0.4188172335174527,0.008581935572774306,0.1256043123106659,0.019680368740995838,0.533634350816607,0.6550276964213249,0.05122762309184592,0.8379670294592041,0.5249302810221743,0.34372956599914906,0.0041789940187662925,0.21558616885584989,0.005161263023609367,0.4704025336441829,0.6478292883043476,0.013658013758711719,1.264113965700785
development,c2,0,3,183,0.248041098278997,1,5.652113738509624,0.43740943283436856,0.4878597896196456,0.2347381739271424,0.34038122118150665,0.000871423234414736,0.5335434667949946,0.7412910831409119,0.687031643510561,0.9276688540710704,0.4584739983371216,0.5008595169312727,0.008589662515957075,0.1045066483415988,0.006869257675467746,0.5147460257447425,0.6941788392414268,0.051368895710732686,0.9236495768880948,0.4835594158795446,0.5773479913108914,0.01790778533869287,0.1804191863090873,0.000430200858876388,0.4033571337199938,0.5753766656457638,0.06742686762663658,0.9229975375524372
development,c2,0,4,199,0.22053051493893708,1,5.722325701735114,0.4021863097098468,0.3949245207513242,0.18891835007706465,0.37560525693914687,0.006603522215084248,0.4402017365826795,0.6532345491364829,0.5709625720064639,0.8457039510048977,0.3782582487968369,0.5747205148254705,0.006111196594943833,0.31579776046234154,0.024648695974008417,0.5019431874882007,0.722327708775357,0.01990266424358024,0.810037016158225,0.5165955800227254,0.6428242952025361,0.012758695689406362,0.12177102101012321,0.0002884830077157278,0.47538060541707544,0.7018265690640294,0.05689465154470186,1.1185772472363087
development,c2,0,5,232,0.23658393595267901,1,5.947726051927282,0.43755761577836283,0.4629550939360263,0.10945760263290212,0.27394477991103094,7.107532416530001e-05,0.4626974859748192,0.6881916727295033,0.45768513639396424,0.8555996578069062,0.4486110488308775,0.4456860235092668,0.030335648936291263,0.23232778420758046,0.002923017114134632,0.4758239814791426,0.728479045250177,0.10162053947588705,0.7724149710256255,0.44980884107309455,0.5554604353302305,0.010982640921024227,0.13751166825128086,0.006974454458930683,0.4155403604330119,0.6279259768284108,0.046917434345890394,1.1004939002653369
development,c2,0,6,175,0.21124384911122368,1,5.3949355518145525,0.3688784229545746,0.4249094940255153,0.1208933649837771,0.34124175143009045,0.006473336082874323,0.5817655893544831,0.7387851032129855,0.47169075974237773,1.0310521284460477,0.4129560334711378,0.5285882846807233,0.0067965622594697885,0.17887548582938392,0.0,0.5480812995461414,0.740444816278322,0.01359816951472743,0.9422167010391883,0.46640636448360423,0.3907469669805496,0.0014145750693303422,0.17314791592860604,0.008165862582233608,0.39080252819555844,0.5612746119258517,0.005032168186154508,1.0138337095593875
development,c2,0,7,196,0.189348510726464,1,5.49117977621357,0.3674802546945777,0.45564401326013737,0.2109509004077259,0.4042650682182183,0.0027422342018081696,0.5275312926218131,0.7318866226212869,0.6829620835120485,0.8281962158063267,0.42727013424610244,0.460852798449067,0.0068131159830686055,0.19616477330072046,0.027538363692009547,0.5350300536963327,0.7176319067987702,0.04077261499865537,0.799993327395091,0.5204981608632941,0.398539759977079,0.006269354216302667,0.1738952659675878,0.014309628213695483,0.4640851435549535,0.5827906639578366,0.020334311175397767,0.9742493693370788
development,c2,0,8,152,0.18263544489185501,1,5.80650661706889,0.380782892636653,0.5111823307928172,0.15998565303925916,0.3156585803383574,0.017363203542152494,0.49814222682696685,0.7046559902502543,0.6685277730230385,0.9332586734446636,0.4436968088966452,0.5014349351411566,9.570302851920734e-05,0.14374138631809505,0.03023693895479378,0.42230696922113914,0.6501405043364292,0.0005742181711152441,0.7255822232554372,0.41853999440862827,0.5484894782005286,0.009027022335464388,0.32684281822634487,0.005972488666244046,0.49852251898351513,0.6799016277290574,0.049529466291921315,1.0533011346736796
development,c2,0,9,221,0.17827264092902748,1,5.683120259463596,0.3655111516131367,0.43453315571107337,0.19160045731313813,0.38070907251415653,3.1885110090665564e-05,0.4741861516633621,0.7280521079265592,0.6240576853289823,0.8383521398301897,0.49548513569748764,0.4994397772222986,0.01826291923846084,0.16735468531502362,0.015645731490848906,0.5408507226434016,0.6949714507803034,0.06453360674140146,0.9178105643797191,0.41293543502084595,0.5098644538282638,0.002429317239718642,0.1855375026535114,0.0018784269018852567,0.3740224367664449,0.572764681257553,0.014011221326069655,0.94615633745577
