axis,identity_sse,swap_sse,swap_gain,flipped_fraction,flipped_cosine,evaluable_cells,sum_invariance_max_error,permutation_p,null_q95,cv_median_swap_gain,cv_swap_wins
amplitude,47.04303783296705,159.12948998406853,-2.3826363541631865,0.3409090909090909,-0.5509569871582594,44,0.0,1.0,0.5127033229620134,-1.1773941153547396,0
direction,28.092914096366478,44.923606229414574,-0.5991080909340398,0.22727272727272727,-0.26472133082034444,44,0.0,0.3098,-0.34160406277942307,0.0,1
