path_id,label,group,movement_threshold,active_steps,large_step_quadrant_transition_share,large_step_quadrant_transitions,large_steps,late_early_ratio,log2_late_early_ratio,log2_post_pre_ratio,median_early_step_turns,median_late_step_turns,median_middle_step_turns,median_post_boundary_step_turns,median_pre_boundary_step_turns,post_pre_ratio,quadrant_transitions,spearman_step_vs_movement,spearman_step_vs_order
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,0.0,19,1.0,2,2,0.19284802083785632,-2.3744637549464156,,0.02531316100000003,0.004881593000000017,0.0010627095000000086,,,,2,0.519298245614035,-0.18771929824561404
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,0.05,3,nan,0,0,nan,nan,,0.008568138000000003,nan,nan,,,,0,0.5,-0.5
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,0.1,3,nan,0,0,nan,nan,,0.008568138000000003,nan,nan,,,,0,0.5,-0.5
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,0.25,2,nan,0,0,nan,nan,,0.027584115499999978,nan,nan,,,,0,nan,nan
q51_greedy,Q51 · greedy c2,Q51 cross-archive,0.0,19,1.0,2,2,0.3597045852328456,-1.4751155449483329,,0.018759658000000012,0.006747935000000038,0.001610162500000012,,,,2,0.6192982456140351,-0.2210526315789474
q51_greedy,Q51 · greedy c2,Q51 cross-archive,0.05,3,nan,0,0,nan,nan,,0.011190692000000002,nan,nan,,,,0,0.5,-0.5
q51_greedy,Q51 · greedy c2,Q51 cross-archive,0.1,2,nan,0,0,nan,nan,,0.00944574350000002,nan,nan,,,,0,nan,nan
q51_greedy,Q51 · greedy c2,Q51 cross-archive,0.25,2,nan,0,0,nan,nan,,0.00944574350000002,nan,nan,,,,0,nan,nan
q51_landmax,Q51 · landmax c2,Q51 cross-archive,0.0,19,1.0,5,5,1.6798579106216083,0.7483392090094834,,0.007891371000000036,0.013256382000000011,0.009337292499999927,,,,5,0.4859649122807017,0.06315789473684211
q51_landmax,Q51 · landmax c2,Q51 cross-archive,0.05,3,nan,0,0,nan,nan,,0.007891371000000036,nan,nan,,,,0,0.5,-0.5
q51_landmax,Q51 · landmax c2,Q51 cross-archive,0.1,3,nan,0,0,nan,nan,,0.007891371000000036,nan,nan,,,,0,0.5,-0.5
q51_landmax,Q51 · landmax c2,Q51 cross-archive,0.25,2,nan,0,0,nan,nan,,0.02129344150000001,nan,nan,,,,0,nan,nan
q51_mimic,Q51 · mimic c2,Q51 cross-archive,0.0,19,0.9166666666666666,11,12,3.952418658965971,1.9827357721310352,,0.07551668200000006,0.2984735429999999,0.2664535069999999,,,,13,-0.18771929824561404,0.419298245614035
q51_mimic,Q51 · mimic c2,Q51 cross-archive,0.05,4,1.0,1,1,nan,nan,,0.04570319549999999,nan,nan,,,,1,-0.39999999999999997,0.39999999999999997
q51_mimic,Q51 · mimic c2,Q51 cross-archive,0.1,3,nan,0,0,nan,nan,,0.02538214900000002,nan,nan,,,,0,0.5,-0.5
q51_mimic,Q51 · mimic c2,Q51 cross-archive,0.25,3,nan,0,0,nan,nan,,0.02538214900000002,nan,nan,,,,0,0.5,-0.5
q52_fixed_A,Q52 · fixed A,Q52 continuation,0.0,27,1.0,3,3,21.23148593737812,4.408133440198801,4.197803266918251,0.003264504999999973,0.069310292,0.04842085500000004,0.05990761600000005,0.003264504999999973,18.351209754618402,6,-0.21276685726918113,0.5293040293040293
q52_fixed_A,Q52 · fixed A,Q52 continuation,0.05,5,nan,0,0,nan,nan,0.40892257525884246,0.01376424599999998,nan,0.018274705500000044,0.018274705500000044,0.01376424599999998,1.327693903465549,0,0.0,-0.39999999999999997
q52_fixed_A,Q52 · fixed A,Q52 continuation,0.1,5,nan,0,0,nan,nan,0.40892257525884246,0.01376424599999998,nan,0.018274705500000044,0.018274705500000044,0.01376424599999998,1.327693903465549,0,0.0,-0.39999999999999997
q52_fixed_A,Q52 · fixed A,Q52 continuation,0.25,3,nan,0,0,nan,nan,-1.1019843384962174,0.02222216249999992,nan,0.010352755999999963,0.010352755999999963,0.02222216249999992,0.4658752720397936,0,0.5,-1.0
q52_fixed_B,Q52 · fixed B,Q52 continuation,0.0,27,0.6,3,5,43.63387936442497,5.447376840227152,5.815700640814278,0.0006552129999999323,0.028589485000000026,0.04522011299999995,0.03690479899999999,0.0006552129999999323,56.3248882424552,3,0.15863977721323722,0.29853479853479853
q52_fixed_B,Q52 · fixed B,Q52 continuation,0.05,5,0.0,0,1,nan,nan,1.6948111398339025,0.02762848499999998,nan,0.089442939,0.089442939,0.02762848499999998,3.2373450444351204,0,-0.3,0.6
q52_fixed_B,Q52 · fixed B,Q52 continuation,0.1,4,nan,0,0,nan,nan,0.7559559537235516,0.02762848499999998,nan,0.046657610000000016,0.046657610000000016,0.02762848499999998,1.688750215583665,0,0.39999999999999997,0.19999999999999998
q52_fixed_B,Q52 · fixed B,Q52 continuation,0.25,3,nan,0,0,nan,nan,0.5385888182782675,0.03212115099999999,nan,0.046657610000000016,0.046657610000000016,0.03212115099999999,1.4525509998069508,0,-0.5,0.5
q52_alternating_AB,Q52 · alternating AB,Q52 continuation,0.0,39,0.9523809523809523,20,21,374.610761461219,8.54924853432026,8.980026693265073,0.0008395700000000117,0.314511957,0.3339048870000001,0.2504008165,0.0004958820000000586,504.9604875756136,21,0.3386639676113361,0.5206477732793522
q52_alternating_AB,Q52 · alternating AB,Q52 continuation,0.05,32,0.95,19,20,85.2135709577171,6.413011304614034,3.8722046996311756,0.003690867000000042,0.314511957,0.3339048870000001,0.2504008165,0.01709960100000002,14.643664287839215,20,0.04912023460410556,0.43841642228739
q52_alternating_AB,Q52 · alternating AB,Q52 continuation,0.1,32,0.95,19,20,85.2135709577171,6.413011304614034,3.8722046996311756,0.003690867000000042,0.314511957,0.3339048870000001,0.2504008165,0.01709960100000002,14.643664287839215,20,0.04912023460410556,0.43841642228739
q52_alternating_AB,Q52 · alternating AB,Q52 continuation,0.25,30,0.95,19,20,85.2135709577171,6.413011304614034,nan,0.003690867000000042,0.314511957,0.3339048870000001,0.2504008165,nan,nan,20,-0.10433815350389322,0.3419354838709677
q52_alternating_BA,Q52 · alternating BA,Q52 continuation,0.0,39,0.8888888888888888,16,18,34.15999951630798,5.094236049417777,7.925666245715677,0.004300263000000082,0.1468969819999999,0.378579295,0.18415082450000003,0.0007573740000000884,243.1438424080818,18,0.455668016194332,0.3244939271255061
q52_alternating_BA,Q52 · alternating BA,Q52 continuation,0.05,32,0.8823529411764706,15,17,20.243320617722024,4.339374057142017,3.149427852753166,0.0072565654999999785,0.1468969819999999,0.378579295,0.18415082450000003,0.020753981000000005,8.873036190020603,17,0.20821114369501464,0.06414956011730204
