archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,23,8,8,7.5,7.5,4.0,3.75,1.875,1.5333333333333332,2.0,1.5,1.0,1.0,1.032258064516129,0.967741935483871,1.5161290322580645,1.4838709677419355,2.032258064516129,1.967741935483871,0.2569660112501051,0.3819660112501051,0.1019049564918304,0.1341630210079594,0,0,0,0
greedy,24,4,11,5.5,5.5,4.0,4.0,1.375,1.7272727272727273,1.375,1.7272727272727273,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.2430339887498949,0.2430339887498949,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,25,2,13,8.0,7.0,3.5,4.0,2.2857142857142856,1.4375,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,0.9333333333333333,1.0666666666666667,1.4,1.6,1.8666666666666667,2.1333333333333333,0.6676802969643907,0.1319660112501051,0.218033988749895,0.018033988749894814,0,0,0,1
greedy,26,5,15,7.0,8.0,4.0,3.5,1.75,1.5714285714285714,2.2857142857142856,1.4375,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.6,1.4,2.1333333333333333,1.8666666666666667,0.1319660112501051,0.6676802969643907,0.018033988749894814,0.218033988749895,0,0,1,0
greedy,27,6,11,8.0,6.5,4.0,4.0,2.0,1.5,1.625,1.6153846153846154,1.103448275862069,0.896551724137931,1.0,1.0,1.396551724137931,1.603448275862069,1.896551724137931,2.103448275862069,0.3819660112501051,0.0069660112501050975,0.22148226461196385,0.014585712887825952,0,1,0,1
greedy,28,7,11,7.0,6.0,4.0,4.0,1.75,1.5714285714285714,1.5,1.6666666666666665,1.0769230769230769,0.9230769230769231,1.0,1.0,1.4230769230769231,1.5769230769230769,1.9230769230769231,2.0769230769230766,0.1319660112501051,0.1180339887498949,0.19495706567297177,0.04111091182681803,0,0,0,1
greedy,30,5,6,6.0,9.0,3.5,3.75,1.7142857142857142,1.5833333333333335,2.4,1.4166666666666667,0.8,1.2,0.9655172413793104,1.0344827586206895,1.6827586206896552,1.3172413793103448,2.1655172413793102,1.8344827586206895,0.09625172553581929,0.781966011250105,0.0647246319397603,0.3007926094395501,0,0,1,0
greedy,31,3,25,8.0,5.0,4.0,4.0,2.0,1.5,1.25,1.8,1.2307692307692308,0.7692307692307692,1.0,1.0,1.2692307692307692,1.7307692307692308,1.7692307692307692,2.230769230769231,0.3819660112501051,0.3680339887498949,0.34880321951912574,0.11273524201933594,0,0,0,0
greedy,32,2,8,7.0,6.5,4.0,4.0,1.75,1.5714285714285714,1.625,1.6153846153846154,1.037037037037037,0.962962962962963,1.0,1.0,1.462962962962963,1.537037037037037,1.962962962962963,2.037037037037037,0.1319660112501051,0.0069660112501050975,0.15507102578693188,0.08099695171285792,0,1,0,0
greedy,33,2,16,6.0,9.0,3.5,4.0,1.7142857142857142,1.5833333333333335,2.25,1.4444444444444444,0.8,1.2,0.9333333333333333,1.0666666666666667,1.6666666666666665,1.3333333333333335,2.1333333333333333,1.8666666666666667,0.09625172553581929,0.6319660112501051,0.048632677916771616,0.2847006554165614,0,0,1,0
