basis,split,shot_index,target,x_parent,time_parent,relation_j,event_fill,ara_score,count_score,ara_plus_count_score
X,development,0,1,1.1400000545501698,1.2676923510037927,0.8707692170950085,0.08012820512820513,-0.07784522862944851,0.09499996668377411,0.017154738054336302
X,development,251,0,1.1956521739130435,0.8829431948454484,1.180602032205333,0.07371794871794872,-0.1236350892967292,0.05180186559178299,-0.0718332237049403
X,development,502,0,1.0394736842105263,0.9149797339188426,0.988866404483193,0.060897435897435896,3.480541967014579e-05,-0.03459433659219922,-0.03455953117253272
X,development,753,1,1.0978260869565217,0.8361203981482465,0.9489966268124788,0.07371794871794872,-0.06277593529287921,0.05180186559178299,-0.010974069701090328
X,development,1005,1,1.265625,0.6826923191547394,1.1670673191547394,0.05128205128205128,-0.20303117571379817,-0.09939148823018586,-0.30242266394399486
X,development,1256,1,0.8839285864817855,0.8461538867636048,0.9814560921099542,0.08974358974358974,0.13520267230690097,0.1597971183217607,0.29499979062867954
X,development,1507,0,1.0277778035328704,0.923076923076923,0.910256414671569,0.057692307692307696,0.0029458202807558166,-0.05619338713819473,-0.05324756685744496
X,development,1758,0,1.0357142857142856,1.0329670565468925,1.0357143197740828,0.04487179487179487,0.016954131810920516,-0.14258958932217694,-0.125635457511272
X,development,2010,1,0.65625,0.942307710647583,0.9302884340286255,0.05128205128205128,0.3431275988051143,-0.09939148823018586,0.24373611057491762
X,development,2261,0,1.1521739130434783,1.103678910628609,0.9799331167469855,0.07371794871794872,-0.08931093302655314,0.05180186559178299,-0.03750906743476425
X,development,2512,1,0.8529411686332996,0.9502262669355898,1.1923077025564544,0.05448717948717949,0.19305102087621567,-0.07779243768419028,0.11525858319201696
X,development,2763,1,1.062500068119594,0.8351648535047258,1.0803571769169398,0.08974358974358974,-0.0170030261337584,0.1597971183217607,0.14279409218802014
X,development,3015,1,1.1388889117005423,0.8547008605877331,0.9850427578543886,0.028846153846153848,-0.09484026080289111,-0.25058484205215464,-0.3454251028550733
X,development,3266,0,1.1842105467894064,1.0040486234351553,0.914979710955878,0.060897435897435896,-0.1324260621374968,-0.03459433659219922,-0.16702039872969965
X,development,3517,0,1.0799999794006352,0.9476923189603363,0.961538449067336,0.08012820512820513,-0.03718799169385566,0.09499996668377411,0.05781197498992914
X,development,3768,0,1.0238095238095237,0.8278388068789528,0.9340659550258091,0.0673076923076923,0.0021227878616206764,0.008603764499791866,0.010726552361413661
X,development,4020,1,1.1022726839238948,0.8741259141401811,0.974650339646773,0.07051282051282051,-0.061340613497749635,0.030202815045787427,-0.031137798451958708
X,development,4271,0,0.9750000000000001,1.5461538791656495,1.032692289352417,0.0641025641025641,0.10897416715696816,-0.012995286046203697,0.09597888111076319
X,development,4522,0,1.3409090766236798,1.0909091145539092,0.9982517198703879,0.035256410256410256,-0.2593405126398319,-0.20738674096016355,-0.46672725360001815
X,development,4773,0,1.0978260641963364,0.8093645508524738,1.1028428056376332,0.07371794871794872,-0.04852385667981297,0.05180186559178299,0.003278008911975931
X,development,5025,0,0.9444444164817709,1.008547067868632,1.02564109764208,0.028846153846153848,0.0968254154014148,-0.25058484205215464,-0.15375942665076736
X,development,5276,1,1.0370370710501116,0.7863247911550455,1.047008548065166,0.08653846153846154,-0.0009915946917405747,0.13819806777576515,0.13720647308404005
X,development,5527,1,1.0277777913911845,0.7606837850237393,0.8547008150776335,0.057692307692307696,-0.014712814651650186,-0.05619338713819473,-0.07090620178985096
X,development,5778,1,0.9487179487179487,1.037475341405624,0.9112426073123248,0.125,0.08301198489406483,0.39738667432771174,0.4803986592218207
X,development,6030,1,1.1333333969116213,0.8820512771606446,0.8410256703694662,0.04807692307692308,-0.10297987630148235,-0.12099053877618136,-0.22397041507767695
X,development,6281,0,1.0624999860301612,1.2211538735204022,0.8149038376644826,0.05128205128205128,-0.016881717592069866,-0.09939148823018586,-0.11627320582226656
