split,q28_source_flip,residual_dominant_axis,weight,weight_share
development,I,x,0.0,0.0
development,I,y,0.0,0.0
development,I,z,20.24461816719856,0.5052025655514113
development,Fx,x,0.0,0.0
development,Fx,y,0.0,0.0
development,Fx,z,0.0,0.0
development,Fy,x,0.0,0.0
development,Fy,y,0.0,0.0
development,Fy,z,0.0,0.0
development,Fz,x,0.0,0.0
development,Fz,y,0.0,0.0
development,Fz,z,19.827660850431236,0.4947974344485887
opened_later_half,I,x,0.0,0.0
opened_later_half,I,y,0.0,0.0
opened_later_half,I,z,19.471054864294867,0.5065144095735048
opened_later_half,Fx,x,0.0,0.0
opened_later_half,Fx,y,0.0,0.0
opened_later_half,Fx,z,0.0,0.0
opened_later_half,Fy,x,0.0,0.0
opened_later_half,Fy,y,0.0,0.0
opened_later_half,Fy,z,0.0,0.0
opened_later_half,Fz,x,0.0,0.0
opened_later_half,Fz,y,0.0,0.0
opened_later_half,Fz,z,18.970210569179933,0.49348559042649526
