archive,seed,phase,ara_x,parent_pairs,child_pairs,parent_frobenius,child_frobenius,ratio_frobenius,reciprocal_frobenius,parent_spectral,child_spectral,ratio_spectral,wrong_phase_frobenius
greedy,0,A,0.2,7,16,0.03280910019257802,0.004981155284895367,6.586644727191475,0.15182236805208665,0.023197739349567894,0.003518912413338192,6.5923037077133495,6.574072174014959
greedy,0,A,0.4,8,18,0.03666555096434011,0.005524781886746986,6.6365608119832835,0.15068045458038348,0.025915660984081684,0.003851919635476728,6.727985897056303,5.497559563335883
greedy,0,A,0.6,8,18,0.04442263344353875,0.007440067765706479,5.970729681831138,0.16748371694719133,0.03138586340072016,0.005125280296834898,6.123735987688792,5.095602196072105
greedy,0,A,0.8,8,18,0.05210985670302707,0.009540927233950712,5.46171828222291,0.1830925632423871,0.03679997635078645,0.006627240894781114,5.552835174554476,4.602685307430679
greedy,0,A,1.0,8,18,0.05984577666077001,0.011723549848744002,5.104748769177756,0.19589602646813006,0.0422318999437656,0.008081418287052416,5.225803001860096,4.287386525601876
greedy,0,A,1.2,8,18,0.06759712591469799,0.01399352258732409,4.83060112225997,0.2070135734022592,0.04767450534293388,0.009695008714130569,4.91742779699082,4.052147459097829
greedy,0,A,1.4,8,18,0.07521849987809548,0.01642358244822183,4.5799081969621875,0.21834498793300944,0.05300155996179108,0.011507760127876378,4.605723387768589,3.948571016494665
greedy,0,A,1.6,8,18,0.08287883067991482,0.0192292070884365,4.310049306700435,0.23201590720676735,0.05835244659531833,0.01349686092483064,4.3234087481753125,3.9767924126578964
greedy,0,A,1.8,8,18,0.09054059871757808,0.02228200100421358,4.0633962228283105,0.2460995544520032,0.06368540377504026,0.015660803356472894,4.066547693973689,3.9150961457535756
greedy,0,B,0.2,7,16,0.022444113933323434,0.004990681471715671,4.497204251668602,0.22236036969612152,0.015858466802444043,0.0035219484745538173,4.502753778773863,4.50580490862872
greedy,0,B,0.4,8,17,0.025460002697820824,0.006669423139836197,3.8174220114704145,0.26195689053901977,0.01976575381594195,0.0046165402816989096,4.281507927981959,4.608327209965528
greedy,0,B,0.6,8,18,0.03488229740471076,0.008717837800953438,4.001255609607213,0.24992154902549849,0.024594471275971246,0.006096190323348795,4.034400169852451,4.688438130294164
greedy,0,B,0.8,8,18,0.04405715627687934,0.011321620580685744,3.891417837481604,0.256975745541416,0.03104999911963645,0.007947720915777149,3.9067802516817864,4.617701738684797
greedy,0,B,1.0,8,18,0.053294661673292054,0.013958568070176198,3.8180608071941955,0.26191306280815285,0.037548874153403106,0.009819973132876032,3.8237247337973064,4.5459491673506855
greedy,0,B,1.2,8,18,0.06250092038874228,0.016681803067884363,3.7466525731303237,0.26690491858563264,0.044011218327105826,0.011746138599096333,3.74686693467858,4.466417944353639
greedy,0,B,1.4,8,18,0.07166002505798405,0.019049549714030604,3.761770022585056,0.2658323060676656,0.05043541714308997,0.013441638257213182,3.75217783561649,4.363239584536724
greedy,0,B,1.6,8,18,0.0807870558697376,0.02084062281353092,3.876422340760663,0.25796982683877834,0.05682685280958265,0.014705651836308063,3.864286564249936,4.201268180127872
greedy,0,B,1.8,8,18,0.08966465029626197,0.023126021774913748,3.877218968699877,0.25791682339141236,0.06303297629077768,0.016325629903413845,3.8609828021151507,4.024084294732155
greedy,1,A,0.2,9,9,0.004503399117865508,0.004991679688724682,0.902181109103993,1.1084248937479488,0.003729861375613196,0.003596260437394126,1.0371499618964966,1.4101832844393507
greedy,1,A,0.4,10,10,0.006717954472442008,0.006268788169261087,1.0716512172772725,0.9331394243555141,0.004525001745779201,0.004430615779395171,1.021303126040172,1.2030240080130075
greedy,1,A,0.6,10,12,0.00941178602717922,0.005370188010143856,1.7525989796634884,0.5705811834901372,0.006423417298700261,0.003662799889639924,1.7536904805716054,1.3594711304112599
greedy,1,A,0.8,10,12,0.012367828752472604,0.006816009520104117,1.8145263318651703,0.5511080122888543,0.008568284659644734,0.0045397495709226365,1.8873914795928617,1.5200897060635812
