control,lag,events,weight,axis_error,sign_flip_share
exact,1,73558,76.02057619257118,0.1864686582744577,0.16655228066858577
exact,2,72990,75.46956913474938,0.39303616161652377,0.4220805077786754
exact,3,73413,75.78124244768338,0.4468097216478855,0.4776907367593964
exact,4,71138,73.28571961435192,0.4798652003395669,0.5009403435082485
exact,5,72583,74.77004664614599,0.48296106531837707,0.4967750654385086
exact,6,70488,72.84787209269771,0.47994457454806466,0.49721025164438604
seed,1,73558,76.02057619257118,0.46986976124144353,0.4926939767380807
seed,2,72990,75.46956913474938,0.4737067974022954,0.4992027999661415
seed,3,73413,75.78124244768338,0.480050678342851,0.5028155305858937
seed,4,71138,73.28571961435192,0.48146694616779884,0.49951058903508433
seed,5,72583,74.77004664614599,0.4835732060320897,0.49989522442184015
seed,6,70488,72.84787209269771,0.4807107077379389,0.49869821398581393
time,1,73558,76.02057619257118,0.46816223958936665,0.49070835039310157
time,2,72990,75.46956913474938,0.4760606085418023,0.4963991218193763
time,3,73413,75.78124244768338,0.4734889698128155,0.5021094211830092
time,4,71138,73.28571961435192,0.47791196602125496,0.5039053439975817
time,5,72583,74.77004664614599,0.48198928209818304,0.5069512361321122
time,6,70488,72.84787209269771,0.4801533718593139,0.5036775618665633
