archive,seed,phase,ara_x,parent_pairs,child_pairs,parent_norm,child_norm,angle_deg,signed_angle_deg,wrong_phase_angle_deg,mean_robustness_angle_deg
greedy,0,A,0.2,7,16,0.00957778857785436,0.0016941926866525963,168.92167790438933,168.92167790438933,24.06278141115935,169.2203380339817
greedy,0,A,0.4,8,18,0.018363292536428474,0.0010137435166376072,151.23736143322597,151.23736143322597,143.2820349598283,156.3016377670146
greedy,0,A,0.6,8,18,0.023916172160556234,0.001299503343539832,149.5842051192487,149.5842051192487,67.91851864056319,137.3620634204738
greedy,0,A,0.8,8,18,0.028115435323869273,0.001298024522549918,143.85704446730833,143.85704446730833,68.26947927753461,120.98979993427155
greedy,0,A,1.0,8,18,0.031804072280981824,0.0015029755082746293,141.21584284295096,141.21584284295096,61.17995850214284,113.5310046294489
greedy,0,A,1.2,8,18,0.03496338294289299,0.0012955380355593902,124.33044563793933,124.33044563793933,65.76605830749719,103.62079648965708
greedy,0,A,1.4,8,18,0.03808359065316672,0.0011997228244468576,102.84966476993979,102.84966476993979,89.628404668974,93.32741997107942
greedy,0,A,1.6,8,18,0.04087936127588427,0.0012158750503268765,94.79453320002479,94.79453320002479,85.05518493311946,84.44436479621788
greedy,0,A,1.8,8,18,0.04341827080445234,0.00736670873408902,5.393694137473244,5.393694137473348,7.611596127732028,0.2602367136759497
greedy,0,B,0.2,7,16,0.0009809988571487175,0.0004126760645104311,34.30634812518959,-34.30634812518961,110.55254836804038,24.24549006835463
greedy,0,B,0.4,8,17,0.00895612984024218,0.0009542491562909562,134.47426579725973,134.4742657972597,142.42959227065737,12.55310325934487
greedy,0,B,0.6,8,18,0.013357821155375274,0.0007241168280900054,61.162758740020884,61.16275874002089,142.8284452187064,2.3436645527806492
greedy,0,B,0.8,8,18,0.018181402166901624,0.0006793545381328828,63.97122242360822,63.971222423608204,139.55878761338192,6.385212772926474
greedy,0,B,1.0,8,18,0.023204098702391963,0.0007105870134676101,58.244246931071686,58.244246931071686,138.28013127187984,16.960686853825937
greedy,0,B,1.2,8,18,0.02795754931626028,0.0006717676031436109,63.66635030477297,63.66635030477297,122.2307376352151,27.09908090172914
greedy,0,B,1.4,8,18,0.03251020666086175,0.000694824268696288,88.17931863047056,88.17931863047056,101.40057873143635,38.64201585994556
greedy,0,B,1.6,8,18,0.036490506827869626,0.0007692511911530105,84.10774873351667,84.10774873351667,93.84709700042198,46.448585937277144
greedy,0,B,1.8,8,18,0.04073584882849928,0.0072205921154131015,7.129894575968897,7.129894575968892,4.91199258571021,5.814432076979206
greedy,1,A,0.2,9,9,0.001019876463585389,0.0006991094784827529,28.395112589821863,-28.395112589821863,88.99438611224066,110.44386723888331
greedy,1,A,0.4,10,10,0.0030674216284782233,0.0014554003898902743,130.83940166380458,-130.83940166380458,128.93443854493736,79.97004140869292
greedy,1,A,0.6,10,12,0.004300450916392467,0.000923677704777204,93.8772468215899,-93.87724682158989,120.14796042412794,60.545077063105744
greedy,1,A,0.8,10,12,0.0052615823584385955,0.0010555635750066387,99.49863896174463,-99.49863896174463,121.85733765661531,51.12782639510608
greedy,1,A,1.0,10,12,0.00619826938620351,0.0012484288333377556,106.89256517360012,-106.8925651736001,105.72155046892298,45.48230789619877
greedy,1,A,1.2,10,12,0.007091551630613755,0.001468184924243308,114.81513334631953,-114.81513334631953,112.16529168217659,37.61064592292201
greedy,1,A,1.4,10,12,0.007834434724952974,0.0018217273063445292,126.1802733925321,-126.1802733925321,117.91973382227795,33.55497755397308
greedy,1,A,1.6,9,12,0.00372401136416018,0.0020537434584737752,3.9907058353998623,-3.990705835399786,3.9513983053624586,75.76059082599089
greedy,1,A,1.8,9,12,0.004159215448171725,0.0022333228739793856,9.020434980893475,-9.020434980893391,3.2925654528960266,75.7610205425518
greedy,1,B,0.2,7,11,0.000672022776829681,0.0005284413326114393,68.56478726606385,68.56478726606383,48.824711435998694,74.08976658630462
greedy,1,B,0.4,10,12,0.0007889051406682559,0.0007853626058456276,103.78999463862557,-103.78999463862557,105.6949577574928,36.17732440797224
greedy,1,B,0.6,10,12,0.001800622841770088,0.0006348738906405275,101.79343391894417,-101.79343391894417,75.52272031640612,112.40560989922903
greedy,1,B,0.8,10,12,0.002714062438901988,0.00070993248548528,106.15741212667811,-106.15741212667811,83.79871343180744,13.517487112503384
greedy,1,B,1.0,10,12,0.003636097899393911,0.0010581219108257087,92.92236554865299,-92.92236554865299,94.09338025333011,20.727557123791385
greedy,1,B,1.2,10,12,0.004540623767941973,0.001212974666229108,100.06863832747534,-100.06863832747534,102.71847999161828,29.599720791652842
greedy,1,B,1.4,10,12,0.0061418283713992146,0.0015097411941288415,103.79682133587782,-103.79682133587782,112.05736090613199,38.276789621421685
greedy,1,B,1.6,9,12,0.0041467563791322045,0.0017482236983039526,14.199864744510815,-14.19986474451083,22.141968885272842,60.189442292300775
