split,branch_label,seed,time,origin_time,source_pair,endpoint,weight,q28_fit_error,residual_fraction,residual_component_entropy,residual_largest_axis_share,residual_effective_dimension,residual_z_scaled,residual_z_ara,residual_dominant_axis,q28_source_flip,child_weight_entropy,strongest_child_weight_share,positive_child_count,origin_exact_error,origin_seed_error,origin_time_error,origin_exact_pair,origin_exact_flip,origin_exact_is_local,origin_exact_is_strongest_child,origin_exact_shares_endpoint,origin_exact_is_active,optimal_exact_error,optimal_exact_lag,optimal_exact_pair,optimal_exact_flip,path_partner_persistence,path_flip_persistence,path_adjacency_share,path_self_return
development,c2,0,24,26,0-9,0,1.0506449440101425e-06,0.04445591552325861,0.04445591552325727,3.464621500070221e-05,0.9999973834257428,1.0000052331656306,-0.044455857362117164,0.9555441426378828,z,I,0.0,1.0,1,0.9408566788963777,0.9639325558219161,0.9418297549173212,1-6,Fz,0.0,0.0,0.0,0.0,0.92251388913756,2,1-6,Fz,0.8571428571428571,1.0,1.0,0.0
development,c2,0,32,34,7-8,8,1.2268250465068131e-05,0.05196534359566605,0.05196534359566741,0.01566296938645068,0.9977966850366071,1.0044187878170285,-0.05190806401746988,0.9480919359825302,z,I,0.0,1.0,1,0.9562534378177193,0.9219314276174359,0.9337001747972365,0-5,I,0.0,0.0,0.0,0.0,0.9162411884683115,5,5-11,Fz,0.42857142857142855,0.8571428571428571,1.0,0.0
development,c2,0,42,44,2-6,6,0.00030924618731500986,0.08572988558551808,0.08572988558551617,0.11267263644988436,0.9773717137524885,1.0465598939575713,0.0847543752814015,1.0847543752814015,z,Fz,0.0,1.0,1,0.9534316804157045,0.9555974552997193,0.9350948427368279,9-11,Fx,0.0,0.0,0.0,0.0,0.933545219738408,5,0-6,Fx,0.7142857142857143,1.0,1.0,0.0
development,c2,0,74,76,2-6,6,0.00035872490712123006,0.03659380406286059,0.03659380406286062,0.013696544280648917,0.9981105165342555,1.0037879057955037,-0.036559216022890396,0.9634407839771096,z,Fz,0.0,1.0,1,0.9553636567883184,0.920792317927832,0.9193570063051515,0-7,I,0.0,0.0,0.0,0.0,0.9438343965497702,5,5-7,I,0.7142857142857143,0.8571428571428571,1.0,0.0
development,c2,0,94,96,2-6,2,0.0006802611608459075,0.10038677626444406,0.10038677626444327,0.02159675516106887,0.9968107546107764,1.006403983896317,-0.10022656939601185,0.8997734306039882,z,I,0.0,1.0,1,0.9013720489387906,0.9225994458980286,0.9258644593317114,4-8,I,0.0,0.0,0.0,0.0,0.9013720489387906,0,4-8,I,0.7142857142857143,1.0,1.0,0.0
development,c2,0,96,98,7-8,8,0.0006453498267471325,0.08273065384608656,0.08273065384608588,0.23402142845819163,0.9432976709034028,1.1218080834293604,0.08035091705175405,1.080350917051754,z,Fz,0.0,1.0,1,0.9520427144703374,0.9456707844779845,0.9341612166304943,4-7,Fx,0.0,0.0,0.0,0.0,0.9358782454105303,2,4-7,Fx,0.7142857142857143,1.0,1.0,0.0
development,c2,0,100,102,4-7,4,0.0017591663980309757,0.2805506580905192,0.28055065809051943,0.43747785352321866,0.868406428218544,1.3109799735027923,0.26144046455857933,1.2614404645585793,z,I,0.0,1.0,1,0.9330627337184151,0.9370320304261784,0.9340942988645672,2-8,I,0.0,0.0,0.0,0.0,0.9326091182254888,5,3-4,I,0.2857142857142857,0.5714285714285714,0.8333333333333334,0.0
development,c2,0,126,128,2-6,2,8.944301402129262e-07,0.028972098005181635,0.02897209800518338,0.001012662090822285,0.9998977579173318,1.0002045103010826,-0.02897061688350451,0.9710293831164954,z,I,0.0,1.0,1,0.9018892687040275,0.9094401824143618,0.9604688302605856,5-8,I,0.0,0.0,0.0,0.0,0.8997168250241698,1,5-8,I,0.5714285714285714,1.0,1.0,0.0
development,c2,0,162,164,3-6,6,0.0005279981540601275,0.15852478847393786,0.15852478847393778,0.16914280387795624,0.9625219902290271,1.0785730986287816,0.1555258245646778,1.1555258245646778,z,Fz,0.0,1.0,1,0.9579674521324425,0.9503984874174494,0.9407572847805251,0-1,Fx,0.0,0.0,0.0,1.0,0.9095771640360368,4,1-2,Fx,0.8571428571428571,1.0,1.0,0.0
development,c2,0,216,218,0-9,0,0.0003135260436375187,0.015140742810551607,0.015140742810542307,0.017334637560047186,0.9975245782222456,1.0049661931844551,-0.015121991336657923,0.9848780086633421,z,Fz,0.0,1.0,1,0.8970159336996916,0.883084207970356,0.93253454118987,4-6,I,0.0,0.0,0.0,0.0,0.8970159336996916,0,4-6,I,0.42857142857142855,1.0,1.0,0.0
