state,ramsey_wait_index,hahn_wait_index,ramsey_wait_us,hahn_wait_us,relative_wait_gap,ramsey_unresolved,hahn_unresolved,ramsey_visible,hahn_visible,delta_unresolved,delta_visible,same_sign,apparent_refocusable_share
Phi-minus,1,2,4.02,3.98,0.009999999999999898,0.24898614769711314,0.09496736835773789,1.8168032370206877,1.9207031587770054,0.15401877933937524,0.10389992175631768,True,0.6185837275041346
Phi-minus,2,3,8.02,7.94,0.010025062656641501,0.3648990575084978,0.16737610878114983,1.781169179475913,1.868894693036601,0.197522948727348,0.08772551356068803,True,0.5413084650752984
Phi-minus,4,4,16.02,15.85,0.010668340131785374,0.8056023226090707,0.07737789627937963,1.3883221489222466,1.9255064416451435,0.7282244263296911,0.5371842927228969,True,0.9039502567113026
Phi-minus,8,5,32.02,31.62,0.012570710245128916,0.9779283576193729,0.13946355406747735,1.0635637721842581,1.8692026253153284,0.8384648035518956,0.8056388531310703,True,0.8573887821322806
Phi-plus,1,2,4.02,3.98,0.009999999999999898,0.18556610905211413,0.14639215392961824,1.8775114314652903,1.877290578566114,0.039173955122495885,-0.0002208528991762826,False,0.21110511678344415
Phi-plus,2,3,8.02,7.94,0.010025062656641501,0.39909122976820055,0.13395537925918477,1.7490397815130905,1.880482061669281,0.2651358505090158,0.13144228015619053,True,0.6643489777087096
Phi-plus,4,4,16.02,15.85,0.010668340131785374,0.843517881267043,0.19279383774306091,1.3390091523328531,1.8383833211427738,0.650724043523982,0.4993741688099207,True,0.7714407222127093
Phi-plus,8,5,32.02,31.62,0.012570710245128916,1.0247710226497921,0.35069734287712917,0.974834802778677,1.6824217957038279,0.674073679772663,0.7075869929251509,True,0.6577798014132789
Psi-minus,1,2,4.02,3.98,0.009999999999999898,0.1629465922934059,0.1957673265518256,1.8733408316037088,1.848892717536874,-0.03282073425841969,-0.024448114066834892,True,-0.20142019416596216
Psi-minus,2,3,8.02,7.94,0.010025062656641501,0.3475406393276257,0.044028286354022894,1.7296758352569257,1.959396377579067,0.3035123529736028,0.22972054232214134,True,0.8733147109379702
Psi-minus,4,4,16.02,15.85,0.010668340131785374,0.7492305011718698,0.20693481412069925,1.4543307484924584,1.7925045275492604,0.5422956870511706,0.338173779056802,True,0.7238035373666276
Psi-minus,8,5,32.02,31.62,0.012570710245128916,1.062804588430331,0.3396714631731388,0.9480865756654122,1.6212326197014257,0.7231331252571922,0.6731460440360135,True,0.6804008310927565
Psi-plus,1,2,4.02,3.98,0.009999999999999898,0.172505307536444,0.09444207746343292,1.8718815858804703,1.9212805224275527,0.07806323007301108,0.049398936547082384,True,0.4525265407066922
Psi-plus,2,3,8.02,7.94,0.010025062656641501,0.3180666968536192,0.21243390905627857,1.778734223725067,1.838190599528334,0.10563278779734064,0.059456375803267125,True,0.3321089219408438
Psi-plus,4,4,16.02,15.85,0.010668340131785374,0.732661318845674,0.1347626631151193,1.4579913984854775,1.7754532792132873,0.5978986557305547,0.3174618807278098,True,0.8160641763817404
Psi-plus,8,5,32.02,31.62,0.012570710245128916,1.0260674481496042,0.3695687104722627,1.0294047195747025,1.7156247141609744,0.6564987376773415,0.6862199945862719,True,0.6398202563206368
