split,lag,events,rotation_error
development,1,67940,0.11041110639018786
development,2,76450,0.10426346515251206
development,3,79488,0.10434541376048966
development,4,82437,0.10647187697002339
development,5,84333,0.10988215709093754
development,6,85555,0.11453987846018393
development,7,86148,0.11867388527475758
development,8,86258,0.12190785682329025
hidden,1,68340,0.10822966788677252
hidden,2,76393,0.10163686433838512
hidden,3,79617,0.10254590679325573
hidden,4,82117,0.10478187248745793
hidden,5,84057,0.10918937555487823
hidden,6,85828,0.11432278385391002
hidden,7,86657,0.1194229257490943
hidden,8,86880,0.1217266744428155
