family,source_seed,fixed_lineages,eligible,finite_historical_bins,finite_extension_bins,baseline_movement,geometric_return,active_return,return_movement_ratio,return_at_10pct,return_at_50pct,witness_bin_indices,final_three_median_x,final_three_movement_ratio,one_way_settling,minimum_x,maximum_x
fixed_A,0,24,1,5,4,0.0014697044555832238,True,False,0.023549931980478913,False,False,"[0, 1, 10]",1.8038510365525795,2.6178942605653856e-08,False,0.23148733837265656,1.9982692472395285
fixed_A,1,29,1,5,4,0.0003862699464002894,True,False,0.07281457490383426,False,False,"[0, 1, 10]",1.9968000032673663,5.0862755827499906e-09,False,0.06656089468955029,1.9968000032673663
fixed_A,2,1,0,4,1,0.000166819201494828,True,False,7.375052234298458e-05,False,False,"[1, 2, 10]",nan,nan,False,0.09071166282293464,1.99952948133204
fixed_A,3,13,1,5,3,0.00019901293051336727,True,True,5.216681022326601,True,True,"[0, 1, 39]",1.7651130491938654,5.216681022326601,False,0.1598699093753232,1.9989294184221107
fixed_A,4,2,0,4,2,0.004806315684632112,False,False,nan,False,False,,nan,nan,False,0.0031608288065024803,1.9959628208809281
fixed_A,5,8,0,5,1,0.0002567259490124578,False,False,nan,False,False,,nan,nan,False,0.4302454208594019,1.999205470625543
fixed_A,6,3,0,4,2,0.011691753482773739,False,False,nan,False,False,,nan,nan,False,0.09703733437679096,1.997644036440521
fixed_A,7,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
fixed_A,8,7,0,4,2,5.83898949450837e-05,False,False,nan,False,False,,nan,nan,False,1.981410145854439,1.995030887017922
fixed_A,9,5,0,4,1,0.00010209885479351227,False,False,nan,False,False,,nan,nan,False,0.2172983008293663,1.9969710517150139
fixed_A,10,15,1,5,4,0.00017822941580339206,False,False,nan,False,False,,1.9973667934200325,1.1988913618097398e-08,True,0.6483624037133203,1.998477892691898
fixed_A,11,5,0,5,1,9.66893167572469e-05,True,True,411.22626684393344,True,True,"[1, 2, 10]",nan,nan,False,0.16805630174007558,1.9952201320906164
fixed_A,12,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
fixed_A,13,17,1,5,4,0.0002987616795227031,True,True,0.9399579902610546,True,True,"[0, 1, 39]",1.5383781016028641,1.2693896712488983e-08,False,0.07225290483278657,1.9964026833671147
fixed_A,14,5,0,5,2,0.06499868526327444,False,False,nan,False,False,,nan,nan,False,0.3429655797379093,1.9983993929272759
fixed_A,15,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
fixed_A,16,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
fixed_A,17,1,0,4,1,2.375468489826438e-05,False,False,nan,False,False,,nan,nan,False,0.0012510342534906016,1.9984115966643983
fixed_A,18,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
fixed_A,19,0,0,0,0,nan,False,False,nan,False,False,,nan,nan,False,nan,nan
