dataset,control,mean_ridge_distance,median_parent,near_ridge_fraction_0_10,rank_correlation
X_r13,paired,0.37986538288308935,1.0178740167959859,0.215,0.05371088729516637
X_r13,half_cycle_shift,0.392093222745265,0.9777506052238489,0.2,0.00042146920420055783
X_r13,wrong_bit,0.37669643824803983,0.9906647868068017,0.22,0.03188072337755244
X_r13,broken_spatial_web,0.3966694802345508,1.0148711787478306,0.2,-0.12085969324970985
X_r13,flip_orientation,0.404057326799127,1.0046680598285638,0.185,-0.05371088729516639
X_r30,paired,0.3813158963802414,1.0155991113990837,0.19,0.005088891715338557
X_r30,half_cycle_shift,0.3820554421415696,0.9892191095016829,0.19,0.06233382933833448
X_r30,wrong_bit,0.4032234350833132,1.0255504727542162,0.16,-0.059496347778443905
X_r30,broken_spatial_web,0.41470567021468147,1.0446412394658622,0.145,-0.13633218638722405
X_r30,flip_orientation,0.390051870857642,0.9878914465996729,0.205,-0.005088891715338557
Z_r13,paired,0.3983127926476085,0.9943342359312455,0.185,-0.09615787328181469
Z_r13,half_cycle_shift,0.383594220153878,0.9980925252422492,0.18,0.051070467939532765
Z_r13,wrong_bit,0.36809702143278883,0.9425953925118371,0.175,0.031967457221112695
Z_r13,broken_spatial_web,0.3723646284009534,0.9827557965041321,0.205,0.028391610270296453
Z_r13,flip_orientation,0.36609411671397774,1.0152790381125225,0.19,0.0961578732818147
Z_r30,paired,0.38513232226539484,0.9951517536587648,0.225,-0.02300367460691552
Z_r30,half_cycle_shift,0.3851777343693479,0.9893876319758672,0.195,0.010606746815144012
Z_r30,wrong_bit,0.4003289002914546,1.0094011920283108,0.13,-0.06716084274650676
Z_r30,broken_spatial_web,0.3834302359138589,0.972257582701088,0.185,0.03109571526096238
Z_r30,flip_orientation,0.37756920481083694,1.0100839706102864,0.215,0.02300367460691552
