branch,removed_pairs,predicted_survivor,predicted_merging_triple,development_diagonal_rank,development_diagonal_angle_degrees,development_diagonal_singular_values,holdout_merge_ratio,holdout_within_triple_rms,holdout_survivor_distance,holdout_survivor_binary_balanced_accuracy,holdout_survivor_recall,holdout_triple_recall,holdout_rank_one_energy_share,holdout_centroid_singular_values,tier1_j_holdout_retention,holdout_between_child_energy_retention,holdout_four_child_nearest_accuracy,original_holdout_four_child_nearest_accuracy,four_child_accuracy_loss,gates_1_to_6,passes_gates_1_to_6
AA,"[['C00', 'C01'], ['C00', 'C10']]",C11,"['C00', 'C01', 'C10']",2,58.10042762000931,"[0.4086705462044349, 0.2251922439626845]",0.31111285065044003,0.09325497470469023,0.2997464569840916,0.9916666666666667,1.0,0.9833333333333333,0.7255154491392127,"[0.26041863372434976, 0.12751228705377188, 0.09694419341488976, 4.5302173839276135e-17]",0.740995764447839,0.5314279064974778,0.44375,0.95625,0.5125000000000001,"{'G1_rank_two_and_angle_at_least_15_degrees': True, 'G2_holdout_merge_ratio_at_most_0_50': True, 'G3_survivor_binary_accuracy_at_least_0_80': True, 'G4_holdout_rank_one_share_at_least_0_80': False, 'G5_tier1_j_retention_at_most_0_75': True, 'G6_holdout_energy_retention_at_most_0_60': True}",False
AB,"[['C00', 'C01'], ['C01', 'C11']]",C10,"['C00', 'C01', 'C11']",2,76.36754658521424,"[0.3717413570678221, 0.28622660534653765]",0.39720091257001844,0.09876951194729713,0.24866385957732684,0.95,0.95,0.95,0.6156901371380701,"[0.21580488300547093, 0.14028619319715274, 0.09689980513441367, 3.394333441737742e-17]",0.7026151335854884,0.43003840947521604,0.51875,0.95625,0.4375,"{'G1_rank_two_and_angle_at_least_15_degrees': True, 'G2_holdout_merge_ratio_at_most_0_50': True, 'G3_survivor_binary_accuracy_at_least_0_80': True, 'G4_holdout_rank_one_share_at_least_0_80': False, 'G5_tier1_j_retention_at_most_0_75': True, 'G6_holdout_energy_retention_at_most_0_60': True}",False
BA,"[['C10', 'C11'], ['C00', 'C10']]",C01,"['C00', 'C10', 'C11']",2,75.8287880786041,"[0.37377177692304914, 0.2885668393944483]",0.4877223349732825,0.11034724951968916,0.22625014605028085,0.8583333333333334,0.75,0.9666666666666667,0.5376364435518952,"[0.20069995318598413, 0.14254960917685763, 0.11966841933100233, 2.4382529345749015e-17]",0.7957848888375234,0.4259442421349196,0.43125,0.95625,0.525,"{'G1_rank_two_and_angle_at_least_15_degrees': True, 'G2_holdout_merge_ratio_at_most_0_50': True, 'G3_survivor_binary_accuracy_at_least_0_80': True, 'G4_holdout_rank_one_share_at_least_0_80': False, 'G5_tier1_j_retention_at_most_0_75': False, 'G6_holdout_energy_retention_at_most_0_60': True}",False
BB,"[['C10', 'C11'], ['C01', 'C11']]",C00,"['C01', 'C10', 'C11']",2,57.053932799119146,"[0.4176006354882023, 0.22578754471629464]",0.3711209254955687,0.1092302047985559,0.29432510347590235,0.9791666666666666,0.975,0.9833333333333333,0.6599558016498465,"[0.257875733355197, 0.14610546004410704, 0.11365501975231021, 3.6985122848013015e-17]",0.8617480112700557,0.5728659508802165,0.51875,0.95625,0.4375,"{'G1_rank_two_and_angle_at_least_15_degrees': True, 'G2_holdout_merge_ratio_at_most_0_50': True, 'G3_survivor_binary_accuracy_at_least_0_80': True, 'G4_holdout_rank_one_share_at_least_0_80': False, 'G5_tier1_j_retention_at_most_0_75': False, 'G6_holdout_energy_retention_at_most_0_60': True}",False
