archive,metric,median,mean,q25,q75,ci_low,ci_high,nearest_landmark,nearest_landmark_distance,distance_to_phi
greedy,r_A,1.75,1.7519299260809267,1.5555555555555556,2.0,1.75,1.7647058823529411,sqrt3,0.017949192431122807,0.1319660112501051
greedy,s_A,1.5714285714285714,1.5843673559107156,1.5,1.6428571428571428,1.5714285714285714,1.5714285714285714,phi,0.046605417321323506,0.046605417321323506
greedy,r_B,1.75,1.8079245496771268,1.625,2.0,1.75,1.8571428571428572,sqrt3,0.017949192431122807,0.1319660112501051
greedy,s_B,1.5714285714285714,1.56656256199161,1.5,1.6153846153846154,1.5384615384615383,1.5714285714285714,phi,0.046605417321323506,0.046605417321323506
greedy,P_A,1.0,0.9881904613010195,0.9285714285714286,1.0666666666666667,0.9629629629629629,1.0,1,0.0,0.6180339887498949
greedy,P_B,1.0,1.0118095386989805,0.9333333333333333,1.0714285714285714,1.0,1.0370370370370372,1,0.0,0.6180339887498949
greedy,C_A,1.0,1.0034989673311614,1.0,1.032258064516129,1.0,1.0,1,0.0,0.6180339887498949
greedy,C_B,1.0,0.9965010326688385,0.967741935483871,1.0,1.0,1.0,1,0.0,0.6180339887498949
greedy,h_A,1.5161290322580645,1.5135590223645614,1.4333333333333333,1.5769230769230769,1.4853128991060027,1.5370370370370372,1.5,0.016129032258064502,0.1019049564918304
greedy,h_B,1.4838709677419355,1.4864409776354386,1.4230769230769231,1.5666666666666667,1.4655172413793105,1.5161290322580645,1.5,0.016129032258064502,0.1341630210079594
greedy,h_A_local_control,2.0,2.0153085060301423,1.9333333333333333,2.0769230769230766,1.9952380952380953,2.037037037037037,2,0.0,0.3819660112501051
greedy,h_B_local_control,2.0,1.9846914939698581,1.9230769230769231,2.0666666666666664,1.9608294930875576,2.0022246941045605,2,0.0,0.3819660112501051
greedy,ratio_phi_error_A,0.1319660112501051,0.23826991002693354,0.1180339887498949,0.3819660112501051,0.1319660112501051,0.2569660112501051,1,0.8680339887498949,1.4860679774997898
greedy,ratio_phi_error_B,0.1319660112501051,0.2584674499907648,0.1319660112501051,0.3819660112501051,0.1319660112501051,0.2486326779167718,1,0.8680339887498949,1.4860679774997898
greedy,additive_phi_error_A,0.11136732208322808,0.12299808861167716,0.05136732208322825,0.18470065541656155,0.08470065541656169,0.1341630210079594,1,0.8886326779167719,1.5066666666666668
greedy,additive_phi_error_B,0.1341630210079594,0.14072152577170732,0.06384679663166848,0.19495706567297177,0.11273524201933594,0.1525167473705844,1,0.8658369789920406,1.4838709677419355
landmax,r_A,1.75,1.7371031746031746,1.625,1.875,1.75,1.75,sqrt3,0.017949192431122807,0.1319660112501051
landmax,s_A,1.5714285714285714,1.592510224150849,1.5333333333333332,1.6153846153846154,1.5714285714285714,1.5714285714285714,phi,0.046605417321323506,0.046605417321323506
landmax,r_B,1.75,1.7739707341269841,1.5750000000000002,2.0,1.75,1.75,sqrt3,0.017949192431122807,0.1319660112501051
landmax,s_B,1.5714285714285714,1.579088708841313,1.5,1.6354166666666665,1.5714285714285714,1.5714285714285714,phi,0.046605417321323506,0.046605417321323506
landmax,P_A,1.0,0.9994454675273641,0.9333333333333333,1.0666666666666667,1.0,1.0172413793103448,1,0.0,0.6180339887498949
landmax,P_B,1.0,1.000554532472636,0.9333333333333333,1.0666666666666667,0.9818181818181819,1.0,1,0.0,0.6180339887498949
landmax,C_A,1.0,1.009539810547875,1.0,1.0666666666666667,1.0,1.0,1,0.0,0.6180339887498949
landmax,C_B,1.0,0.9904601894521251,0.9333333333333333,1.0,1.0,1.0,1,0.0,0.6180339887498949
landmax,h_A,1.5,1.5053244377465733,1.4333333333333333,1.5666666666666667,1.4666666666666668,1.5104454685099846,1.5,0.0,0.1180339887498949
landmax,h_B,1.5,1.4946755622534267,1.4333333333333333,1.5666666666666667,1.4848484848484849,1.5333333333333332,1.5,0.0,0.1180339887498949
landmax,h_A_local_control,2.0,2.0100943430205107,1.9333333333333333,2.069047619047619,2.0,2.02236958443855,2,0.0,0.3819660112501051
landmax,h_B_local_control,2.0,1.989905656979489,1.930952380952381,2.0666666666666664,1.9776304155614501,2.005128205128205,2,0.0,0.3819660112501051
landmax,ratio_phi_error_A,0.1319660112501051,0.23060857355412437,0.1319660112501051,0.3819660112501051,0.1319660112501051,0.1894625601784663,1,0.8680339887498949,1.4860679774997898
landmax,ratio_phi_error_B,0.1319660112501051,0.26332051927956424,0.1319660112501051,0.3819660112501051,0.1319660112501051,0.3105374398215337,1,0.8680339887498949,1.4860679774997898
landmax,additive_phi_error_A,0.1180339887498949,0.13370238365627654,0.08059819095614396,0.18470065541656155,0.11565303636894253,0.15136732208322812,1,0.8819660112501051,1.5
landmax,additive_phi_error_B,0.1180339887498949,0.13395141258022203,0.07130942299307119,0.18470065541656155,0.08470065541656169,0.13318550390141004,1,0.8819660112501051,1.5
