split,branch,seed,time,source_pair,endpoint,lag,weight,release,accumulation,rotation_error,no_rotation_error,angle_deg,spectrum_similarity
development,c2,2,151,"(8, 10)",8,2,0.0003596254091740858,0.0032890643924474716,0.10933972895145416,0.16799242552771976,1.0,180.0,0.9857882860763327
development,c2,2,155,"(1, 2)",2,2,2.0180310215770457e-05,0.005323568359017372,0.0037907487712800503,0.024114612241862763,0.024114612241862763,0.0,0.9997092004560248
development,c2,2,163,"(0, 2)",0,2,1.1833827540392704e-05,0.0016769469948485494,0.007056768983602524,0.03889946694631948,0.03889946694631948,0.0,0.9992431293090245
development,c2,2,171,"(0, 10)",0,2,0.0006267731446994232,0.028617743402719498,0.021901557222008705,0.059014550320153104,0.059014550320153104,0.0,0.9982571226144645
development,c2,2,179,"(4, 10)",10,2,9.167569434292977e-05,0.010109457187354565,0.009068310260772705,0.01514684514049882,1.0,180.0,0.9998852799608012
development,c2,2,201,"(3, 8)",3,2,0.0045495682029463025,0.01915627159178257,0.23749758303165436,0.2364508169010462,1.0,180.0,0.9716434588813059
development,c2,2,215,"(8, 10)",8,2,1.3797093259966661e-05,0.00035804760409519076,0.038534242659807205,0.0766589191114387,0.0766589191114387,0.0,0.9970573755409797
development,c2,2,217,"(0, 5)",5,2,0.0010125031447538735,0.016633063554763794,0.060872919857501984,0.12001764865480938,0.12001764865480938,0.0,0.9927717582664057
development,c2,2,223,"(6, 7)",6,2,6.5383160228601675e-06,0.006172645837068558,0.0010592404287308455,0.0351492710493988,1.0,180.0,0.9993820734557409
development,c2,2,235,"(1, 8)",8,2,3.8170768679227605e-06,0.0018270323053002357,0.002089222427457571,0.015287733246433644,0.015287733246433644,0.0,0.9998831357774697
development,c2,2,235,"(2, 9)",2,2,8.20969588214641e-06,0.002514075953513384,0.00326549238525331,0.008296030709655938,1.0,180.0,0.9999655873451171
development,c2,2,241,"(5, 7)",7,2,1.7944330474639614e-05,0.053651005029678345,0.00033446401357650757,0.08779994527521053,0.08779994527521053,0.0,0.9961381277762988
development,c2,4,6,"(4, 5)",4,2,0.026368138125212326,0.0739845484495163,0.35640060901641846,0.2514133663260213,0.2514133663260213,0.0,0.9678798061911499
development,c2,4,22,"(2, 8)",8,2,0.0001439634357419603,0.014186028391122818,0.010148255154490471,0.017553647737562423,1.0,180.0,0.9998459228556694
development,c2,4,40,"(1, 4)",1,2,1.4631427615275847e-07,0.0008497945964336395,0.00017217604909092188,0.01277727022362258,0.01277727022362258,0.0,0.9999183673508715
development,c2,4,54,"(2, 4)",4,2,1.5378059595311244e-05,0.0018447265028953552,0.008336227387189865,0.0601523297649185,1.0,180.0,0.9981892091301391
development,c2,4,70,"(2, 10)",10,2,0.0009124853479480777,0.01704990863800049,0.05351848900318146,0.0520722431650307,0.0520722431650307,0.0,0.9986433204561889
development,c2,4,136,"(6, 9)",9,2,6.348673737042489e-06,0.005375754088163376,0.0011809829156845808,0.05760831648895328,0.05760831648895328,0.0,0.9983392619101529
development,c2,4,140,"(7, 9)",9,2,0.00035166648993126964,0.049948886036872864,0.007040527183562517,0.16106478952083145,1.0,180.0,0.9869438350669252
development,c2,4,142,"(2, 10)",2,2,7.61447863929037e-05,0.0014047535369172692,0.05420508608222008,0.10365005649537516,1.0,180.0,0.9946138274669749
development,c2,4,150,"(2, 8)",8,2,8.441258691901498e-05,0.00694169569760561,0.01216022577136755,0.021749764884318012,0.021749764884318012,0.0,0.9997634458848137
development,c2,4,166,"(2, 6)",6,2,4.876806749832619e-05,0.002280304441228509,0.0213866475969553,0.056772884496345113,1.0,180.0,0.9983871191005845
development,c2,4,182,"(2, 4)",4,2,0.0006825698997743601,0.045313283801078796,0.015063351020216942,0.1721953711652711,1.0,180.0,0.9850628173620476
development,c2,4,186,"(8, 11)",8,2,2.502981937149793e-06,0.0001579036470502615,0.015851324424147606,0.022915946242456138,0.022915946242456138,0.0,0.9997373952232719
development,c2,4,232,"(5, 10)",5,2,2.5202496167168326e-06,0.00032469071447849274,0.007762000896036625,0.002326774293244996,1.0,180.0,0.9999972930570301
development,c2,6,5,"(0, 4)",4,2,0.0029766085264042452,0.02118024230003357,0.14053703844547272,0.07358662206867769,0.07358662206867769,0.0,0.9972888293029867
development,c2,6,15,"(4, 11)",11,2,0.0002751853868725451,0.01060718297958374,0.02594330534338951,0.33761965686550294,1.0,180.0,0.9412826181854312
development,c2,6,29,"(5, 6)",6,2,0.0010605217107163556,0.06457875669002533,0.016422145068645477,0.00522140722218058,0.00522140722218058,0.0,0.9999863683603992
development,c2,6,47,"(4, 7)",7,2,3.983302402889993e-05,0.004480394534766674,0.008890517055988312,0.037093336182738725,1.0,180.0,0.9993118053995131
development,c2,6,53,"(0, 6)",6,2,0.0005157858507365276,0.01566469669342041,0.032926641404628754,0.3669616632420422,1.0,180.0,0.9302360655826208
development,c2,6,79,"(3, 10)",3,2,2.7712378840444307e-06,0.004416059702634811,0.0006275363266468048,0.022473887395084477,0.022473887395084477,0.0,0.999747430296949
development,c2,6,87,"(1, 7)",7,2,1.2563624690771491e-05,0.008671227842569351,0.0014488864690065384,0.015664051518291092,0.015664051518291092,0.0,0.9998773112187477
development,c2,6,103,"(1, 5)",5,2,8.730426086789311e-07,0.0008555278182029724,0.0010204724967479706,0.007781105204540067,1.0,180.0,0.9999697267426628
development,c2,6,105,"(0, 4)",0,2,0.022068875438784552,0.08591839671134949,0.25685855746269226,0.02986835026016733,1.0,180.0,0.9995538412975741
development,c2,6,109,"(0, 8)",0,2,0.004903335996928604,0.03421276807785034,0.14331889152526855,0.12206084328959212,1.0,180.0,0.9925226196593373
development,c2,6,113,"(2, 11)",2,2,0.0002918325709076325,0.008143406361341476,0.03583667054772377,0.030554021930105608,0.030554021930105608,0.0,0.9995331168820245
development,c2,6,135,"(5, 7)",5,2,0.000181059546571459,0.0104202376678586,0.017375759780406952,0.029087988106562573,1.0,180.0,0.9995768549480887
development,c2,6,137,"(8, 10)",10,2,0.0008884692762405472,0.0345626138150692,0.025706078857183456,0.04622771889529397,1.0,180.0,0.9989309275449118
development,c2,6,143,"(3, 10)",3,2,0.010894634003459025,0.04940029978752136,0.22053781151771545,0.13707335086461525,0.13707335086461525,0.0,0.9905608999363675
development,c2,6,149,"(0, 2)",2,2,0.0006013168593694829,0.0091744065284729,0.06554286181926727,0.09096061637870304,1.0,180.0,0.9958544905095357
development,c2,6,159,"(4, 9)",9,2,0.001544126768913967,0.07497686892747879,0.020594708621501923,0.04403266719433286,1.0,180.0,0.9990300917488689
