partition,temperature_K,state,wait_index,wait_us,model,cut_mae,cut_rmse,true_closure,pred_closure,closure_abs_error,true_ara_x,pred_ara_x,true_class,pred_class,class_match,true_relation_plane_angle,pred_relation_plane_angle,phase_abs_error_rad
replication_0p1K,0.1,Phi-minus,7,125.89,ara,0.19345076233985395,0.2461149778525228,0.6649675385064422,0.7605140356745536,0.09554649716811137,1.3984854896528502,1.599428215634453,handover,crest,False,2.442348884999484,1.6584064311276747,0.7839424538718092
replication_0p1K,0.1,Phi-minus,8,251.19,ara,0.0838120442616385,0.09821022210512807,0.50168960805585,0.6118214525439907,0.11013184448814073,1.0550975747651998,1.2867145749142634,handover,handover,True,-2.5182793462144386,-2.775482327030539,0.25720298081610027
replication_0p1K,0.1,Phi-minus,9,501.18,ara,0.1461046913462875,0.1663175970561615,0.22138462366167647,0.3934955087280761,0.17211088506639963,0.4655914249866983,0.8275558239065073,trough,handover,False,2.73087386997213,0.9141078109571167,1.8167660590150136
replication_0p1K,0.1,Phi-minus,10,1000.0,ara,0.0925900040158312,0.12444148381443165,0.26763250103890507,0.16351950973635102,0.10411299130255405,0.5628547975485635,0.3438959774714167,handover,trough,False,-1.5289216624333144,1.9929823966972557,2.7612812480490163
replication_0p1K,0.1,Phi-minus,7,125.89,persistence,0.3421042637524373,0.4911930278746876,0.6649675385064422,0.8170686881627809,0.1521011496563387,1.3984854896528502,1.71836764695585,handover,crest,False,2.442348884999484,0.8192391059213873,1.6231097790780966
replication_0p1K,0.1,Phi-minus,8,251.19,persistence,0.4180749628145703,0.569873991778267,0.50168960805585,0.8170686881627809,0.31537908010693094,1.0550975747651998,1.71836764695585,handover,crest,False,-2.5182793462144386,0.8192391059213873,2.945666855043761
replication_0p1K,0.1,Phi-minus,9,501.18,persistence,0.29240372450148805,0.4037601042805089,0.22138462366167647,0.8170686881627809,0.5956840645011044,0.4655914249866983,1.71836764695585,trough,crest,False,2.73087386997213,0.8192391059213873,1.911634764050743
replication_0p1K,0.1,Phi-minus,10,1000.0,persistence,0.328102469548805,0.4448456129167013,0.26763250103890507,0.8170686881627809,0.5494361871238758,0.5628547975485635,1.71836764695585,handover,crest,False,-1.5289216624333144,0.8192391059213873,2.3481607683547017
replication_0p1K,0.1,Phi-minus,7,125.89,linear,0.34995635584843293,0.43644720717301244,0.6649675385064422,0.9170615573690831,0.25209401886264093,1.3984854896528502,1.9286614862128084,handover,crest,False,2.442348884999484,1.3748681726751,1.067480712324384
replication_0p1K,0.1,Phi-minus,8,251.19,linear,0.5930207095991938,0.7193045496001008,0.50168960805585,0.9660875624748713,0.4643979544190213,1.0550975747651998,2.031767506861705,handover,crest,False,-2.5182793462144386,2.1241785451609894,1.6407274158041585
replication_0p1K,0.1,Phi-minus,9,501.18,linear,0.7224744614581815,0.7725582279583301,0.22138462366167647,0.5928810477583436,0.37149642409666717,0.4655914249866983,1.246881230086075,trough,handover,False,2.73087386997213,2.178047221286068,0.5528266486860622
replication_0p1K,0.1,Phi-minus,10,1000.0,linear,1.0509988945988533,1.087471447170319,0.26763250103890507,1.3151197590698358,1.0474872580309307,0.5628547975485635,2.76581305659795,handover,crest,False,-1.5289216624333144,2.178047221286068,2.5762164234602043
replication_0p1K,0.1,Phi-minus,7,125.89,no_rotation,0.298114791341645,0.4485460484801671,0.6649675385064422,0.7612978844459268,0.09633034593948464,1.3984854896528502,1.6010767188611066,handover,crest,False,2.442348884999484,0.8192391059213873,1.6231097790780966
replication_0p1K,0.1,Phi-minus,8,251.19,no_rotation,0.31619107831267773,0.4274537561599177,0.50168960805585,0.6107079397020346,0.10901833164618469,1.0550975747651998,1.2843727590182346,handover,handover,True,-2.5182793462144386,0.8192391059213872,2.945666855043761
replication_0p1K,0.1,Phi-minus,9,501.18,no_rotation,0.14805867912979798,0.17038716175218438,0.22138462366167647,0.39342092315516164,0.17203629949348517,0.4655914249866983,0.8273989638563272,trough,handover,False,2.73087386997213,0.8192391059213873,1.911634764050743
replication_0p1K,0.1,Phi-minus,10,1000.0,no_rotation,0.08785302725672484,0.11973890733420163,0.26763250103890507,0.16360304838065942,0.10402945265824565,0.5628547975485635,0.3440716666218269,handover,trough,False,-1.5289216624333144,0.8192391059213872,2.3481607683547017
replication_0p1K,0.1,Phi-minus,7,125.89,zero,0.2948017088365927,0.39254456460128484,0.6649675385064422,0.0,0.6649675385064422,1.3984854896528502,0.0,handover,trough,False,2.442348884999484,0.0,2.442348884999484
replication_0p1K,0.1,Phi-minus,8,251.19,zero,0.23923342988962265,0.33293904601569685,0.50168960805585,0.0,0.50168960805585,1.0550975747651998,0.0,handover,trough,False,-2.5182793462144386,0.0,2.5182793462144386
replication_0p1K,0.1,Phi-minus,9,501.18,zero,0.15352020179020073,0.2750687516535438,0.22138462366167647,0.0,0.22138462366167647,0.4655914249866983,0.0,trough,trough,True,2.73087386997213,0.0,2.73087386997213
replication_0p1K,0.1,Phi-minus,10,1000.0,zero,0.1547668636723828,0.28861963106452165,0.26763250103890507,0.0,0.26763250103890507,0.5628547975485635,0.0,handover,trough,False,-1.5289216624333144,0.0,1.5289216624333144
replication_0p1K,0.1,Phi-plus,7,125.89,ara,0.14397237001627053,0.16550159357322353,0.7209957962587239,0.670850755948242,0.05014504031048195,1.5481666196137622,1.4404920978610491,crest,handover,False,-0.8142467616108445,-1.2726009212578868,0.4583541596470423
replication_0p1K,0.1,Phi-plus,8,251.19,ara,0.04720960093972234,0.05266912844228745,0.46059038638245525,0.4970313274135402,0.03644094103108497,0.9890080707994064,1.0672563057882754,handover,handover,True,0.67848113249333,0.7893025695893877,0.11082143709605775
replication_0p1K,0.1,Phi-plus,9,501.18,ara,0.09557545118968128,0.11671159621498962,0.20055839314060758,0.2710189195074937,0.0704605263668861,0.43065134520180004,0.5819485309658128,trough,handover,False,0.24461135922221922,-1.3801137537361672,1.6247251129583864
replication_0p1K,0.1,Phi-plus,10,1000.0,ara,0.05697425354240647,0.06995738540510496,0.13532707353495024,0.08160651544269298,0.05372055809225726,0.2905826345506823,0.17523054060364585,trough,trough,True,-1.9245800011271332,0.5451502551611602,2.4697302562882935
replication_0p1K,0.1,Phi-plus,7,125.89,persistence,0.3024184275466201,0.4393420035139623,0.7209957962587239,0.7895409609549393,0.06854516469621541,1.5481666196137622,1.695351022725772,crest,crest,True,-0.8142467616108445,-2.208705401502115,1.3944586398912704
replication_0p1K,0.1,Phi-plus,8,251.19,persistence,0.3874581115105368,0.5158274400366991,0.46059038638245525,0.7895409609549393,0.32895057457248406,0.9890080707994064,1.695351022725772,handover,crest,False,0.67848113249333,-2.208705401502115,2.887186533995445
replication_0p1K,0.1,Phi-plus,9,501.18,persistence,0.34203876404977573,0.4231008599678874,0.20055839314060758,0.7895409609549393,0.5889825678143317,0.43065134520180004,1.695351022725772,trough,crest,False,0.24461135922221922,-2.208705401502115,2.4533167607243342
replication_0p1K,0.1,Phi-plus,10,1000.0,persistence,0.25473955224404626,0.335879810144942,0.13532707353495024,0.7895409609549393,0.6542138874199891,0.2905826345506823,1.695351022725772,trough,crest,False,-1.9245800011271332,-2.208705401502115,0.2841254003749816
replication_0p1K,0.1,Phi-plus,7,125.89,linear,0.32427511895299177,0.3757503642862349,0.7209957962587239,0.9274145075119195,0.20641871125319555,1.5481666196137622,1.9914016011270437,crest,crest,True,-0.8142467616108445,-1.5659192674424343,0.7516725058315896
replication_0p1K,0.1,Phi-plus,8,251.19,linear,0.6760567987920951,0.783263502585679,0.46059038638245525,1.0227153359908112,0.562124949608356,0.9890080707994064,2.1960374148698643,handover,crest,False,0.67848113249333,-0.9427887317217074,1.6212698642150374
