entity,entity_type,s1,s2,s3,chsh_smax,retained_axes_at_0p50,purity,minimum_eigenvalue,trace_error,chsh_ci_low,chsh_ci_high
Phi-plus,physically_prepared,0.9747165746063512,0.9296265337371981,0.9080818624930219,2.6939026656808345,3,0.9120387415202905,8.742840940092346e-17,4.440892098500626e-16,2.5976468757900633,2.7301965054543245
Phi-minus,physically_prepared,0.9827263158660533,0.9097201109946302,0.8926096163039935,2.67831416547331,3,0.901590324296768,-6.933165884535704e-17,2.220446049250313e-16,2.5121424289842493,2.7349025188179903
Psi-plus,physically_prepared,0.9235593832902161,0.886992650468709,0.8106959678202248,2.5610293996351623,3,0.8270319531260311,-1.5527887398404836e-17,4.440892098500626e-16,2.5004844287708483,2.6084788424382954
Psi-minus,physically_prepared,0.9269942963430915,0.8717738019342042,0.830246420135352,2.5450406575859965,3,0.8351021024577361,-6.988725536216106e-18,6.661338147750939e-16,2.4751321811091214,2.6042623485614427
Phi-classical,equal_weight_reconstruction,0.9372604714313151,0.05951520291025368,0.03277020348296639,1.8782963032334379,1,0.4718194668452419,0.007875491672612521,1.1102230246251565e-16,1.784830897436809,1.9072538198055902
Psi-classical,equal_weight_reconstruction,0.8974256607832597,0.07567833667475875,0.05255902820301197,1.8012218378357825,1,0.45564922161257504,0.0192305799658518,6.661338147750939e-16,1.7464069282466785,1.8511512654333515
Bell-uniform-mixed,equal_weight_reconstruction,0.11722530032590618,0.02105105287446094,0.005957358900660639,0.23820090565421662,0,0.25422319180487685,0.21246684958699685,4.440892098500626e-16,0.1773255333605474,0.35210389362215916
