archive,family,low_landmark,high_landmark,pairs,seeds,temporal_tension,speed_tension
greedy,two_turn_7_5,0.2,1.8,11265,94,0.17517536675295403,0.28985186649639366
greedy,two_turn_7_5,0.205,1.795,11265,94,0.17591905309787886,0.2809066500882265
greedy,two_turn_7_5,0.21,1.79,11265,94,0.1772519665679724,0.27523794984154254
greedy,two_turn_7_5,0.215,1.785,11265,94,0.17732280439330714,0.27437738398147987
greedy,two_turn_7_5,0.22,1.78,11265,94,0.17837093096546836,0.2713457042330566
greedy,two_turn_7_5,0.225,1.775,11265,94,0.1787474135951953,0.26780735786530985
greedy,two_turn_7_5,0.23,1.77,11265,94,0.17890765107233458,0.26624584465086554
greedy,two_turn_7_5,0.235,1.7650000000000001,11265,94,0.17947669528478,0.25883769150731195
greedy,two_turn_7_5,0.24,1.76,11265,94,0.17976059642206765,0.25572370344734
greedy,two_turn_7_5,0.245,1.755,11265,94,0.18087758394674114,0.2531558931848831
greedy,two_turn_7_5,0.25,1.75,11265,94,0.18279355654646257,0.25072073951683527
greedy,two_turn_7_5,0.255,1.745,11265,94,0.1829435638782525,0.24635993523006247
greedy,two_turn_7_5,0.26,1.74,11265,94,0.1843247709652504,0.24440908302664113
greedy,two_turn_7_5,0.265,1.7349999999999999,11265,94,0.18506547691446762,0.24130234159099653
greedy,two_turn_7_5,0.27,1.73,11265,94,0.1852604295979411,0.2348201141636354
greedy,two_turn_7_5,0.275,1.725,11265,94,0.18655881541530014,0.23201953667222258
greedy,two_turn_7_5,0.28,1.72,11265,94,0.18767656160346258,0.23146261049497896
greedy,two_turn_7_5,0.285,1.715,11265,94,0.18884114183650244,0.23119815512687622
greedy,two_turn_7_5,0.29,1.71,11265,94,0.18995463205801721,0.22967432077049008
greedy,two_turn_7_5,0.295,1.705,11265,94,0.19082336354913398,0.22912753011877546
greedy,two_turn_7_5,0.3,1.7,11265,94,0.1913202260130021,0.22435212784974948
greedy,two_turn_7_5,0.305,1.695,11265,94,0.1920359678171975,0.21979571061322556
greedy,two_turn_7_5,0.31,1.69,11265,94,0.19331147324261685,0.21883110406784395
greedy,two_turn_7_5,0.315,1.685,11265,94,0.19385258780349424,0.2172318939509983
greedy,two_turn_7_5,0.32,1.68,11265,94,0.1942427391403595,0.2139051121317774
greedy,two_turn_7_5,0.325,1.675,11265,94,0.19463289047722465,0.21403313780050917
greedy,two_turn_7_5,0.33,1.67,11265,94,0.19502304181408991,0.21181799497593035
greedy,two_turn_7_5,0.3333333333333333,1.6666666666666667,11265,94,0.1952831427053333,0.2104478057866226
greedy,two_turn_7_5,0.335,1.665,11265,94,0.195413193150955,0.20967304664525294
greedy,two_turn_7_5,0.34,1.66,11265,94,0.19580334448782027,0.20891408040628595
greedy,two_turn_7_5,0.345,1.655,11265,94,0.19619349582468548,0.207204815479211
greedy,two_turn_7_5,0.35,1.65,11265,94,0.19838906189774047,0.20515124323705955
greedy,two_turn_7_5,0.355,1.645,11265,94,0.198731690577723,0.1960410412351865
greedy,two_turn_7_5,0.36,1.6400000000000001,11265,94,0.19882973852106395,0.19328147067424445
greedy,two_turn_7_5,0.365,1.635,11265,94,0.19881190424038853,0.18889774555845454
greedy,two_turn_7_5,0.37,1.63,11265,94,0.19855492319303758,0.18441558316790763
greedy,two_turn_7_5,0.375,1.625,11265,94,0.1994342657300464,0.17802747463267196
greedy,two_turn_7_5,0.38,1.62,11265,94,0.1996138532667503,0.17670174138466604
greedy,two_turn_7_5,0.3819660112501051,1.618033988749895,11265,94,0.19986593844546047,0.17677781883468488
greedy,two_turn_7_5,0.385,1.615,11265,94,0.20040844457063006,0.17670911757785257
greedy,two_turn_7_5,0.39,1.6099999999999999,11265,94,0.20130197812862433,0.1747419585355236
greedy,two_turn_7_5,0.395,1.605,11265,94,0.20182521959936867,0.1747419585355236
greedy,two_turn_7_5,0.4,1.6,11265,94,0.2022561376204295,0.17360087904984692
greedy,two_turn_7_5,0.405,1.595,11265,94,0.2026622026676156,0.17087977692973866
greedy,two_turn_7_5,0.41,1.59,11265,94,0.20302951608492098,0.17000065647390852
greedy,two_turn_7_5,0.415,1.585,11265,94,0.20337377114971786,0.16717764729890708
greedy,two_turn_7_5,0.42,1.58,11265,94,0.20441254927654723,0.16630438005960058
greedy,two_turn_7_5,0.425,1.575,11265,94,0.2054791849070828,0.1659431701601785
greedy,two_turn_7_5,0.43,1.57,11265,94,0.20652955969533365,0.16598682034726595
greedy,two_turn_7_5,0.435,1.565,11265,94,0.2073169415559779,0.16526523195170356
