split,branch,branch_index,seed,events,weight,trials,q28_fit_error,residual_fraction,residual_component_entropy,residual_largest_axis_share,residual_effective_dimension,child_weight_entropy,strongest_child_weight_share,positive_child_count,origin_exact_error,origin_seed_error,origin_time_error,origin_exact_is_local,origin_seed_is_local,origin_time_is_local,origin_exact_is_strongest_child,origin_seed_is_strongest_child,origin_time_is_strongest_child,origin_exact_shares_endpoint,origin_seed_shares_endpoint,origin_time_shares_endpoint,origin_exact_is_active,origin_seed_is_active,origin_time_is_active,optimal_exact_error,optimal_seed_error,optimal_time_error,path_partner_persistence,seed_path_partner_persistence,time_path_partner_persistence,path_flip_persistence,seed_path_flip_persistence,time_path_flip_persistence,path_adjacency_share,seed_path_adjacency_share,time_path_adjacency_share,path_self_return,seed_path_self_return,time_path_self_return,modal_partner_concentration,partner_entropy,source_endpoint_groups,seed_modal_partner_concentration,seed_partner_entropy,time_modal_partner_concentration,time_partner_entropy
development,c2,0,0,168,0.1763216234348697,1,0.12417748098741192,0.12417748098741153,0.1447520982175393,0.9645669514271248,1.078148404355822,0.0,1.0,1.0,0.8924998340709315,0.8996020896799507,0.9056987254026058,0.14398179523322857,1.037105190633501e-05,0.04113197612951645,0.14398179523322857,1.037105190633501e-05,0.04113197612951645,0.6727689344961328,0.4011623618615158,0.2666579273443213,0.12157057298595769,0.06013709982991867,0.10444065906937773,0.8568205320066087,0.8791213250180944,0.8647475739099695,0.5775406323577389,0.5509410674936017,0.5420234703239568,0.7952750044886647,0.7962619453878205,0.8529632938752862,0.9094963833844661,0.9358210375855606,0.8762402246546356,0.0018935905949204223,0.13410568550903687,0.17992753471561734,0.7875773018045507,0.3940980114137501,57,0.7875773018045507,0.3940509944328827,0.7880648191319463,0.3928353275203385
opened_later_half,c2,0,0,157,0.11940278972243912,1,0.10399226552341224,0.1039922655234022,0.12267123904875953,0.9715039472508626,1.0615711309723972,0.0,1.0,1.0,0.8927398381513116,0.9134511070800609,0.9075348545715434,0.08786948168684723,0.001426595007964087,0.0014686296631763313,0.08786948168684723,0.001426595007964087,0.0014686296631763313,0.5167670234879419,0.07551902854785161,0.054229528738903646,0.12755537100457556,0.06923463744908763,0.06612462113703861,0.840578938566736,0.8376835797754109,0.8222684646879792,0.5068070428341594,0.5073057745936896,0.4969706950150849,0.7550902502962216,0.8197271556131904,0.8067593098709257,0.9069612620936798,0.9063834882294528,0.9113334463486008,0.05204815854899442,0.005195258672355895,0.014705981569338797,0.8034604175669258,0.36528280657005235,59,0.7978157816865558,0.3618930296565363,0.7956473815875907,0.3690525411170698
development,c2,0,1,180,0.27805411013384335,1,0.11258731337030406,0.11258731337030452,0.19202705199471037,0.9516343472442703,1.1072093183162246,0.0,1.0,1.0,0.890047234607965,0.8969844273348877,0.8924007921963504,0.1268556799209831,0.006167869133829671,0.14320551312701932,0.1268556799209831,0.006167869133829671,0.14320551312701932,0.7995892616036848,0.4275224143005463,0.4172627474950523,0.19168002452867047,0.03912214638703872,0.18814061755146863,0.8520651940919761,0.870487887956791,0.7996993603558387,0.47688843612056736,0.5600290013448572,0.4488149627743158,0.7615901053581693,0.7917879022703367,0.7320729225102115,0.928891286568824,0.8942171563248494,0.9203304831961839,0.008315788155125061,0.01011525868848639,0.17529754128724567,0.8489972070468951,0.2921372463195605,66,0.8494737078052177,0.28243401687752945,0.847761582012186,0.28641554424174814
opened_later_half,c2,0,1,180,0.22292408417721618,1,0.10521591459912734,0.10521591459912794,0.2431468317472698,0.9334427008811871,1.1534077946093249,0.0,1.0,1.0,0.9166904657980216,0.8889569039768123,0.9147116769548527,0.03202438188300841,0.023407134713106428,0.05398218338570739,0.03202438188300841,0.023407134713106428,0.05398218338570739,0.5268399760435315,0.11535728197113539,0.12492513653081184,0.04878822814093518,0.10210193203649594,0.07148444046706678,0.8920968185553453,0.7951557137325199,0.8399956290835724,0.46019795739943914,0.5264132056336792,0.41515101064839105,0.7946605634817258,0.7975400663636294,0.7586248180398342,0.8040786041543245,0.802333159865302,0.8296336608999415,0.003089725673615047,0.04140301822073259,0.06307574965167523,0.7414193314605956,0.440477175022239,64,0.7264497999560889,0.47195894059034743,0.7352366211367459,0.4616766191306365
development,c2,0,2,160,0.1716031149785846,1,0.11307594702923236,0.11307594702923048,0.23615223141647226,0.9348949685291273,1.150306518635138,0.0,1.0,1.0,0.8719336673541481,0.8825448860869574,0.859057103310914,0.3909543561146351,0.0001600768335599744,0.2272570836004821,0.3909543561146351,0.0001600768335599744,0.2272570836004821,0.6073915525092365,0.07544717308417023,0.2926602696888827,0.32848676099099583,0.0037522988273715496,0.3976325128173195,0.8431330364857168,0.855520050197752,0.8381336111517248,0.5177386488415204,0.596326877872868,0.5848018563053012,0.7575846127768977,0.8303071559898928,0.8567193353171966,0.9144736907877022,0.9668824895805052,0.9534001992531006,0.01945607976026567,0.0018960715183133107,0.02964886855212015,0.8106825050420738,0.338590684827541,57,0.8100842384721825,0.3343265098246877,0.8103363123900074,0.3372716077539722
opened_later_half,c2,0,2,176,0.21266914819187271,1,0.1031339470623082,0.1031339470623083,0.2172124482603514,0.943607673135533,1.1262166753850598,0.0,1.0,1.0,0.885128204162038,0.8766054438786903,0.8754701512757093,0.34951458076222036,0.007448537159500828,0.03728550359718156,0.34951458076222036,0.007448537159500828,0.03728550359718156,0.6304784845076715,0.06743195357922148,0.10527329356264815,0.2866208657010681,0.026025828928910876,0.086919147600938,0.8495123240243403,0.7028115179062594,0.7573477011284301,0.46875708838512953,0.5557028422476769,0.5183678460486881,0.817524615239573,0.8607477239734138,0.8330774423097286,0.8556249396195341,0.8774597892788577,0.8562982111802994,0.026175153165940827,0.0481306040302167,0.016024177107354796,0.801814850689323,0.36613014822696,57,0.8019131764707943,0.37717480131980907,0.801814850689323,0.3651212028711392
development,c2,0,3,186,0.24954093985059908,1,0.07496261707017536,0.07496261707017284,0.21432116813569999,0.9456316563665524,1.1200535827170308,0.0,1.0,1.0,0.8884627419508287,0.8819810637354673,0.8796905249935582,0.2906440434479841,0.02509336457712647,0.06274556869892572,0.2906440434479841,0.02509336457712647,0.06274556869892572,0.579758851411108,0.30034429436765814,0.15252273947883369,0.3072040845749487,0.10079713437827098,0.1712831599350487,0.8688298297347427,0.8279850749227179,0.8582656508861347,0.5287275889342641,0.5149672010239007,0.5435040087052765,0.8356850278697278,0.8267125503405063,0.8349356376399825,0.965049538398407,0.91294387572481,0.9758511539117262,0.027413035661801723,0.10921989743654696,0.057214361409376226,0.7196825751805772,0.4715448919882952,64,0.7164086051748957,0.47337872168434847,0.7164953345429926,0.47951013372157025
opened_later_half,c2,0,3,235,0.23831206272117939,1,0.10013546595437171,0.10013546595437256,0.15748664585495212,0.961418577578824,1.0844665037330041,0.0,1.0,1.0,0.9194375049847645,0.87446229562158,0.9044232218486078,0.029727272749910952,0.0048218388810386354,0.014638559311166211,0.029727272749910952,0.0048218388810386354,0.014638559311166211,0.5209040818379509,0.08986637599269237,0.25733298827279905,0.030123338759896656,0.10542669953863094,0.0686310359603175,0.8155055855362181,0.7024185944725815,0.8201719313060207,0.48915607081955387,0.5505910670620489,0.4962262450113667,0.8064203103504763,0.8168927338914754,0.7692126295923741,0.861353545658093,0.848213564735697,0.8803676815028012,0.029717280754319824,0.04057651682957619,0.0351970233123737,0.6660089721770092,0.5524517154104843,68,0.6462149264723217,0.5713520715790024,0.6512250499888933,0.5536722313322948
development,c2,0,4,201,0.22120729114885154,1,0.1269544980724609,0.12695449807246142,0.1812619742432408,0.9517021778678764,1.1120942865773031,0.0,1.0,1.0,0.8961402923179035,0.8984476077973531,0.9003326226694265,0.24205774264369875,0.0038018576081679293,0.00010076867007209301,0.24205774264369875,0.0038018576081679293,0.00010076867007209301,0.6447292255744367,0.36479063112652116,0.17983781207281355,0.11706648171320387,0.03428174857296607,0.05121979261689944,0.864397777729092,0.880054683764851,0.8611679967530823,0.5210304555076737,0.6307926604947286,0.6002943191140213,0.7800655906533263,0.8124682972693902,0.8950594089156025,0.9543344646086278,0.9441277675757506,0.9303457513153891,0.1647163268889632,0.1544633645540943,0.02090353613191438,0.802960717950756,0.33036622566350804,55,0.8024471382653542,0.32124164613637746,0.8035890976146266,0.32287497644644525
opened_later_half,c2,0,4,165,0.17480433643484633,1,0.0888219870688884,0.08882198706888854,0.2201372408349307,0.9421802828486128,1.1296672285849958,0.0,1.0,1.0,0.9203175667129084,0.9237801305719552,0.8917332675637752,0.09320669858766131,0.0002889598966973956,0.0058564874035308915,0.09320669858766131,0.0002889598966973956,0.0058564874035308915,0.431405253270623,0.11225168224331869,0.0959611030988597,0.017392882927981464,0.028112797345578713,0.12960685454509854,0.8422381851811116,0.8394907256715242,0.8267574485142525,0.48654097357281406,0.4287703581319059,0.46418543177022753,0.8020104725029533,0.7856969482103204,0.7973665180729419,0.8038083220256107,0.8670991440171891,0.8010151694138835,0.0009539817519498663,0.033740813153272396,0.12334652865568764,0.8234531770434367,0.37600427008312187,56,0.8116694051298009,0.41719642987775024,0.8191424943016258,0.39590491811486783
