branch,branch_label,exact_flow_mean,exact_positive_fraction,n_events,seed,seed_flow_mean,seed_positive_fraction,sibling_flow_mean,sibling_positive_fraction,time_flow_mean,time_positive_fraction,topology_flow_mean,topology_positive_fraction
0,c2,0.039493095755577086,0.6521739130434783,46,0,0.0266447335011717,0.6744186046511628,-0.02685741293366352,0.5652173913043478,0.02138551270539818,0.627906976744186,0.028254282035494516,0.5217391304347826
0,c2,0.09209048176139258,0.6557377049180327,61,1,0.010515098239170823,0.5272727272727272,0.044830792705618676,0.6229508196721312,0.02502313575890416,0.631578947368421,-0.0029534002932782035,0.4918032786885246
0,c2,-0.0022168229361678995,0.5333333333333333,60,2,0.05510426782164902,0.7068965517241379,0.054774180051654735,0.5833333333333334,0.026122589587294923,0.6101694915254238,0.007705055756949805,0.5166666666666667
0,c2,0.05685571058295462,0.62,50,3,0.011699731379296476,0.425531914893617,0.046874826912760105,0.6,0.03550935669436727,0.7446808510638298,0.011584770815170392,0.52
0,c2,0.03808154299338676,0.6274509803921569,51,4,0.028605075618179904,0.6,0.05888442535398691,0.6078431372549019,0.03678566750618223,0.6,0.01079304062907333,0.45098039215686275
0,c2,0.043744024696805835,0.6363636363636364,55,5,0.008167415063915426,0.5555555555555556,0.07293144417348278,0.6363636363636364,0.02642664872924935,0.6226415094339622,0.011520278657479526,0.5636363636363636
0,c2,0.03928877165258854,0.6,45,6,0.03403251607637177,0.5813953488372093,0.015041038440735363,0.5111111111111111,0.01853637362190754,0.5909090909090909,-0.013419183510078854,0.3333333333333333
0,c2,0.026115125777898703,0.5555555555555556,63,7,0.040053585741309565,0.6440677966101694,0.04611990752604649,0.5714285714285714,0.010134719088965956,0.5409836065573771,0.010254448732481512,0.5079365079365079
0,c2,0.0976377667375089,0.7413793103448276,58,8,0.022142699481333676,0.5714285714285714,-0.04350868768362665,0.5,0.048639760536016374,0.5614035087719298,0.003444889993315212,0.5517241379310345
0,c2,0.04842855616170681,0.6129032258064516,62,9,0.017952247385878823,0.6379310344827587,0.09175850327949256,0.6290322580645161,0.004991683516624684,0.5535714285714286,0.010072581623456077,0.5483870967741935
0,c2,0.08852856789724356,0.7037037037037037,54,10,0.014604314414219471,0.5471698113207547,-0.028682305541305072,0.5925925925925926,0.001489914906232537,0.5185185185185185,0.01610027222679158,0.4444444444444444
0,c2,0.029543724601003667,0.625,56,11,0.024073752919692874,0.6078431372549019,0.0007758716595935618,0.375,-0.013935224606403033,0.5283018867924528,0.010577701453443002,0.5357142857142857
0,c2,0.04410523774488144,0.6290322580645161,62,12,-0.0053672946983365655,0.559322033898305,0.04345807805321656,0.532258064516129,-0.0017374194052692698,0.45,0.0037486199399838142,0.5
0,c2,0.05233762125472908,0.6481481481481481,54,13,0.004764735035847596,0.4117647058823529,-0.007435738948102459,0.5370370370370371,-0.005516609313834828,0.5,0.024289431890221487,0.5
0,c2,0.00812191961049369,0.603448275862069,58,14,0.011384832103914366,0.5,0.021083465237821567,0.5689655172413793,0.01165760349958921,0.5357142857142857,0.013411174229675167,0.6206896551724138
0,c2,0.08202681672680984,0.6610169491525424,59,15,-0.0006086624901687704,0.49122807017543857,0.02655151126437171,0.5084745762711864,0.04421552746214812,0.625,0.004893738241525405,0.4067796610169492
0,c2,0.06400724122807573,0.7121212121212122,66,16,0.020895039446965857,0.5238095238095238,0.08903996005458471,0.5757575757575758,0.03225089583751523,0.5166666666666667,0.02801705653387501,0.6060606060606061
0,c2,0.06285564240438056,0.6170212765957447,94,17,0.002843681570302696,0.5617977528089888,0.0207918497987935,0.5425531914893617,0.04979202386410107,0.6153846153846154,0.010974640845290175,0.5531914893617021
0,c2,0.05776832415187219,0.7241379310344828,58,18,0.016439060838442123,0.6226415094339622,0.09591392848660042,0.6896551724137931,0.002342435382212459,0.46153846153846156,0.02225469311595163,0.5517241379310345
0,c2,0.034687816611246036,0.6666666666666666,48,19,0.02281889972854197,0.5111111111111111,0.028922671879883257,0.6041666666666666,0.0113419893618155,0.5,0.0157045907246423,0.4166666666666667
0,c2,0.10430431426874831,0.6774193548387096,62,20,0.032601393559272905,0.5666666666666667,-0.034860399926837336,0.46774193548387094,0.020532938228521116,0.5967741935483871,0.015698158370280813,0.5483870967741935
0,c2,0.06991535612098164,0.7,60,21,-0.0010775160421474697,0.3898305084745763,0.023229451048722878,0.5166666666666667,0.018611015981660418,0.576271186440678,0.008019647228371833,0.5333333333333333
0,c2,0.012365298574168517,0.5714285714285714,70,22,0.016469154525168183,0.5,-0.02967307507222671,0.5857142857142857,0.049266786843933444,0.5970149253731343,0.034903667467261486,0.5857142857142857
0,c2,0.04607744849409685,0.6666666666666666,45,23,0.027970315978217204,0.6904761904761905,0.0739930304997714,0.6888888888888889,0.031277177106495226,0.5,0.004021593945139777,0.4222222222222222
0,c2,0.008588427874581476,0.5873015873015873,63,24,0.0387522341332441,0.603448275862069,-0.07177317413153149,0.38095238095238093,0.02118250560620606,0.5344827586206896,0.0031909416426977462,0.4603174603174603
