permutation_index,cut_mae
0,0.19122779839178308
1,0.1956521824387508
2,0.2032306636602673
3,0.21069076950725338
4,0.21605504914411772
5,0.19687829863616976
6,0.19542838640292226
7,0.20184313438291882
8,0.21170369063678818
9,0.17935654930242492
10,0.1865724652483107
11,0.2217994327421121
12,0.19947575694507041
13,0.21437803052158644
14,0.21637091953481405
15,0.1831550426356344
16,0.2215652787665114
17,0.2156263203709892
18,0.19963662826281534
19,0.18284384123930889
20,0.21401211855257848
21,0.196557076474083
22,0.1987304980910191
23,0.1898329567813022
24,0.1947706689142808
25,0.18644943505768397
26,0.21810855440459542
27,0.19955117950844173
28,0.1903494507903147
29,0.21746070547674443
30,0.20306533080211986
31,0.18040748987136696
32,0.1729214292236311
33,0.20650717027030843
34,0.20646696284391694
35,0.17953764884181797
36,0.1880637425279799
37,0.22339426671176046
38,0.20220084661309304
39,0.1873240562272169
40,0.21150154851817815
41,0.1904100026612465
42,0.2112107132105742
43,0.2037937404809357
44,0.18986581942522307
45,0.20210679180116292
46,0.1846431606250158
47,0.21330008613497595
48,0.1859590923658899
49,0.20226199109270934
50,0.18762031057156442
51,0.19743077764253375
52,0.19075223170889063
53,0.19852065026700222
54,0.2026381561297363
55,0.19923813905234355
56,0.17090712371992098
57,0.19200243592012345
58,0.1999877656752989
59,0.21990823301530843
60,0.17067473370393874
61,0.19831368128809068
62,0.19139094178795224
63,0.19421508770793447
64,0.20579396458664442
65,0.21581014871527443
66,0.20755009676998115
67,0.17099224118296966
68,0.19206072376889
69,0.1907105788500844
70,0.203124453348761
71,0.2036372722054331
72,0.19075866711181988
73,0.1785553918623088
74,0.18721289909575356
75,0.20133198759057336
76,0.19115786945706142
77,0.19483985582241722
78,0.19722846170509079
79,0.21149574643623564
80,0.20547000022032919
81,0.19807837579426962
82,0.16921333008290634
83,0.20559956287088774
84,0.18318273099535853
85,0.17431758062476355
86,0.1902397886476589
87,0.18638218118378344
88,0.17335712576971501
89,0.22338096693517914
90,0.20392305721082288
91,0.17938908726448013
92,0.20179891801638852
93,0.20973087215351854
94,0.20701714448095804
95,0.20382533351760612
96,0.19994703624758325
97,0.20349285592269437
98,0.20694621965611626
99,0.2112392928751205
100,0.20890101465836414
101,0.20759856320707656
102,0.19949295681682577
103,0.1989861549270669
104,0.19862697844820676
105,0.21179569910240245
106,0.1947425296844418
107,0.19338455863789783
108,0.20910076116439036
109,0.20750730613815066
110,0.19729904744519916
111,0.17218527491005636
112,0.22116338944497171
113,0.2024158527607113
114,0.1941519372261595
115,0.18365871404485057
116,0.19240472206497214
117,0.1954312492062921
118,0.20670336651548923
119,0.18984352435460644
120,0.21491858841871547
121,0.1910819212098606
122,0.20638523485213578
123,0.22279002942841447
124,0.20197821621436182
125,0.2040948079790717
126,0.20713771793400282
127,0.19660618998540155
128,0.20871695051316277
129,0.21473866503659117
130,0.21220073858332814
131,0.19178879280707553
132,0.2046423757100973
133,0.2009165525013956
134,0.18865691384910532
135,0.19314993679306777
136,0.20146891904567285
137,0.20041234214691575
138,0.2039262393471539
139,0.1941955617121956
140,0.19013949332302618
141,0.1958375392972663
142,0.21337788959825932
143,0.1979330731287488
144,0.17715735853502193
145,0.21540811308468194
146,0.21241629325647085
147,0.197646540535497
148,0.202320967172368
149,0.19129479285013426
150,0.202890050375201
151,0.19939552338632843
152,0.1997335242959905
153,0.21152972803824518
154,0.20072818633145814
155,0.2043493880695667
