cohort,local_rate_upcrossing_A,time_shadow_minimum_A,time_shadow_minimum,crossing_minus_shadow_minimum_A
development,1.4550870627784858,1.3,-0.25690537084398996,0.15508706277848572
holdout,1.4040062983501065,1.35,-0.2959741980851392,0.054006298350106396
external,1.453249714937292,1.55,-0.3412087912087921,-0.096750285062708
