cohort,grid_A,metric,median,q25,q75,n
development,0.05,local_time_ara,0.8036529680365283,0.7978660879786594,0.8790992112909914,3
development,0.05,local_time_rate,0.6717557251908377,0.6637467150544342,0.7923996017258537,3
development,0.05,log_rpl13a_concentration_change,-0.021902731336355286,-0.08831215561557214,0.0663900534396046,3
development,0.05,log_rpl13a_total_change,0.027958653025569647,-0.079530766120984,0.12685249243729907,3
development,0.05,log_size_change,0.049861384361924714,0.008781389494588072,0.06046243899769424,3
development,0.1,local_time_ara,0.8528280995612465,0.7648532943510487,0.9192630357103782,56
development,0.1,local_time_rate,0.7445760233918132,0.6192409451692354,0.8519474196689403,56
development,0.1,log_rpl13a_concentration_change,-0.0627438472627569,-0.14295897827014423,0.031115181851388986,56
development,0.1,log_rpl13a_total_change,-0.024014762379876153,-0.15589998418549236,0.11440337787758867,56
development,0.1,log_size_change,0.05259120281679468,-0.028408299685364607,0.10926038886786266,56
development,0.15,local_time_ara,0.8104086845466174,0.7227236875931282,0.8957098422214709,75
development,0.15,local_time_rate,0.6857142857142867,0.5712667994026874,0.8218152322404382,75
development,0.15,log_rpl13a_concentration_change,-0.04817502258052597,-0.14414443271036637,-0.0008277359423920338,75
development,0.15,log_rpl13a_total_change,-0.019916817091442524,-0.1247329090290119,0.06727594847223264,75
development,0.15,log_size_change,0.03317732152375741,-0.010663224088491692,0.09446916098196502,75
development,0.2,local_time_ara,0.8098498498498499,0.7258312020460359,0.9056439444370483,86
development,0.2,local_time_rate,0.6813852813852801,0.5723972602739729,0.829918032786886,86
development,0.2,log_rpl13a_concentration_change,-0.04448003862989965,-0.13949616396429212,0.02097484258839345,86
development,0.2,log_rpl13a_total_change,-0.015235014746140939,-0.10732021763512592,0.07572027097633309,86
development,0.2,log_size_change,0.04122943137109132,-0.013384073060525154,0.09366362024527689,86
development,0.25,local_time_ara,0.816326530612246,0.715372922632995,0.9049959049959051,91
development,0.25,local_time_rate,0.6896551724137946,0.5573624681393374,0.8289262820512827,91
development,0.25,log_rpl13a_concentration_change,-0.034470472025543375,-0.10688406424121226,0.027031566821437068,91
development,0.25,log_rpl13a_total_change,0.0019367769360354795,-0.07826265865417234,0.10214015721452525,91
development,0.25,log_size_change,0.049489516774289845,-0.024712116761367427,0.09593780130842063,91
development,0.3,local_time_ara,0.8355555555555562,0.7147041524336728,0.9096193584083281,91
development,0.3,local_time_rate,0.7265060240963839,0.5685178989628624,0.8425369198312236,91
development,0.3,log_rpl13a_concentration_change,-0.03520478378009488,-0.12609138846344076,0.019475544347649358,91
development,0.3,log_rpl13a_total_change,-0.004930504384882156,-0.0949049438972226,0.08471937078873754,91
development,0.3,log_size_change,0.04376044752945216,-0.02052782984453432,0.09384158959273492,91
development,0.35,local_time_ara,0.8427141268075653,0.7403781979977749,0.9124722838137481,93
development,0.35,local_time_rate,0.732278481012658,0.5894736842105259,0.8436363636363651,93
development,0.35,log_rpl13a_concentration_change,-0.04604508367954838,-0.11461420707618118,0.014973615558413707,93
development,0.35,log_rpl13a_total_change,-0.022138305925964392,-0.09946436263512919,0.05411436184244095,93
development,0.35,log_size_change,0.037243393572302996,-0.014741087320705098,0.09018984686470562,93
development,0.4,local_time_ara,0.8499999999999985,0.7192551840880247,0.9278350515463897,93
development,0.4,local_time_rate,0.7428571428571407,0.5628865979381455,0.8727272727272744,93
development,0.4,log_rpl13a_concentration_change,-0.058982664665999746,-0.1222577255651655,-0.0036934171609807123,93
development,0.4,log_rpl13a_total_change,-0.029070270878630122,-0.09446679487854741,0.076116552441857,93
development,0.4,log_size_change,0.0355508916353582,-0.009670579910723436,0.09686176204333294,93
development,0.45,local_time_ara,0.8690489042426869,0.73997668997669,0.9320388349514572,93
development,0.45,local_time_rate,0.7731958762886614,0.6034351145038156,0.8727272727272744,93
development,0.45,log_rpl13a_concentration_change,-0.04896123458970222,-0.13043595798982532,0.005927370051491927,93
development,0.45,log_rpl13a_total_change,-0.005411347031702429,-0.10471613389438322,0.0479638022870829,93
development,0.45,log_size_change,0.040330050303760925,-0.010388678606886293,0.08898949135936474,93
development,0.5,local_time_ara,0.877699886932645,0.7521224230391936,0.9428396899645117,94
development,0.5,local_time_rate,0.7841614906832302,0.6086288310762646,0.892546487603306,94
development,0.5,log_rpl13a_concentration_change,-0.06205127940740833,-0.13739244096148662,0.0006479985195735269,94
development,0.5,log_rpl13a_total_change,-0.020865663333543595,-0.12203852867540288,0.06125644086955772,94
development,0.5,log_size_change,0.05182634626023815,-0.029208954287938613,0.10212358929254936,94
development,0.55,local_time_ara,0.8789962711657202,0.7530678656597766,0.9570122095499493,94
development,0.55,local_time_rate,0.7844360902255634,0.6040489130434772,0.9227921195652136,94
development,0.55,log_rpl13a_concentration_change,-0.05526360797641292,-0.13394344507512207,0.004682499609171902,94
development,0.55,log_rpl13a_total_change,-0.027013015473105445,-0.10210106081401792,0.0581316436194448,94
development,0.55,log_size_change,0.04733654365569578,-0.02785021067567398,0.09886591391687195,94
development,0.6,local_time_ara,0.8846343936506469,0.7699861831803805,0.9566034549314812,94
development,0.6,local_time_rate,0.7950483091787437,0.631600695954763,0.9195483314154183,94
development,0.6,log_rpl13a_concentration_change,-0.0438901808924807,-0.12897735325861714,0.018205184943342688,94
development,0.6,log_rpl13a_total_change,-0.022787066668525167,-0.09924558254395065,0.06663468057251642,94
development,0.6,log_size_change,0.04018502615282207,-0.010733555481633336,0.1055412322647062,94
development,0.65,local_time_ara,0.8884933877147452,0.7846129966887415,0.9372641941391961,94
development,0.65,local_time_rate,0.8098360655737793,0.6616107576633896,0.8837461300309604,94
development,0.65,log_rpl13a_concentration_change,-0.03699735698918623,-0.13028954038047444,0.016040809244201877,94
development,0.65,log_rpl13a_total_change,-0.004270518802539931,-0.08595700545390167,0.06419977530372561,94
development,0.65,log_size_change,0.04160801798649143,-0.005572809701951481,0.09891344286813789,94
