cohort,cells,median_observed_g1,min_observed_g1,max_observed_g1,median_lifespan_hours,min_lifespan_hours,max_lifespan_hours,median_mean_interval_hours,median_late_minus_early_rate,late_minus_early_bootstrap_q025,late_minus_early_bootstrap_q975
development,94,12.0,3,23,31.6666666666667,6.33333333333333,53.6666666666667,2.5898692810457513,0.6649122807017537,0.4783147747139185,0.8235294117646966
external,119,16.0,6,33,26.6666666666667,5.33333333333333,88.6666666666667,1.6969696969696955,0.7714285714285696,0.6967213114754089,0.8653846153846119
holdout,12,12.5,6,18,32.0,11.0,50.0,3.0,0.7130325814536318,0.5095143884892064,0.8200000000000001
