metric,comparison,correlation,rmse,mae,sign_agreement,grid_points
time_shadow,development_vs_holdout,0.9850635614835968,0.03287126372687227,0.02685862426964129,1.0,37
time_shadow,development_vs_external,0.9847546471263845,0.05155664814665893,0.04259517057701244,1.0,37
local_time_rate,development_vs_holdout,0.9810827676710636,0.09528500539129753,0.05909876276254552,1.0,37
local_time_rate,development_vs_external,0.9902453050589014,0.09306887162639561,0.07274254558955272,1.0,37
