dataset,cohort,experiment,cell_id,observed_g1_count,observed_division_intervals,lifespan_hours_observed,mean_division_interval_hours,start_size_um2,end_size_um2,size_fold_end,start_rpl13a_concentration,end_rpl13a_concentration,rpl13a_concentration_fold_end,rpl13a_total_fold_end,shadow_min,shadow_min_A,shadow_max,shadow_max_A,late_minus_early_rate
Rpl13A cohort,development,Experiment_7,cell_2.1,19,18,43.3333333333333,2.4074074074074057,17.472,50.101,2.8675022893772892,121.112336106277,103.618190267059,0.8555543852785835,2.4533041584731174,-0.3128205128205135,1.6666666666666667,0.042735042735042694,0.1111111111111111,0.5076923076923058
Rpl13A cohort,development,Experiment_7,cell_2.2,14,13,28.0,2.1538461538461537,20.593,35.163,1.707521973486136,99.6182267131962,76.940529015681,0.7723539311455025,1.3188113087393436,-0.0805860805860808,0.46153846153846156,0.0,0.0,0.23214285714286076
Rpl13A cohort,development,Experiment_7,cell_2.3,9,8,39.3333333333333,4.9166666666666625,16.102,37.824,2.3490249658427524,94.9276088600559,44.2820566555202,0.4664823773324119,1.0957787504795147,-0.7372881355932197,1.5,0.0,0.0,1.4237288135593231
Rpl13A cohort,development,Experiment_7,cell_2.4,11,10,24.3333333333333,2.43333333333333,18.808,46.197,2.4562420246703534,115.588924018916,105.949831892192,0.9166088601608007,2.2514132025121496,-0.4054794520547932,1.2,0.0,0.0,1.0958904109589054
Rpl13A cohort,development,Experiment_7,cell_2.5,10,9,35.3333333333333,3.925925925925922,20.179,37.559,1.8612914415977007,86.5240407832275,40.1180854844147,0.4636640304967299,0.8630138917402586,-0.7442348008385755,1.5555555555555556,0.0,0.0,1.5283018867924516
Rpl13A cohort,development,Experiment_7,cell_2.6,10,9,29.3333333333333,3.2592592592592555,19.591,42.822,2.185799601857996,109.174403877869,50.2719792985941,0.4604740443999333,1.0065039829153155,-0.6186868686868672,1.7777777777777777,0.0,0.0,1.15909090909091
Rpl13A cohort,development,Experiment_7,cell_2.7,18,17,41.3333333333333,2.431372549019606,15.249,53.971,3.5393140533805494,105.527967854507,101.743947663347,0.964142015921532,3.4124013864057314,-0.361480075901327,1.7647058823529411,0.0,0.0,0.5940860215053722
Rpl13A cohort,development,Experiment_7,cell_2.8,12,11,24.3333333333333,2.2121212121212093,15.86,32.042,2.020302648171501,101.769459959363,106.923854907928,1.0506477576929578,2.1226264471625322,-0.18679950186799366,1.0909090909090908,0.0,0.0,0.3390410958904082
Rpl13A cohort,development,Experiment_7,cell_2.9,8,7,16.0,2.2857142857142856,14.639,23.692,1.618416558508095,120.461772557881,111.668230813387,0.927001391746342,1.500274402162329,-0.1904761904761908,0.8571428571428571,0.0,0.0,0.5104166666666659
Rpl13A cohort,development,Experiment_7,cell_2.10,19,18,44.0,2.4444444444444446,17.392,33.539,1.9284153633854648,95.0998168581608,71.2421754699274,0.7491305222615041,1.4446348083100615,-0.23232323232323393,1.1111111111111112,0.04040404040404025,0.1111111111111111,0.4090909090909093
Rpl13A cohort,development,Experiment_7,cell_2.11,17,16,39.3333333333333,2.4583333333333313,16.862,39.528,2.344205906772625,114.49007298339,100.311614472761,0.8761599312397506,2.0538992860897203,-0.12711864406779644,0.5,0.0,0.0,0.3525423728813535
Rpl13A cohort,development,Experiment_7,cell_2.12,13,12,35.6666666666667,2.972222222222225,22.482,47.234,2.1009696646205853,112.359796266093,100.048291131744,0.8904278439132034,1.870761888595154,-0.341121495327102,1.5,0.0,0.0,0.7850467289719674
Rpl13A cohort,development,Experiment_7,cell_2.13,7,6,15.3333333333333,2.55555555555555,19.822,26.421,1.3329129250327918,88.5996482947764,102.202257838197,1.1535289338639798,1.5375536253465953,-0.10144927536231552,1.6666666666666667,0.05797101449275449,0.3333333333333333,0.06521739130434145
Rpl13A cohort,development,Experiment_7,cell_2.14,14,13,26.0,2.0,20.801,26.778,1.2873419547137157,91.6419895946278,92.6916383449809,1.0114537970530337,1.3020869082008624,-0.0769230769230771,1.5384615384615385,0.0,0.0,0.08333333333333748
Rpl13A cohort,development,Experiment_7,cell_2.15,10,9,23.0,2.5555555555555554,17.115,35.221,2.0579024247735904,111.511512423577,93.3549580413846,0.8371777587122606,1.722830139620481,-0.16425120772946866,1.5555555555555556,0.0,0.0,0.17391304347826042
Rpl13A cohort,development,Experiment_7,cell_2.16,11,10,22.0,2.2,19.879,35.612,1.7914382011167564,94.9749888383705,91.3659101056027,0.9619996930043363,1.7233629995105602,-0.1757575757575729,1.6,0.0,0.0,0.40404040404040464
Rpl13A cohort,development,Experiment_7,cell_2.17,14,13,26.3333333333333,2.025641025641023,20.064,31.328,1.5614035087719298,91.3932447084765,82.9541416479121,0.9076616320223315,1.4172260570173247,-0.1713729308666001,1.5384615384615385,0.0,0.0,0.37025316455696256
Rpl13A cohort,development,Experiment_7,cell_2.18,12,11,40.6666666666667,3.6969696969697,20.34,46.957,2.3086037364798426,105.041411923354,99.4587748630992,0.9468529891398612,2.185908348625391,-0.6527570789865881,1.6363636363636365,0.0,0.0,1.1946721311475401
Rpl13A cohort,development,Experiment_7,cell_2.19,13,12,31.6666666666667,2.6388888888888915,21.273,41.947,1.9718422413387864,92.6296799118003,81.2019936037029,0.8766304027070098,1.728576858099513,-0.30000000000000115,1.5,0.0,0.0,0.6631578947368415
Rpl13A cohort,development,Experiment_7,cell_2.20,18,17,33.3333333333333,1.9607843137254883,16.562,39.125,2.362335466731071,128.989257501071,113.008537507631,0.8761081325450121,2.0696613142026083,-0.14705882352941013,1.6470588235294117,0.0,0.0,0.3400000000000004
Rpl13A cohort,development,Experiment_7,cell_2.21,15,14,32.0,2.2857142857142856,25.258,27.17,1.0756987885026528,96.0455941175935,68.9424242148135,0.7178093367864827,0.7721466339571121,-0.11904761904761707,1.2857142857142858,0.0029761904761902713,0.14285714285714285,0.26250000000000007
Rpl13A cohort,development,Experiment_7,cell_2.22,7,6,14.6666666666667,2.44444444444445,19.119,36.326,1.8999947696009205,91.8305983544569,99.2309865058177,1.0805873889963784,2.053110387189834,-0.13636363636363869,1.0,0.15151515151514272,1.6666666666666667,0.20454545454546014
Rpl13A cohort,development,Experiment_7,cell_2.23,8,7,14.0,2.0,20.64,26.156,1.2672480620155038,84.7901158076008,86.6716476387459,1.022190461862495,1.2953688818059794,-0.1428571428571428,0.8571428571428571,0.04761904761904301,1.7142857142857142,0.3333333333333349
Rpl13A cohort,development,Experiment_7,cell_2.24,13,12,32.6666666666667,2.722222222222225,16.654,45.84,2.752491893839318,89.8324388843837,98.9339504879227,1.1013165368386897,3.031364840199684,-0.42176870748299655,1.6666666666666667,0.0,0.0,0.9489795918367397
Rpl13A cohort,development,Experiment_7,cell_2.25,18,17,34.0,2.0,18.601,41.244,2.2173001451534864,83.510856393108,108.16211241811,1.2951862439173407,2.8718166466387185,-0.13725490196078227,1.6470588235294117,0.01960784313725472,0.35294117647058826,0.08333333333333326
Rpl13A cohort,development,Experiment_7,cell_2.26,5,4,43.0,10.75,16.47,58.601,3.5580449301760777,100.379039826516,189.832438884384,1.8911561538391812,6.7288185653387895,-1.143410852713178,1.5,0.0,0.0,3.1317829457364335
Rpl13A cohort,development,Experiment_7,cell_2.27,13,12,38.0,3.1666666666666665,11.506,55.284,4.804797496958108,91.0078268079562,136.036118121931,1.49477383312309,7.1820855719083,-0.5175438596491211,1.5,0.0,0.0,1.2105263157894766
Rpl13A cohort,development,Experiment_7,cell_2.28,11,10,32.3333333333333,3.23333333333333,19.81,39.459,1.991872791519435,112.827217975235,74.792029229802,0.6628899530804567,1.3203924613125566,-0.41030927835051434,1.4,0.0,0.0,0.9965635738831589
Rpl13A cohort,development,Experiment_7,cell_2.29,9,8,32.3333333333333,4.0416666666666625,22.321,37.167,1.6651135701805475,92.0656759391714,35.1358985339541,0.38163950001484476,0.6354731103916372,-0.6314432989690715,1.25,0.0,0.0,1.4570446735395177
Rpl13A cohort,development,Experiment_7,cell_2.30,13,12,29.0,2.4166666666666665,15.146,27.02,1.7839693648488049,117.552459658682,89.0625142367723,0.7576405844281666,1.3516075921859936,-0.17241379310344596,1.6666666666666667,0.0,0.0,0.37931034482758663
Rpl13A cohort,development,Experiment_7,cell_2.31,16,15,34.0,2.2666666666666666,17.599,37.11,2.108642536507756,100.0,105.822270412115,1.05822270412115,2.231413407008118,-0.17254901960784297,1.4666666666666666,0.0,0.0,0.35294117647059087
Rpl13A cohort,development,Experiment_7,cell_2.32,20,19,39.3333333333333,2.0701754385964897,22.194,44.573,2.008335586194467,120.769742416926,95.0132572823938,0.7867306444555072,1.580019150009702,-0.10793933987511006,1.6842105263157894,0.0,0.0,0.2415254237288137
Rpl13A cohort,development,Experiment_7,cell_2.33,21,20,40.6666666666667,2.033333333333335,18.14,39.77,2.1923925027563396,115.419449481098,92.8319559730663,0.804300803637685,1.7633430518561595,-0.1704918032786895,1.4,0.0,0.0,0.3981264637002361
Rpl13A cohort,development,Experiment_7,cell_2.34,22,21,46.0,2.1904761904761907,15.664,38.515,2.4588227783452505,96.7435376443039,99.9261965722408,1.0328978969079936,2.5397128766222785,-0.18426501035196696,1.619047619047619,0.0,0.0,0.32608695652173925
Rpl13A cohort,development,Experiment_7,cell_2.35,14,13,30.0,2.3076923076923075,18.728,47.625,2.5429837676206746,110.582135925869,118.664977995645,1.073093560746507,2.728859506116638,-0.27521367521367746,1.2307692307692308,0.0,0.0,0.6138888888888893
Rpl13A cohort,development,Experiment_7,cell_2.36,19,18,34.6666666666667,1.9259259259259278,24.498,34.507,1.4085639644052574,110.905595393208,99.2200526646682,0.8946352283930352,1.2601509440018965,-0.15384615384615274,1.0,0.0,0.0,0.3461538461538486
Rpl13A cohort,development,Experiment_7,cell_2.37,14,13,39.6666666666667,3.0512820512820538,15.986,64.118,4.010884523958463,91.332197428725,119.020327833004,1.3031584828109126,5.226818190971481,-0.4654169360051741,1.6923076923076923,0.0,0.0,0.9285714285714275
Rpl13A cohort,development,Experiment_7,cell_2.38,17,16,36.3333333333333,2.2708333333333313,16.148,29.462,1.8244983898934852,99.8068354730253,87.6356479667611,0.8780525657528366,1.6020054924578941,-0.2454128440366976,1.75,0.0,0.0,0.5284403669724778
Rpl13A cohort,development,Experiment_7,cell_2.39,18,17,43.6666666666667,2.568627450980394,13.188,43.179,3.274112829845314,91.2675055352571,94.0027881294931,1.0299699501831936,3.3722378282499332,-0.4975303098338566,1.7647058823529411,0.0,0.0,0.8867684478371516
