dataset,cohort,experiment,cell_id,generation_observation,observed_g1_count,hours_elapsed,lifespan_hours_observed,maturity_A,time_elapsed_B,time_remaining_B,time_shadow,te_ara_sum,size_um2,size_fold,size_ara,rpl13a_concentration,rpl13a_concentration_fold,rpl13a_concentration_ara,rpl13a_total,rpl13a_total_fold,rpl13a_total_ara
Rpl13A cohort,development,Experiment_7,cell_2.1,1,19,0.0,43.3333333333333,0.0,0.0,2.0,0.0,2.0,17.472,1.0,1.0,121.112336106277,1.0,1.0,2116.074736448872,1.0,1.0
Rpl13A cohort,development,Experiment_7,cell_2.1,2,19,3.33333333333333,43.3333333333333,0.1111111111111111,0.1538461538461538,1.8461538461538463,0.042735042735042694,1.9572649572649574,21.089,1.2070169413919412,1.0937994346619642,105.074213446802,0.8675764734204993,0.9290933846810756,2215.9100873796074,1.0471795013716179,1.0230460989571297
Rpl13A cohort,development,Experiment_7,cell_2.1,3,19,4.66666666666667,43.3333333333333,0.2222222222222222,0.21538461538461567,1.7846153846153843,-0.006837606837606536,2.0068376068376064,20.305,1.1621451465201464,1.074992720438362,91.38960009476,0.7545853959464949,0.8601295755564417,1855.6658299241017,0.876937755534202,0.934434562838887
Rpl13A cohort,development,Experiment_7,cell_2.1,4,19,6.66666666666667,43.3333333333333,0.3333333333333333,0.30769230769230804,1.692307692307692,-0.025641025641025272,2.0256410256410255,22.033,1.2610462454212454,1.1154537400329072,80.2179479002469,0.6623433291704904,0.796879101383948,1767.44204608614,0.8352455684302549,0.9102275823988694
Rpl13A cohort,development,Experiment_7,cell_2.1,5,19,8.66666666666667,43.3333333333333,0.4444444444444444,0.40000000000000047,1.5999999999999996,-0.044444444444443953,2.0444444444444443,24.947,1.4278273809523807,1.1762182041066505,77.1100035534984,0.6366816629301394,0.7780152699826706,1923.6632586491246,0.9090715112819474,0.9523703076701439
Rpl13A cohort,development,Experiment_7,cell_2.1,6,19,10.3333333333333,43.3333333333333,0.5555555555555556,0.4769230769230758,1.5230769230769243,-0.0786324786324798,2.07863247863248,27.7,1.5853937728937728,1.2264234481537235,69.3688440196445,0.572764478415913,0.7283537824974289,1921.5169793441526,0.9080572374153382,0.9518134148275301
Rpl13A cohort,development,Experiment_7,cell_2.1,7,19,12.6666666666667,43.3333333333333,0.6666666666666666,0.5846153846153866,1.4153846153846135,-0.08205128205127998,2.08205128205128,26.894,1.5392628205128203,1.2123698327548122,75.1965813523339,0.6208829238199841,0.7661045899067533,2022.3368588896676,0.9557020005273952,0.9773493101399605
Rpl13A cohort,development,Experiment_7,cell_2.1,8,19,14.3333333333333,43.3333333333333,0.7777777777777778,0.6615384615384605,1.3384615384615395,-0.11623931623931727,2.116239316239317,26.744,1.5306776556776556,1.209697846933237,76.4166157939335,0.6309565008049828,0.7737257253563352,2043.6859727929575,0.9657910174867477,0.9825978538873433
Rpl13A cohort,development,Experiment_7,cell_2.1,9,19,16.0,43.3333333333333,0.8888888888888888,0.7384615384615391,1.261538461538461,-0.15042735042734978,2.15042735042735,28.218,1.6150412087912087,1.235193696651346,75.761496478392,0.6255473134620301,0.7696451629325544,2137.8379076272654,1.01028468928981,1.0051160362234284
Rpl13A cohort,development,Experiment_7,cell_2.1,10,19,18.0,43.3333333333333,1.0,0.8307692307692314,1.1692307692307686,-0.16923076923076863,2.1692307692307686,28.057,1.605826465201465,1.2324891827187066,76.0193528988346,0.6276763816373506,0.7712545180583668,2132.8749842826023,1.0079393452151524,1.003953976614917
Rpl13A cohort,development,Experiment_7,cell_2.1,11,19,20.0,43.3333333333333,1.1111111111111112,0.9230769230769238,1.0769230769230762,-0.18803418803418737,2.1880341880341874,28.621,1.6381066849816848,1.2418805458529494,79.0489380506784,0.6526910518950965,0.7898524665534712,2262.459655948466,1.069177575337085,1.0334324014340892
Rpl13A cohort,development,Experiment_7,cell_2.1,12,19,21.3333333333333,43.3333333333333,1.2222222222222223,0.9846153846153839,1.0153846153846162,-0.23760683760683843,2.2376068376068385,29.784,1.7046703296703294,1.260538344337227,76.1587593734909,0.6288274326296621,0.7721228412938147,2268.3124891800526,1.0719434668865528,1.0347226978131119
Rpl13A cohort,development,Experiment_7,cell_2.1,13,19,23.3333333333333,43.3333333333333,1.3333333333333333,1.0769230769230762,0.9230769230769238,-0.25641025641025705,2.2564102564102573,36.28,2.076465201465201,1.3499032594136031,86.6762034058915,0.715667835271813,0.834273185704889,3144.612659565744,1.4860593557498496,1.1955139786287377
Rpl13A cohort,development,Experiment_7,cell_2.1,14,19,25.6666666666667,43.3333333333333,1.4444444444444444,1.184615384615387,0.8153846153846129,-0.25982905982905735,2.259829059829057,38.653,2.212282509157509,1.3773897550111358,81.6256799482465,0.6739666872301047,0.8052330937903076,3155.077407039572,1.49100471391399,1.1971111139097361
