cohort,grid_A,metric,median,q25,q75,n
development,0.0,rpl13a_concentration_ara,1.0,1.0,1.0,94
development,0.0,rpl13a_concentration_fold,1.0,1.0,1.0,94
development,0.0,rpl13a_total_ara,1.0,1.0,1.0,94
development,0.0,rpl13a_total_fold,1.0,1.0,1.0,94
development,0.0,size_ara,1.0,1.0,1.0,94
development,0.0,size_fold,1.0,1.0,1.0,94
development,0.0,te_ara_sum,2.0,2.0,2.0,94
development,0.0,time_elapsed_B,0.0,0.0,0.0,94
development,0.0,time_remaining_B,2.0,2.0,2.0,94
development,0.0,time_shadow,0.0,0.0,0.0,94
development,0.05,rpl13a_concentration_ara,0.9851294173346111,0.9693620467244388,0.9996291028668898,94
development,0.05,rpl13a_concentration_fold,0.9732570304505086,0.9462385009246858,0.9992626084188739,94
development,0.05,rpl13a_total_ara,0.9918842668476064,0.9735499177173432,1.010300252976669,94
development,0.05,rpl13a_total_fold,0.984464600102712,0.9543707997384206,1.0216921380567814,94
development,0.05,size_ara,1.0062364199143867,0.9966387282615639,1.0204851961833192,94
development,0.05,size_fold,1.0129141334080938,0.9934007976220924,1.0436808937957698,94
development,0.05,te_ara_sum,2.0169398907103826,2.010455486542443,2.0261987065120426,94
development,0.05,time_elapsed_B,0.033060109289617466,0.023801293487957204,0.03954451345755699,94
development,0.05,time_remaining_B,1.9669398907103823,1.960455486542443,1.9761987065120428,94
development,0.05,time_shadow,-0.016939890710382537,-0.026198706512042796,-0.010455486542443016,94
development,0.1,rpl13a_concentration_ara,0.9702588346692222,0.9387240934488776,0.9992582057337794,94
development,0.1,rpl13a_concentration_fold,0.9465140609010171,0.8924770018493714,0.9985252168377479,94
development,0.1,rpl13a_total_ara,0.9837685336952128,0.9470998354346865,1.0206005059533378,94
development,0.1,rpl13a_total_fold,0.9689292002054238,0.9087415994768414,1.0433842761135623,94
development,0.1,size_ara,1.0124728398287737,0.9932774565231277,1.0409703923666387,94
development,0.1,size_fold,1.0258282668161876,0.9868015952441849,1.0873617875915396,94
development,0.1,te_ara_sum,2.033879781420765,2.020910973084886,2.052397413024085,94
development,0.1,time_elapsed_B,0.06612021857923493,0.04760258697591441,0.07908902691511398,94
development,0.1,time_remaining_B,1.933879781420765,1.9209109730848861,1.9523974130240855,94
development,0.1,time_shadow,-0.03387978142076507,-0.05239741302408559,-0.02091097308488603,94
development,0.15,rpl13a_concentration_ara,0.9553882520038335,0.9108580803158318,0.9988873086006691,94
development,0.15,rpl13a_concentration_fold,0.9197710913515256,0.8423568767520911,0.9977878252566218,94
development,0.15,rpl13a_total_ara,0.9777493179543997,0.9281108889449629,1.0299601567162864,94
development,0.15,rpl13a_total_fold,0.9573819292396126,0.8817383441474279,1.0638078331342502,94
development,0.15,size_ara,1.0170787218603607,0.9905914740458646,1.0581090221565597,94
development,0.15,size_fold,1.035371474006553,0.9815590327195007,1.125215428568787,94
development,0.15,te_ara_sum,2.049618320610687,2.0316691230655857,2.077960526315789,94
development,0.15,time_elapsed_B,0.10038167938931306,0.07203947368421063,0.11833087693441421,94
development,0.15,time_remaining_B,1.899618320610687,1.8816691230655858,1.9279605263157893,94
development,0.15,time_shadow,-0.04961832061068693,-0.07796052631578938,-0.03166912306558577,94
development,0.2,rpl13a_concentration_ara,0.9450607655195782,0.8982269637460057,0.9951371293100817,94
development,0.2,rpl13a_concentration_fold,0.9017758491685219,0.820096789902725,0.9903586219954389,94
development,0.2,rpl13a_total_ara,0.978904641050212,0.9161444760855704,1.036999398216576,94
development,0.2,rpl13a_total_fold,0.9592952940054187,0.8537019948623292,1.0778986431960722,94
development,0.2,size_ara,1.024248015489917,0.9927455540694261,1.0672507026722549,94
development,0.2,size_fold,1.052441514408506,0.9863950626731721,1.1573987226534053,94
development,0.2,te_ara_sum,2.065222428174235,2.041736694677871,2.1039473684210526,94
development,0.2,time_elapsed_B,0.1347775718257647,0.0960526315789475,0.15826330532212915,94
development,0.2,time_remaining_B,1.8652224281742353,1.8417366946778708,1.9039473684210524,94
development,0.2,time_shadow,-0.06522242817423532,-0.10394736842105251,-0.04173669467787086,94
development,0.25,rpl13a_concentration_ara,0.9520318942852125,0.8847820185113066,0.9935491811424029,94
development,0.25,rpl13a_concentration_fold,0.9084608547468676,0.8077653961799489,0.9888455041575394,94
development,0.25,rpl13a_total_ara,0.9886956771449409,0.9105082252291472,1.0442786689869639,94
development,0.25,rpl13a_total_fold,0.9790997103832695,0.8367974434636821,1.100376630259328,94
development,0.25,size_ara,1.0313578324361947,0.9911470500289252,1.081640861911474,94
development,0.25,size_fold,1.0654958319114773,0.9829207806796645,1.1806435869456688,94
development,0.25,te_ara_sum,2.080578616988965,2.0477773922430416,2.125347222222222,94
development,0.25,time_elapsed_B,0.1694213830110354,0.12465277777777778,0.20222260775695877,94
development,0.25,time_remaining_B,1.8305786169889646,1.7977773922430411,1.8753472222222223,94
development,0.25,time_shadow,-0.0805786169889646,-0.12534722222222222,-0.047777392243041214,94
development,0.3,rpl13a_concentration_ara,0.9474953514207328,0.8787345691263864,0.9920738041432429,94
development,0.3,rpl13a_concentration_fold,0.9008925012107736,0.7857357387736275,0.9855379329931584,94
development,0.3,rpl13a_total_ara,0.9897868710431708,0.911928120999481,1.0454856691069052,94
development,0.3,rpl13a_total_fold,0.9827530408588494,0.8382520079197914,1.0962935057062184,94
development,0.3,size_ara,1.0334946900999218,0.9984939808913682,1.0837123347670816,94
development,0.3,size_fold,1.0714763482823448,0.9972194232019914,1.1862584689529658,94
development,0.3,te_ara_sum,2.0965224534501647,2.058264462809917,2.1410714285714283,94
development,0.3,time_elapsed_B,0.20347754654983524,0.15892857142857156,0.2417355371900829,94
development,0.3,time_remaining_B,1.7965224534501647,1.758264462809917,1.8410714285714285,94
development,0.3,time_shadow,-0.09652245345016473,-0.14107142857142843,-0.058264462809917095,94
development,0.35,rpl13a_concentration_ara,0.9437331913063787,0.8706378782397766,0.9974923353114398,94
development,0.35,rpl13a_concentration_fold,0.8947844446499782,0.7778978389811803,0.9960378569387606,94
development,0.35,rpl13a_total_ara,0.974293069063564,0.9067666480510299,1.0390432831349576,94
development,0.35,rpl13a_total_fold,0.9500918410106749,0.8367649147591962,1.0839699795563442,94
development,0.35,size_ara,1.036409451264658,0.9990781222659718,1.086826150175574,94
development,0.35,size_fold,1.0763023239810319,0.9984354167116484,1.1903904741099258,94
development,0.35,te_ara_sum,2.1115037359900373,2.0666610238353202,2.1608796296296293,94
development,0.35,time_elapsed_B,0.23849626400996252,0.18912037037037072,0.2833389761646802,94
development,0.35,time_remaining_B,1.7615037359900376,1.7166610238353197,1.8108796296296292,94
development,0.35,time_shadow,-0.11150373599003746,-0.16087962962962923,-0.06666102383531983,94
development,0.4,rpl13a_concentration_ara,0.9420259333823258,0.861706090928906,0.9883359562025885,94
development,0.4,rpl13a_concentration_fold,0.8905139877130765,0.7576442777424909,0.9779218519451212,94
development,0.4,rpl13a_total_ara,0.9758621224124371,0.8968496731523702,1.047856103085962,94
development,0.4,rpl13a_total_fold,0.9560427624321572,0.8188265174684168,1.1015728379190728,94
development,0.4,size_ara,1.0456618755786735,0.9956649878433363,1.0975834616659768,94
development,0.4,size_fold,1.1000175436389983,0.9913818667228342,1.2225966030544686,94
development,0.4,te_ara_sum,2.1218865143699337,2.0722692307692303,2.1824675324675322,94
development,0.4,time_elapsed_B,0.27811348563006627,0.2175324675324679,0.32773076923076955,94
development,0.4,time_remaining_B,1.7218865143699338,1.6722692307692304,1.782467532467532,94
development,0.4,time_shadow,-0.12188651436993375,-0.1824675324675321,-0.07226923076923047,94
development,0.45,rpl13a_concentration_ara,0.9277815306859869,0.8638356718174434,0.9759867918003953,94
development,0.45,rpl13a_concentration_fold,0.8659753845456024,0.7603317789263927,0.955181460705605,94
development,0.45,rpl13a_total_ara,0.974363423211184,0.8949188393303479,1.0578952545203313,94
development,0.45,rpl13a_total_fold,0.9550287207591087,0.8136767708840953,1.1235906318015727,94
development,0.45,size_ara,1.0537510996207375,1.0046881270865706,1.108430003945246,94
development,0.45,size_fold,1.117891460699464,1.0095322322637048,1.2491937080938014,94
development,0.45,te_ara_sum,2.1285321100917427,2.078985275288092,2.206696428571428,94
development,0.45,time_elapsed_B,0.32146788990825725,0.24330357142857184,0.3710147247119078,94
development,0.45,time_remaining_B,1.6785321100917427,1.628985275288092,1.756696428571428,94
development,0.45,time_shadow,-0.12853211009174276,-0.20669642857142817,-0.07898527528809227,94
development,0.5,rpl13a_concentration_ara,0.9231692386687573,0.8514642972307805,0.9714924796179805,94
development,0.5,rpl13a_concentration_fold,0.8575755269038451,0.7414955565816769,0.9464261911763703,94
development,0.5,rpl13a_total_ara,0.9851025425714117,0.884588333336502,1.0420840844255543,94
development,0.5,rpl13a_total_fold,0.9717114760088128,0.794762776206897,1.0965723760912773,94
