cohort,witness,same_A_curve_correlation_with_local_time_rate
development,log_size_change,0.9171006979210494
development,log_rpl13a_concentration_change,0.9270881918000405
development,log_rpl13a_total_change,0.9507938024667051
holdout,log_size_change,0.5967194610391708
holdout,log_rpl13a_concentration_change,0.7571222219720479
holdout,log_rpl13a_total_change,0.8418476031601752
external,log_size_change,0.8866875405193695
external,log_rpl13a_concentration_change,
external,log_rpl13a_total_change,
