dataset,dataset_class,block_size,is_primary_block,original_bytes,ara_serialized_bytes,raw_zlib_bytes,delta_zlib_bytes,ara_zlib_bytes,ara_vs_raw_improvement,ara_vs_delta_improvement,restored_exactly,original_sha256,restored_sha256,ara_stream_sha256
smooth_telemetry,structured_numeric,64,False,65536,66514,35915,22378,31297,0.12858137268550746,-0.3985610867816606,True,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,5786f6c68e5a030eeee0c59d063af7ebbb885a5c0fd7ce06377a474a36bc9fdf
smooth_telemetry,structured_numeric,256,False,65536,65813,35915,22378,29692,0.1732702213559794,-0.32683885959424436,True,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,2d02820eb825aadfab526c2627b5649090ba5ff6c6772e78b3ffc2c2ad5ae943
smooth_telemetry,structured_numeric,1024,True,65536,65621,35915,22378,29008,0.19231518863984406,-0.29627312539100903,True,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,967ff476e296f9c9ca1dd3a3aff8e69c962c0e2edd9ae13ec2aac2519eb1fa76
smooth_telemetry,structured_numeric,4096,False,65536,65589,35915,22378,28762,0.19916469441737436,-0.285280185896863,True,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,deac9803d8b8a9cbad2cb36b81f2e641a314cfc02aa94915eccdb1260f59ecc6,4b0c7bec54723a88c2a9d64193ad39922442de3a1ea2052f3c47f5558dd0e7ae
piecewise_memory,structured_numeric,64,False,65536,75986,14424,17651,25456,-0.7648363838047698,-0.44218457877740636,True,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,460c0d2908642c01bff81f469dc97894d0438643132d96485af8265369e4dc3e
piecewise_memory,structured_numeric,256,False,65536,75631,14424,17651,25628,-0.7767609539656128,-0.451929069174551,True,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,ed6886ce83b663bf9fab73651bb98e855c44acbd946a958ea52cdbaa393e46ff
piecewise_memory,structured_numeric,1024,True,65536,75542,14424,17651,25117,-0.7413338879645036,-0.42297886805280155,True,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,1e57b218cac71e8a6713900ed574a76e3c6e5e18ddeef35b5cf48d984a6c147b
piecewise_memory,structured_numeric,4096,False,65536,75523,14424,17651,24788,-0.7185246810870771,-0.4043396974675656,True,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,3a8dc5554e628b5e9d41771bd1369af8eae4fd3ad0e1a2bf3549c9dbf53d453b,25e92a7b39637d3bed4da6167301026421ccb8baf0dd91f2ee760ae6721ef55c
ara_text,generalization,64,False,65536,76166,25208,32411,56832,-1.2545223738495717,-0.7534787572120576,True,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,dcfcf5ce3535ebcb8865463e8c301ee2ea334040b13c5c0e8ead00ea9454869d
ara_text,generalization,256,False,65536,75398,25208,32411,55558,-1.203982862583307,-0.714171114744994,True,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,7ca7a1b9092e72e11b80103d82ac97be1ffc2c971c007a9f6e9ec99dc1a32c50,48bd545ca2a1800761d0949eba60e107491f643abc4683c2c5273baa2385295e
