ara_x,time_us,series,raw_value,centered_maxabs,evidence_class
0.125,0.6030474991625504,detector C-AC,-0.0058098225506609,-0.1807349047388443,measured detector diagnostic
0.375,0.6749251576353916,detector C-AC,0.026608659374762,0.827755662998503,measured detector diagnostic
0.625,0.7563670325535641,detector C-AC,0.0246289040063159,0.7661684295155081,measured detector diagnostic
0.875,0.8502903437757583,detector C-AC,0.0072241156442643,0.22473145115937807,measured detector diagnostic
1.125,0.9555998961998557,detector C-AC,-0.004315530739015,-0.13424971764838234,measured detector diagnostic
1.375,1.0684517050774953,detector C-AC,-0.0058326005352195,-0.18144349382800215,measured detector diagnostic
1.625,1.188280609315914,detector C-AC,-0.010358177227542,-0.32222742745816046,measured detector diagnostic
1.875,1.3158174941535077,detector C-AC,-0.0321455479729048,-1.0,measured detector diagnostic
0.125,0.6030474991625504,delayed total release,0.8383603089052454,-0.5778270468617258,fitted or derived source relation
0.375,0.6749251576353916,delayed total release,0.948705474193948,0.37253253195576513,fitted or derived source relation
0.625,0.7563670325535641,delayed total release,0.9972792083722346,0.7908790307306908,fitted or derived source relation
0.875,0.8502903437757583,delayed total release,0.9885755836566049,0.715918128752884,fitted or derived source relation
1.125,0.9555998961998557,delayed total release,0.9453781137569257,0.34387528308374543,fitted or derived source relation
1.375,1.0684517050774953,delayed total release,0.8941356102684721,-0.0974562778000232,fitted or derived source relation
1.625,1.188280609315914,delayed total release,0.8418325903959398,-0.5479216498613373,fitted or derived source relation
1.875,1.3158174941535077,delayed total release,0.7893422894810325,-1.0,fitted or derived source relation
0.125,0.6030474991625504,nu_e release,0.32162316323326356,-0.6602201603197619,fitted or derived source relation
0.375,0.6749251576353916,nu_e release,0.3661212689139775,0.34692677251250614,fitted or derived source relation
0.625,0.7563670325535641,nu_e release,0.38636239519861376,0.8050538757405763,fitted or derived source relation
0.875,0.8502903437757583,nu_e release,0.3838033963410017,0.747134829274688,fitted or derived source relation
1.125,0.9555998961998557,nu_e release,0.36727827613550956,0.37311387096545995,fitted or derived source relation
1.375,1.0684517050774953,nu_e release,0.3474405982900577,-0.07588179055594384,fitted or derived source relation
1.625,1.188280609315914,nu_e release,0.3271058715540916,-0.5361273976175247,fitted or derived source relation
1.875,1.3158174941535077,nu_e release,0.3066108956868108,-1.0,fitted or derived source relation
0.125,0.6030474991625504,anti_nu_mu release,0.5167371456719817,-0.5272153903545012,fitted or derived source relation
0.375,0.6749251576353916,anti_nu_mu release,0.5825842052799703,0.3882613938370288,fitted or derived source relation
0.625,0.7563670325535641,anti_nu_mu release,0.6109168131736209,0.7821718420279751,fitted or derived source relation
0.875,0.8502903437757583,anti_nu_mu release,0.6047721873156031,0.6967426314596147,fitted or derived source relation
1.125,0.9555998961998557,anti_nu_mu release,0.578099837621416,0.3259148819711028,fitted or derived source relation
1.375,1.0684517050774953,anti_nu_mu release,0.5466950119784143,-0.11070884821384976,fitted or derived source relation
1.625,1.188280609315914,anti_nu_mu release,0.5147267188418483,-0.5551665107273783,fitted or derived source relation
1.875,1.3158174941535077,anti_nu_mu release,0.4827313937942217,-1.0,fitted or derived source relation
0.125,0.6030474991625504,remaining muon,0.9347067734861942,0.8732555309478681,fitted or derived source relation
0.375,0.6749251576353916,remaining muon,0.9054565295215188,0.6873114398058772,fitted or derived source relation
0.625,0.7563670325535641,remaining muon,0.869397471444632,0.45808364978674604,fitted or derived source relation
0.875,0.8502903437757583,remaining muon,0.8270596385235056,0.18894162577670287,fitted or derived source relation
1.125,0.9555998961998557,remaining muon,0.780965932557506,-0.10407652045020349,fitted or derived source relation
1.375,1.0684517050774953,remaining muon,0.7340458428206029,-0.40234799650918623,fitted or derived source relation
1.625,1.188280609315914,remaining muon,0.6870395086391801,-0.7011677293578095,fitted or derived source relation
1.875,1.3158174941535077,remaining muon,0.6400312021793246,-1.0,fitted or derived source relation
