quadrant,samples,x_min,x_max,fraction
storage-high / flow-high,65,0.22324796196885788,1.113333611035847,0.3987730061349693
storage-high / flow-low,12,0.006031574754375567,0.20556539179009606,0.0736196319018405
storage-low / flow-high,29,1.124772119628712,1.4327619458492453,0.17791411042944785
storage-low / flow-low,57,1.4433527125213488,1.9957650815017505,0.3496932515337423
