candidate,orientation,cosine
delayed total release,direct,0.8428276347533519
delayed total release,reversed,-0.018836911005895796
nu_e release,direct,0.8219268861308517
nu_e release,reversed,0.02285402739332834
anti_nu_mu release,direct,0.8550330192901519
anti_nu_mu release,reversed,-0.04545097599525785
remaining muon,direct,0.7536354512797239
remaining muon,reversed,-0.6885324341928512
