local_child_ara,time_us,storage_ara,release_flow_ara,remaining_muon_fraction,delayed_release_rate,stage,quadrant
0.006031574754375567,0.5705,2.0,0.0257788273912691,0.9465540452241382,0.7669910187709376,pre-turn storage,storage-high / flow-low
0.024394040135639648,0.5755,1.989368769600811,0.12518541040473033,0.9448039810078492,0.778723557635781,pre-turn storage,storage-high / flow-low
0.042741090398601245,0.5805,1.9785785870421357,0.2223326698835282,0.9430277508186696,0.790189438092548,pre-turn storage,storage-high / flow-low
0.06106216029668663,0.5855,1.9676331109445964,0.31721779810954537,0.9412259569218868,0.8013883287581356,pre-turn storage,storage-high / flow-low
0.07934672317691088,0.5905,1.9565361727348998,0.40968078081271997,0.9393992300293306,0.8123013438245266,pre-turn storage,storage-high / flow-low
0.09758519568173804,0.5955,1.945291699267009,0.499714816535773,0.9375482165616262,0.8229276805444637,pre-turn storage,storage-high / flow-low
0.11576828243030059,0.6005,1.9339037482231751,0.5872030874319002,0.9356735844757498,0.8332535514012034,pre-turn storage,storage-high / flow-low
0.1338874592791305,0.6055,1.9223764619657904,0.6721258931849924,0.9337760156683323,0.8432766312496958,pre-turn storage,storage-high / flow-low
0.15193439688523783,0.6105,1.9107140919523284,0.754391498553103,0.9318562099947352,0.8529860929670403,pre-turn storage,storage-high / flow-low
0.1699014209907679,0.6155,1.8989209531201232,0.8339902436703674,0.929914877760082,0.8623807964400951,pre-turn storage,storage-high / flow-low
0.18778082127394818,0.6205,1.8870014580092036,0.9108345485484778,0.9279527453364028,0.871450404972985,pre-turn storage,storage-high / flow-low
0.20556539179009606,0.6255,1.8749600654057648,0.98492914891771,0.9259705467085588,0.8801954775039394,pre-turn storage,storage-high / flow-low
0.22324796196885788,0.6305,1.8628013036798718,1.05620361310621,0.9239690273159876,0.8886077012803993,pre-turn storage,storage-high / flow-high
0.24082180217809096,0.6355,1.8505297369090952,1.124663960420061,0.9219489384761318,0.8966877867356219,pre-turn storage,storage-high / flow-high
0.2582807790151231,0.6405,1.8381499464708444,1.1902906917644773,0.919911034354254,0.9044334324738598,pre-turn storage,storage-high / flow-high
0.2756191603396921,0.6455,1.825666547346414,1.2530680741398712,0.9178560746473338,0.911842781595665,pre-turn storage,storage-high / flow-high
0.2928323791154645,0.6505,1.8130841200487304,1.3130296077843582,0.9157848133783264,0.9189197879925582,pre-turn storage,storage-high / flow-high
0.30991619740585774,0.6555,1.8004072724426483,1.3701355297794977,0.9136980090727358,0.9256597586153285,pre-turn storage,storage-high / flow-high
0.3268675775553264,0.6605,1.7876405581298878,1.4244620615647563,0.9115964113235184,0.9320716895583364,pre-turn storage,storage-high / flow-high
0.3436835971869592,0.6655,1.7747885397412588,1.4759553394053224,0.909480771209958,0.93814922351261,pre-turn storage,storage-high / flow-high
0.3603622576805848,0.6705,1.7618557157713086,1.524707066183204,0.9073518292535216,0.943903183781743,pre-turn storage,storage-high / flow-high
0.3769014903198304,0.6755,1.7488465722513349,1.5706811223869928,0.905210323924034,0.949329307332458,pre-turn storage,storage-high / flow-high
0.39329998006932504,0.6805,1.7357655144004234,1.6139726377102654,0.9030569803883852,0.9544388219204354,pre-turn storage,storage-high / flow-high
0.4095562657685384,0.6855,1.7226169151743984,1.6545649661295496,0.9008925185024358,0.9592297628858768,pre-turn storage,storage-high / flow-high
0.42566991403523047,0.6905,1.709405026204334,1.6925772090152083,0.8987176381501243,0.9637161872601606,pre-turn storage,storage-high / flow-high
0.44164029365718555,0.6955,1.696134062831233,1.7279834532955793,0.8965330332414847,0.9678950366329566,pre-turn storage,storage-high / flow-high
0.45746791128615394,0.7005,1.682808106778532,1.760924583923048,0.8943393756910425,0.971782939059764,pre-turn storage,storage-high / flow-high
0.47315298782432613,0.7055,1.6694311950209295,1.7913658480608345,0.8921373300469916,0.9753757928101356,pre-turn storage,storage-high / flow-high
0.48869675902917603,0.7105,1.6560072299598108,1.8194536764130766,0.8899275387046865,0.9786908804812118,pre-turn storage,storage-high / flow-high
0.5041000902519144,0.7155,1.642540056653774,1.8451648452182485,0.8877106346199763,0.9817254610705716,pre-turn storage,storage-high / flow-high
0.5193650286131292,0.7205,1.6290333575699576,1.8686671245923918,0.8854872239836521,0.984499335775954,pre-turn storage,storage-high / flow-high
0.5344931835528332,0.7255,1.6154907544409207,1.889927477530387,0.883257902988658,0.9870086053792714,pre-turn storage,storage-high / flow-high
0.5494871691704741,0.7305,1.6019157109129385,1.909114346072351,0.881023241804502,0.9892731503826214,turn to release,storage-high / flow-high
0.5643490837351831,0.7355,1.588311617971062,1.9262023644481856,0.8787837986395355,0.9912899769713645,turn to release,storage-high / flow-high
0.5790817775459786,0.7405,1.5746817181861252,1.9413505524139332,0.8765401072708447,0.993077853575231,turn to release,storage-high / flow-high
0.5936875519379903,0.7455,1.5610291715325566,1.9545487382580977,0.8742926878788758,0.9946355796701026,turn to release,storage-high / flow-high
0.608169518598755,0.7505,1.5473569745907707,1.9659611649054687,0.8720420337469044,0.995982540154242,turn to release,storage-high / flow-high
0.6225302256560524,0.7555,1.5336680482451819,1.9755672061050913,0.8697886256974787,0.997116300598423,turn to release,storage-high / flow-high
0.6367729108574037,0.7605,1.5199651572664221,1.9835269584151487,0.8675329188544151,0.998055756522782,turn to release,storage-high / flow-high
0.6509002216213283,0.7655,1.5062509873242198,1.9898263861439605,0.8652753553203029,0.9987992513539498,turn to release,storage-high / flow-high
0.6649150424596317,0.7705,1.4925281089737148,1.9945897592005037,0.8630163582480977,0.9993614521440732,turn to release,storage-high / flow-high
0.6788196543641548,0.7755,1.4787990034081606,1.9978235059856315,0.860756336080413,0.9997431176101363,turn to release,storage-high / flow-high
0.6926162465921992,0.7805,1.4650660628133423,1.9996181455271325,0.8584956826078622,0.9999549313304228,turn to release,storage-high / flow-high
0.7063064837018811,0.7855,1.4513315956398845,2.0,0.8562347778369621,1.0,turn to release,storage-high / flow-high
0.7198921858690123,0.7905,1.4375978027893968,1.999058101602102,0.8539739840700057,0.9998888317129,release to handover,storage-high / flow-high
0.7333747547702347,0.7955,1.4238668261635299,1.996799517525364,0.8517136538969842,0.9996222605799172,release to handover,storage-high / flow-high
0.7467562197197884,0.8005,1.4101406722011858,1.9933485623305578,0.8494541176086347,0.9992149589232612,release to handover,storage-high / flow-high
0.7600382419817915,0.8055,1.3964213091266275,1.9886785099260857,0.8471956992049763,0.9986637723752948,release to handover,storage-high / flow-high
0.7732232375345355,0.8105,1.3827105718138872,1.9829254806323087,0.8449387007345268,0.9979847666421364,release to handover,storage-high / flow-high
0.7863132499110348,0.8155,1.369010257476284,1.976057256828642,0.8426834180462709,0.9971741392141918,release to handover,storage-high / flow-high
0.7993111731026246,0.8205,1.355322025022293,1.9682168173501475,0.8404301242220864,0.996248765279083,release to handover,storage-high / flow-high
0.8122195037186957,0.8255,1.3416474889484182,1.959372618989345,0.8381790850329567,0.995204921925344,release to handover,storage-high / flow-high
0.8250415331477705,0.8305,1.3279881320387048,1.9496658033750516,0.8359305445679666,0.9940592675029086,release to handover,storage-high / flow-high
