bootstrap,detector_crest_x,detector_ridge_x,detector_octave_residual,ordered_three_stage,valid
0,0.49051180021131074,1.0327572516942896,0.05173365127166807,True,True
1,0.45969623138138854,0.9638366210283715,0.04444415826559445,True,True
2,0.47734221796988685,1.0022218040840671,0.047537368144293435,True,True
3,0.45467407210788635,0.9812731622522802,0.07192501803650753,True,True
4,0.4492594526114415,1.0825755294491728,0.18405662422628977,True,True
5,0.4645738348398734,1.0131936438706468,0.08404597419089999,True,True
6,0.4878150151893037,1.155591041350701,0.1799610109720935,True,True
7,0.5240425184582,1.0448098446125784,-0.0032751923038216724,True,True
8,0.45963903588844657,1.1472947722361169,0.22801670045922373,True,True
9,0.4789816299885928,0.9904692366684318,0.03250597669124622,True,True
10,0.48686633908194155,1.1442559683117755,0.17052329014789236,True,True
11,0.5686663001625707,1.0642557407673574,-0.07307685955778398,True,True
12,0.44007000964308834,0.9504219303520153,0.07028191106583859,True,True
13,0.439555909367994,0.9772834176536932,0.09817159891770522,True,True
14,0.5384542633693309,1.0736598243941813,-0.003248702344480492,True,True
15,0.4819489221817391,0.869252963927876,-0.09464488043560226,True,True
16,0.491543129819691,1.0220446667819578,0.03895840714257581,True,True
17,0.48665151791108757,1.0061485099728364,0.0328454741506613,True,True
18,0.4751328132058426,0.8745738374684102,-0.075691788943275,True,True
19,0.4955274340913937,0.990463092752061,-0.0005917754307264156,True,True
20,0.47586027553207727,1.1534997628020627,0.20177921173790814,True,True
21,0.4272157332787085,0.9718490872593254,0.11741762070190842,True,True
22,0.46598992103970466,1.0996648300104805,0.16768498793107123,True,True
23,0.43168496652906185,1.0261037710823049,0.16273383802418118,True,True
24,0.46934314720906,0.9750451445263448,0.036358850108224816,True,True
25,0.46269591637320445,1.0563617022215785,0.13096986947516964,True,True
26,0.47387718066098666,1.0328943987512036,0.08514003742923026,True,True
27,0.46255017976723145,0.9923292268843228,0.06722886734985989,True,True
28,0.4681137932010911,0.8466156694127094,-0.0896119169894728,True,True
29,0.48173309871666686,1.0175283089013127,0.05406211146797901,True,True
30,0.5148180139607891,1.0442766836589545,0.014640655737376385,True,True
31,0.5575368675275476,0.9085513138000653,-0.20652242125502995,True,True
32,0.46602927864728416,0.9235668554284606,-0.008491701866107704,True,True
33,0.4913520611500946,1.0710043212685918,0.08830019896840258,True,True
