replicate,logloss
0,0.6330068601226292
1,0.6329486484424461
2,0.6325137979478253
3,0.6325919454229998
4,0.6330001566967299
5,0.6328275808090152
6,0.6326492413554548
7,0.6328735983947043
8,0.6328824235920116
9,0.6328096127147128
10,0.6329598631021451
11,0.6326658498727402
12,0.6329600765878223
13,0.6326906771041069
14,0.6329919476292851
15,0.6328738941932366
16,0.632833248408525
17,0.6329466636441482
18,0.6329595601596673
19,0.6327604466986555
20,0.6329786541577913
21,0.6328325366329572
22,0.6328181920414642
23,0.6328737955824245
24,0.6326805429029112
25,0.633096859508461
26,0.6329969338841752
27,0.6329391266619064
28,0.6328794050573722
29,0.6327968119244132
30,0.6326783821750654
31,0.6329289766756366
32,0.6330754949445698
33,0.6328577241610367
34,0.6327913780146295
35,0.6327731414613995
36,0.6327001545504466
37,0.6328087563615643
38,0.6328802960401907
39,0.6325232227382618
40,0.6328870239679564
41,0.6327166417020841
42,0.6328042281811963
43,0.6324665906076219
44,0.632789932745321
45,0.6327745512182746
46,0.6328791307716977
47,0.632925030147101
48,0.6329895247286998
49,0.6328139560288155
50,0.6326516896499685
51,0.6327557746574111
52,0.6329405563904322
53,0.632738918436626
54,0.63306613604684
55,0.6326338417685349
56,0.6328003310391068
57,0.6328222835966141
58,0.6327613961987613
59,0.6327149499906304
60,0.6327929617390589
61,0.6325131252597856
62,0.6328905870554637
63,0.6327738414803762
64,0.6328398665868272
65,0.6329252058469006
66,0.63268410398289
67,0.6329368574797484
68,0.6330052069113592
69,0.6327840150857511
70,0.6327399792757831
71,0.6325988152006687
72,0.6327416445126436
73,0.6328035999600756
74,0.6329093814311797
75,0.6328149379721514
76,0.6327213157015148
77,0.6325621470807611
78,0.6330814013694462
79,0.6326783441765472
80,0.6329435804187925
81,0.6327945855500988
82,0.6328940342880119
83,0.6327812132411692
84,0.6325419774108056
85,0.6327502543845377
86,0.6328759954637765
87,0.632777065528783
88,0.6330639797073165
89,0.6325230934618221
90,0.6330237879030548
91,0.6329846413256254
92,0.6327093987134162
93,0.6328586251674907
94,0.6329900518357844
95,0.6328841573227694
96,0.6328800860191474
97,0.6327580090353313
98,0.6327165641456262
99,0.6325674165732282
