lead_ns,axis,n,median,q25,q75
1024,x_radial,804,1.0,0.9181328873460307,1.0749235669752544
1024,x_history,804,0.1584245195905668,0.10813758772150418,0.22980083784281063
1024,x_forecast,804,0.8880137666877412,0.8349193460427029,0.9475923964013399
1024,x_relation,804,1.0,0.8051320015551451,1.1849190069361484
1024,couple_rf,804,0.0,-0.007223693711939881,0.007530280646532207
1024,couple_hl,804,0.0,-0.15011423267619076,0.15964884323284365
512,x_radial,977,1.0000000000000002,0.9267211992080746,1.0775648145425576
512,x_history,977,0.15739536794324188,0.10997734903482473,0.23009109244606224
512,x_forecast,977,0.8905897760347662,0.8424152293421197,0.9512150003280022
512,x_relation,977,1.0,0.8331224962260557,1.2
512,couple_rf,977,-1.9369510994313463e-05,-0.008373827414345416,0.005856686159371539
512,couple_hl,977,0.0,-0.15856584810722849,0.13748868423638072
384,x_radial,1037,1.0,0.9224351854574422,1.0718377266502577
384,x_history,1037,0.1604593815720223,0.10691268415983253,0.2256373064396408
384,x_forecast,1037,0.8823154710343657,0.8352885237807355,0.9418385223716473
384,x_relation,1037,1.0,0.8184317401993593,1.18372608486985
384,couple_rf,1037,0.0,-0.007789278723136684,0.007347567328542923
384,couple_hl,1037,0.0,-0.14918743597828674,0.148725018026518
256,x_radial,1102,1.0,0.9309228782590809,1.0807841052764924
256,x_history,1102,0.15739536794324188,0.10525847876967374,0.23347461870051942
256,x_forecast,1102,0.884808889384233,0.8361348753359868,0.9439542256418814
256,x_relation,1102,1.0,0.8165618898888486,1.1823967836331015
256,couple_rf,1102,-0.0007470615951923855,-0.00867004676499199,0.006692575476608693
256,couple_hl,1102,0.0,-0.14983078901865324,0.15268833204664214
128,x_radial,736,1.0,0.9212886662286313,1.0805100182262797
128,x_history,736,0.15720408701295274,0.10404085046040484,0.22980083784281063
128,x_forecast,736,0.8896708936123698,0.840633590235065,0.9527503562166786
128,x_relation,736,1.0,0.8161333025850661,1.1827655642277022
128,couple_rf,736,0.0,-0.007636315338619981,0.006569602363346635
128,couple_hl,736,0.0,-0.1502831058136908,0.1572526061577711
