pair,family,n,u,v,amplitude,phase_rad
parent_phi_time_vs_e,beam7,257,-5.48913037654e-05,2.07240263997e-05,5.86731667739e-05,2.78059119846
parent_phi_time_vs_e,beam7,258,-3.56417610425e-05,3.11699674452e-05,4.73487275515e-05,2.42302607826
parent_phi_time_vs_e,beam7,259,0.000120836827603,6.08438338216e-05,0.000135290469063,0.466460133328
parent_phi_time_vs_e,beam7,260,-0.000125212833859,9.11041032085e-05,0.000154848995426,2.51258628747
parent_phi_time_vs_e,beam7,261,4.9599766789e-05,1.04760688436e-05,5.06940320347e-05,0.208152775132
parent_phi_time_vs_e,beam7,262,3.09705843067e-05,2.75522145259e-05,4.14524018313e-05,0.727053549827
parent_phi_time_vs_e,beam7,263,-4.67416376921e-05,0.000163567315444,0.000170114806457,1.84914187603
parent_phi_time_vs_e,beam7,264,4.6968690597e-06,-7.85896198951e-05,7.87298477975e-05,-1.51110283375
parent_phi_time_vs_e,beam7,265,2.42200396488e-05,0.000115068963573,0.000117590291684,1.36334175302
parent_phi_time_vs_e,beam7,266,1.27984946155e-05,8.88084146949e-05,8.97258936152e-05,1.42766822465
parent_phi_time_vs_e,beam7,267,-8.8753272909e-05,-2.69695028744e-05,9.27604308817e-05,-2.84658872019
parent_phi_time_vs_e,beam7,268,0.000123121950394,0.000100318317575,0.000158816811169,0.683693341752
parent_phi_time_vs_e,beam7,269,-6.83770085485e-05,5.52368251451e-05,8.79006379394e-05,2.46209706036
parent_phi_time_vs_e,beam7,270,-3.64787157385e-05,5.27252197059e-05,6.41143158348e-05,2.17604143247
parent_phi_time_vs_e,beam7,271,0.000103581874308,-4.57833590909e-06,0.000103683006539,-0.0441714144878
parent_phi_time_vs_e,beam7,272,-8.54279552393e-05,0.000154020973808,0.000176126079583,2.07720368688
parent_phi_time_vs_e,beam7,273,2.06519115742e-05,-1.41008710024e-05,2.50067193909e-05,-0.599080431345
parent_phi_time_vs_e,beam7,274,1.17996842318e-05,2.01241496139e-05,2.33283935506e-05,1.04047815692
parent_phi_time_vs_e,beam7,275,2.02191791271e-05,0.000168512656422,0.000169721332127,1.45138108779
parent_phi_time_vs_e,beam7,276,-6.80168107613e-05,-6.13915451169e-05,9.16253696199e-05,-2.40734641321
parent_phi_time_vs_e,beam7,277,5.7663889197e-05,9.52279400221e-05,0.000111326028754,1.02631661381
parent_phi_time_vs_e,beam7,278,2.53952929739e-05,7.38655202141e-05,7.81091286709e-05,1.23965157411
parent_phi_time_vs_e,beam7,279,-0.000115019939967,3.42478384868e-05,0.000120010420511,2.8521961536
parent_phi_time_vs_e,beam7,280,0.00013056035302,2.57026886549e-05,0.000133066276663,0.194378772672
parent_phi_time_vs_e,beam7,281,-6.03151159843e-05,9.42036125915e-05,0.000111858096897,2.14029628701
parent_phi_time_vs_e,beam7,282,-2.69588215858e-05,6.86167493993e-05,7.37226990785e-05,1.94515824137
parent_phi_time_vs_e,beam7,283,5.46510463073e-05,-4.89799116714e-05,7.33877960551e-05,-0.730728365079
parent_phi_time_vs_e,beam7,284,-1.70704013709e-05,0.000185451712183,0.000186235700538,1.66258536208
parent_phi_time_vs_e,beam7,285,-1.97083471376e-05,-1.92722523885e-05,2.75651711226e-05,-2.36738150532
parent_phi_time_vs_e,beam7,286,-5.32098604082e-06,2.37586947622e-05,2.4347247673e-05,1.79112021155
parent_phi_time_vs_e,beam7,287,7.76465358274e-05,0.000136968486153,0.000157446342368,1.05507568508
parent_phi_time_vs_e,beam7,288,-0.000120154498212,-6.81902167784e-06,0.000120347839603,-3.08490135208
parent_phi_time_vs_e,beam7,289,7.60824731038e-05,5.79489014499e-05,9.56379521573e-05,0.650921215493
parent_phi_time_vs_e,beam7,290,2.73875739414e-05,5.7510032447e-05,6.36983754773e-05,1.12635097714
parent_phi_time_vs_e,beam7,291,-0.000103985443972,9.8258968279e-05,0.000143065710096,2.384501557
parent_phi_time_vs_e,beam7,292,9.58326433217e-05,-4.1560514018e-05,0.000104456554852,-0.409198013474
parent_phi_time_vs_e,beam7,293,-3.04380619198e-05,0.000124378833416,0.000128049091427,1.81079999764
parent_phi_time_vs_e,beam7,294,-1.30588325654e-05,7.53559523065e-05,7.64790994717e-05,1.74238747359
parent_phi_time_vs_e,beam7,295,-8.89559687575e-06,-5.92925790335e-05,5.9956163755e-05,-1.71971448004
parent_phi_time_vs_e,beam7,296,5.80421887536e-05,0.000174484455101,0.000183885074835,1.24966123505
parent_phi_time_vs_e,beam7,297,-5.87525146938e-05,-4.61992576627e-07,5.87543310743e-05,-3.1337294488
parent_phi_time_vs_e,beam7,298,-1.54743682538e-05,3.39922933041e-05,3.73487894974e-05,1.99799238096
parent_phi_time_vs_e,beam7,299,0.000107806122969,8.07597959496e-05,0.000134700797293,0.642938105255
parent_phi_time_vs_e,beam7,300,-0.000134275411117,6.79644261012e-05,0.000150496010731,2.67303166314
parent_phi_time_vs_e,beam7,301,7.09014160013e-05,1.40473771261e-05,7.22795932135e-05,0.195592489401
parent_phi_time_vs_e,beam7,302,2.14520246062e-05,4.5516839841e-05,5.03187049597e-05,1.13037229901
parent_phi_time_vs_e,beam7,303,-6.10650019587e-05,0.000144632970293,0.000156995638666,1.9702986051
parent_phi_time_vs_e,beam7,304,2.95628809348e-05,-7.93493455988e-05,8.46775210792e-05,-1.21416114015
parent_phi_time_vs_e,beam7,305,1.35989437356e-05,0.000133950208222,0.000134638737195,1.46962059719
parent_phi_time_vs_e,beam7,306,-8.18281273324e-07,7.37541335577e-05,7.37586727178e-05,1.58189058906
parent_phi_time_vs_e,beam7,307,-6.61552944526e-05,-3.40538197176e-05,7.44055483245e-05,-2.66621023075
parent_phi_time_vs_e,beam7,308,0.000115473626914,0.000124017334955,0.000169453409177,0.821057489786
parent_phi_time_vs_e,beam7,309,-8.2576457098e-05,3.87895252852e-05,9.12332096262e-05,2.70244414677
parent_phi_time_vs_e,beam7,310,-1.77084802347e-05,4.50753741885e-05,4.84291196539e-05,1.94513566075
parent_phi_time_vs_e,beam7,311,0.000102634528648,1.90249134743e-05,0.000104382919118,0.183285267979
parent_phi_time_vs_e,beam7,312,-0.00010519744652,0.000138839574037,0.000174192221621,2.21920130678
parent_phi_time_vs_e,beam7,313,4.10023874168e-05,-2.19019828113e-05,4.6485402278e-05,-0.490603503643
parent_phi_time_vs_e,beam7,314,1.25818134642e-05,4.035041077e-05,4.22665077734e-05,1.26853676341
parent_phi_time_vs_e,beam7,315,-1.62550067801e-06,0.000159684051372,0.000159692324534,1.58097545565
parent_phi_time_vs_e,beam7,316,-4.70569896784e-05,-7.49223614289e-05,8.84744060148e-05,-2.13160504333
parent_phi_time_vs_e,beam7,317,5.81016498602e-05,0.000117084264745,0.000130707791533,1.11016292321
parent_phi_time_vs_e,beam7,318,6.14189376478e-06,6.7703549195e-05,6.79815668591e-05,1.48032650672
parent_phi_time_vs_e,beam7,319,-9.93818732208e-05,1.67070419442e-05,0.000100776395924,2.97504041942
parent_phi_time_vs_e,beam7,320,0.00013626684568,5.00099638836e-05,0.000145153882894,0.351738795768
parent_phi_time_vs_e,beam7,321,-8.10881554255e-05,8.71828744635e-05,0.00011906360716,2.31999065884
parent_phi_time_vs_e,beam7,322,-1.46081856227e-05,5.26432041048e-05,5.46324631113e-05,1.8414799257
parent_phi_time_vs_e,beam7,323,6.58582849625e-05,-2.83960852336e-05,7.17192537244e-05,-0.407084660782
parent_phi_time_vs_e,beam7,324,-4.19004733484e-05,0.000182657744397,0.000187401977725,1.79628847549
parent_phi_time_vs_e,beam7,325,-6.01942181189e-06,-3.64876082641e-05,3.69807922547e-05,-1.73429537013
parent_phi_time_vs_e,beam7,326,5.46336692815e-06,4.08027284781e-05,4.11668681035e-05,1.43769091835
parent_phi_time_vs_e,beam7,327,5.45507824706e-05,0.000140563614812,0.000150777709483,1.20060257181
parent_phi_time_vs_e,beam7,328,-0.000109173510592,-2.9282490715e-05,0.000113032383313,-2.87954085779
parent_phi_time_vs_e,beam7,329,8.76748003656e-05,7.67196767498e-05,0.000116502272166,0.718857301343
parent_phi_time_vs_e,beam7,330,7.70499002565e-06,6.18212742398e-05,6.22995731922e-05,1.44680239732
parent_phi_time_vs_e,beam7,331,-9.95875027384e-05,7.53675514086e-05,0.000124891707119,2.49375545881
parent_phi_time_vs_e,beam7,332,0.000113312261598,-2.36601675622e-05,0.000115756089073,-0.20584739977
parent_phi_time_vs_e,beam7,333,-5.20926140961e-05,0.000128938966457,0.000139064364646,1.954754695
parent_phi_time_vs_e,beam7,334,-1.03911131846e-05,5.54023833565e-05,5.63684248032e-05,1.7561994863
parent_phi_time_vs_e,beam7,335,1.11124151797e-05,-4.7458813522e-05,4.87424327669e-05,-1.34079135267
parent_phi_time_vs_e,beam7,336,3.52975941008e-05,0.000184940618802,0.000188278922432,1.38220537509
parent_phi_time_vs_e,beam7,337,-5.56978975444e-05,-2.24482022983e-05,6.00514577449e-05,-2.75847263594
parent_phi_time_vs_e,beam7,338,2.3538052666e-06,4.33073508826e-05,4.33712697497e-05,1.51649857906
parent_phi_time_vs_e,beam7,339,8.99623841653e-05,9.55564534812e-05,0.000131241252534,0.815542675169
parent_phi_time_vs_e,beam7,340,-0.00013648453648,4.3016996428e-05,0.000143103077115,2.83626941717
parent_phi_time_vs_e,beam7,341,9.06139674665e-05,2.4399484556e-05,9.3841493736e-05,0.263029885873
parent_phi_time_vs_e,beam7,342,6.61790246564e-06,5.90814076231e-05,5.94508987298e-05,1.45924802374
parent_phi_time_vs_e,beam7,343,-6.89448721544e-05,0.000122902500019,0.000140919906001,2.08202436091
parent_phi_time_vs_e,beam7,344,5.38128697526e-05,-7.30472298389e-05,9.07288418208e-05,-0.935870789144
parent_phi_time_vs_e,beam7,345,-2.86668263639e-06,0.000149039127438,0.000149066694392,1.59002838513
parent_phi_time_vs_e,beam7,346,-8.49498330414e-06,5.51898093184e-05,5.58397689281e-05,1.72352076412
parent_phi_time_vs_e,beam7,347,-4.31063980432e-05,-3.41311644925e-05,5.49827058435e-05,-2.47187861488
parent_phi_time_vs_e,beam7,348,0.000101386979304,0.000144748623689,0.000176724315339,0.959778582027
parent_phi_time_vs_e,beam7,349,-9.12268181358e-05,1.81251193274e-05,9.30099580572e-05,2.94546479959
parent_phi_time_vs_e,beam7,350,2.35154660878e-06,4.42028044716e-05,4.42653102847e-05,1.5176473921
parent_phi_time_vs_e,beam7,351,9.49434018321e-05,4.06823522852e-05,0.000103292319845,0.40482347199
parent_phi_time_vs_e,beam7,352,-0.000119996676884,0.00011860196067,0.000168717597001,2.36203987281
parent_phi_time_vs_e,beam7,353,6.34431838201e-05,-2.30515335456e-05,6.75011908935e-05,-0.348510440132
parent_phi_time_vs_e,beam7,354,6.55114698117e-06,5.94940921076e-05,5.98536926386e-05,1.46112392314
parent_phi_time_vs_e,beam7,355,-1.93588072865e-05,0.00014516994685,0.000146455033672,1.70336690716
parent_phi_time_vs_e,beam7,356,-2.30189406011e-05,-8.20655592016e-05,8.52327849683e-05,-1.84426355012
parent_phi_time_vs_e,beam7,357,5.15703285975e-05,0.000138655659776,0.000147935427737,1.21471905851
parent_phi_time_vs_e,beam7,358,-9.78499131687e-06,5.54990127517e-05,5.63550039614e-05,1.74531209088
