,daughter_1,daughter_2,daughter_3,daughter_4,daughter_5,daughter_6,daughter_7,daughter_8
parent_1,5466,5430,5280,5439,5231,4918,4844,4214
parent_2,4880,5089,4885,4875,5061,5053,5092,5463
parent_3,5076,5042,4981,4868,4898,5072,5120,5377
parent_4,4844,4971,4930,4922,5183,5210,5248,5296
parent_5,5155,5222,5021,5073,5058,5289,5179,5388
parent_6,4929,5074,5063,5138,5079,5099,5090,4965
parent_7,5145,5042,4999,5083,5035,5065,5123,4989
parent_8,5195,5022,5060,5097,5175,5104,5014,4957
