arrival,schedule,mean_fX,p05_fX,std_fX
poisson_flat,periodic,0.150080,0.150080,0.000000
poisson_flat,uniform_opt,0.150400,0.150400,0.000000
poisson_flat,random,0.139477,0.139477,0.000000
poisson_flat,jittered,0.149606,0.149606,0.000000
poisson_flat,golden,0.150325,0.150325,0.000000
beam_periodic,periodic,0.150080,0.150080,0.000000
beam_periodic,uniform_opt,0.150400,0.150400,0.000000
beam_periodic,random,0.139477,0.138208,0.000913
beam_periodic,jittered,0.149606,0.149083,0.000376
beam_periodic,golden,0.150325,0.149471,0.000613
beam_x_cycle,periodic,0.150080,0.150080,0.000000
beam_x_cycle,uniform_opt,0.150400,0.150400,0.000000
beam_x_cycle,random,0.139497,0.137774,0.001139
beam_x_cycle,jittered,0.149621,0.148274,0.000819
beam_x_cycle,golden,0.150011,0.148334,0.001031
beam_decay,periodic,0.150070,0.149943,0.000089
beam_decay,uniform_opt,0.152625,0.150751,0.001351
beam_decay,random,0.140104,0.139416,0.000491
beam_decay,jittered,0.149438,0.149079,0.000253
beam_decay,golden,0.148770,0.145138,0.002625
